SA2_NAME16	IncomeTotPersonal.max	Sex	workers
Braidwood		F	23
Braidwood		F	33
Braidwood		F	40
Braidwood		F	55
Braidwood		F	67
Braidwood		F	68
Braidwood		F	59
Braidwood		F	48
Braidwood		F	30
Braidwood		F	17
Braidwood		F	17
Braidwood		F	22
Braidwood		F	10
Braidwood		M	20
Braidwood		M	25
Braidwood		M	40
Braidwood		M	39
Braidwood		M	55
Braidwood		M	45
Braidwood		M	60
Braidwood		M	76
Braidwood		M	42
Braidwood		M	45
Braidwood		M	24
Braidwood		M	34
Braidwood		M	19
Braidwood	0	F	19
Braidwood	0	M	15
Braidwood	Inf	F	4
Braidwood	Inf	M	15
Karabar		F	27
Karabar		F	18
Karabar		F	23
Karabar		F	33
Karabar		F	35
Karabar		F	50
Karabar		F	43
Karabar		F	44
Karabar		F	54
Karabar		F	30
Karabar		F	34
Karabar		F	27
Karabar		F	8
Karabar		M	15
Karabar		M	22
Karabar		M	18
Karabar		M	18
Karabar		M	27
Karabar		M	32
Karabar		M	41
Karabar		M	48
Karabar		M	32
Karabar		M	26
Karabar		M	35
Karabar		M	20
Karabar		M	3
Karabar	Inf	F	3
Karabar	Inf	M	8
Queanbeyan		F	141
Queanbeyan		F	136
Queanbeyan		F	140
Queanbeyan		F	173
Queanbeyan		F	271
Queanbeyan		F	366
Queanbeyan		F	387
Queanbeyan		F	389
Queanbeyan		F	257
Queanbeyan		F	215
Queanbeyan		F	159
Queanbeyan		F	167
Queanbeyan		F	35
Queanbeyan		M	78
Queanbeyan		M	55
Queanbeyan		M	69
Queanbeyan		M	103
Queanbeyan		M	153
Queanbeyan		M	240
Queanbeyan		M	387
Queanbeyan		M	356
Queanbeyan		M	249
Queanbeyan		M	234
Queanbeyan		M	159
Queanbeyan		M	300
Queanbeyan		M	29
Queanbeyan	0	F	15
Queanbeyan	0	M	9
Queanbeyan	Inf	F	42
Queanbeyan	Inf	M	105
Queanbeyan - East		F	59
Queanbeyan - East		F	33
Queanbeyan - East		F	35
Queanbeyan - East		F	45
Queanbeyan - East		F	48
Queanbeyan - East		F	113
Queanbeyan - East		F	92
Queanbeyan - East		F	91
Queanbeyan - East		F	65
Queanbeyan - East		F	28
Queanbeyan - East		F	26
Queanbeyan - East		F	24
Queanbeyan - East		F	20
Queanbeyan - East		M	73
Queanbeyan - East		M	31
Queanbeyan - East		M	40
Queanbeyan - East		M	45
Queanbeyan - East		M	106
Queanbeyan - East		M	194
Queanbeyan - East		M	347
Queanbeyan - East		M	409
Queanbeyan - East		M	258
Queanbeyan - East		M	183
Queanbeyan - East		M	110
Queanbeyan - East		M	131
Queanbeyan - East		M	25
Queanbeyan - East	0	F	8
Queanbeyan - East	0	M	8
Queanbeyan - East	Inf	F	7
Queanbeyan - East	Inf	M	54
Queanbeyan Region		F	68
Queanbeyan Region		F	71
Queanbeyan Region		F	78
Queanbeyan Region		F	63
Queanbeyan Region		F	105
Queanbeyan Region		F	82
Queanbeyan Region		F	126
Queanbeyan Region		F	100
Queanbeyan Region		F	83
Queanbeyan Region		F	88
Queanbeyan Region		F	41
Queanbeyan Region		F	85
Queanbeyan Region		F	19
Queanbeyan Region		M	52
Queanbeyan Region		M	31
Queanbeyan Region		M	48
Queanbeyan Region		M	57
Queanbeyan Region		M	86
Queanbeyan Region		M	100
Queanbeyan Region		M	166
Queanbeyan Region		M	228
Queanbeyan Region		M	186
Queanbeyan Region		M	181
Queanbeyan Region		M	136
Queanbeyan Region		M	301
Queanbeyan Region		M	25
Queanbeyan Region	0	F	25
Queanbeyan Region	0	M	23
Queanbeyan Region	Inf	F	45
Queanbeyan Region	Inf	M	167
Queanbeyan West - Jerrabomberra		F	33
Queanbeyan West - Jerrabomberra		F	41
