GCCSA_CODE_2016,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000mo_Mng,LG_3000mo_Pro,LG_3000mo_TecTW,LG_3000mo_CoPSW,LG_3000mo_ClAW,LG_3000mo_SWks,LG_3000mo_MaOpDv,LG_3000mo_Lab,LG_3000mo_IDNS,LG_3000mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot
9OTER,0,0,3,0,4,0,3,3,0,13,0,0,0,0,0,0,9,0,0,7,3,0,0,0,4,0,3,0,0,14,3,0,3,0,3,0,0,0,0,5,8,3,0,0,4,0,0,0,0,10,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,10,26,9,31,3,20,19,4,139,6,0,0,0,3,4,0,0,0,21,3,3,3,11,4,8,0,12,0,52,5,8,4,13,4,5,7,23,0,72,16,6,15,28,11,14,3,22,0,105,28,16,16,16,9,17,4,19,0,125,19,16,31,32,24,34,7,38,3,209,22,14,50,38,39,15,15,47,0,239,35,7,49,35,29,18,17,33,3,227,31,28,48,27,23,3,20,37,8,219,34,18,30,19,22,4,14,22,3,169,24,29,30,21,15,3,19,15,0,163,25,24,24,16,8,0,14,11,4,127
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,10
8ACTE,4,3,0,0,22,0,0,0,0,36,5,7,3,0,11,0,0,0,4,36,18,20,3,0,12,0,0,0,0,52,6,6,0,0,6,0,0,0,0,23,36,14,0,0,13,0,0,0,0,65,11,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,77,65,13,0,80,0,5,7,11,270,109,112,70,119,66,118,22,94,37,742,107,460,201,1725,271,2537,118,1073,50,6545,166,420,303,1813,517,1740,169,814,34,5966,210,458,448,1493,600,1269,131,702,44,5357,270,530,788,1556,745,1235,178,929,58,6292,510,864,1293,2111,1248,1590,294,1254,90,9259,883,1155,1821,2445,1730,1612,475,1269,129,11515,1572,1864,2478,2491,2440,1495,733,1334,184,14595,2032,3331,2870,1832,2914,964,691,884,243,15760,1655,3504,1857,779,1938,584,449,457,155,11383,1599,3604,1384,421,1272,376,266,239,162,9320,1256,2990,732,183,600,232,113,112,96,6319
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,9,11,4,3,3,10,8,58,3,72,29,92,12,17,6,32,7,274,6,51,32,71,18,22,12,65,3,277,9,39,65,69,14,24,28,56,3,294,8,36,116,58,7,24,27,79,5,361,16,39,201,98,20,34,35,110,10,563,21,28,255,78,19,27,58,137,7,630,36,55,334,73,25,27,76,143,11,782,58,60,467,67,33,35,70,162,13,967,64,37,343,20,19,29,34,102,11,657,54,40,288,14,8,16,23,54,5,506,41,46,155,6,4,10,9,38,4,322
7RNTE,25,20,25,20,69,0,12,27,5,203,20,35,18,25,44,3,4,11,7,155,32,20,10,11,17,0,0,3,0,99,35,5,3,6,6,0,0,3,0,63,47,15,3,0,5,0,0,3,0,74,22,0,0,0,3,0,0,3,0,29,4,10,3,16,9,0,0,26,0,74,217,186,108,335,264,14,52,270,49,1492,43,18,22,22,18,14,10,42,8,187,17,61,33,96,23,205,19,140,19,616,51,152,83,233,54,163,48,198,38,1024,33,126,80,158,75,117,45,156,25,815,68,119,106,204,81,116,57,167,14,937,99,224,184,384,187,207,112,426,42,1866,184,229,330,481,263,265,133,503,44,2424,273,277,412,505,395,268,189,459,40,2819,478,486,561,454,488,158,186,313,54,3175,422,528,402,321,276,83,189,180,39,2445,331,482,379,134,174,50,222,115,28,1928,231,496,275,77,91,14,214,57,28,1491
7GDAR,3,5,15,6,44,0,8,20,0,97,6,13,14,3,43,0,3,5,0,85,10,31,12,8,21,0,3,0,4,88,13,13,0,3,5,0,0,0,0,37,30,8,0,7,6,0,0,0,0,56,13,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,0,4,76,97,47,26,152,3,15,43,10,477,56,29,29,39,43,65,17,52,16,350,27,70,72,232,60,593,25,248,21,1347,54,75,93,223,127,402,47,241,21,1275,63,70,147,285,124,348,68,296,15,1421,80,96,252,378,203,383,98,395,19,1902,162,205,446,594,403,527,187,540,30,3095,290,279,645,825,661,696,287,723,41,4462,562,511,996,989,1059,704,556,736,95,6206,813,906,1476,774,1350,476,635,609,95,7143,726,974,1203,387,821,318,427,312,68,5227,743,1039,1053,200,593,183,306,194,66,4377,584,860,801,108,296,115,247,222,56,3290
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,8
79499,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,3,0,13,4,3,4,6,3,0,3,10,3,39,0,5,4,14,9,8,0,16,0,58,3,13,11,14,3,13,12,28,0,94,6,9,25,14,0,10,5,39,0,116,3,12,30,16,13,9,10,40,0,131,11,20,50,29,8,7,18,56,5,207,15,21,71,31,4,12,24,55,10,227,14,41,91,41,16,9,34,79,6,332,29,26,159,35,24,13,62,78,18,436,35,30,145,6,14,10,40,65,11,354,29,35,130,14,12,0,27,51,6,301,23,31,124,5,15,3,34,37,4,274
