GCCSA_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
5RWAU,3,15,30,3,4,0,5,4,0,55,0,3,8,3,0,3,4,9,5,37,3,9,25,26,4,67,3,34,31,195,156,267,1436,1385,475,3173,154,1617,162,8819
5GPER,8,17,18,13,4,15,4,7,0,81,3,3,11,22,14,16,3,8,6,93,14,36,95,169,48,331,24,159,106,988,1188,3069,5301,13680,3940,22483,1642,10477,777,62557
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,17
59499,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,5,19,10,0,3,0,3,13,48,32,238,726,492,74,147,56,340,54,2155
4RSAU,0,0,12,0,0,0,0,0,0,10,0,0,0,4,0,0,0,6,0,10,4,5,11,32,4,61,7,44,11,176,141,200,871,1319,304,2464,136,1786,101,7319
4GADE,7,5,0,11,4,6,0,0,0,35,0,3,4,14,6,8,0,11,3,49,11,26,42,109,25,231,11,105,72,626,732,2005,2755,9392,2503,14631,783,7511,474,40789
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,10,0,0,0,3,0,5,24,15,182,410,346,44,107,33,223,28,1379
3RQLD,4,35,36,3,5,4,21,4,0,112,4,3,11,15,7,16,4,13,7,85,17,41,118,197,59,435,18,216,168,1267,1117,2702,6236,12455,3831,22197,1188,10308,814,60853
3GBRI,8,17,12,16,12,3,0,4,3,73,3,10,0,24,10,28,3,9,3,80,20,55,90,197,74,364,17,156,165,1143,1626,5441,5895,16848,7446,25485,1852,11456,1040,77095
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3
39499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,5,25,11,0,5,0,9,20,77,73,429,1187,780,139,317,87,545,98,3654
2RVIC,3,0,3,0,0,3,0,0,0,16,6,4,14,13,0,21,0,7,3,74,21,25,100,143,19,306,11,182,109,915,828,1307,4718,7730,1702,14426,534,7737,605,39576
2GMEL,19,24,21,49,16,21,3,14,5,164,11,25,17,73,26,58,6,18,20,252,54,149,268,534,182,1062,52,353,399,3051,3330,9698,12864,32253,11985,54505,3328,22663,2437,153069
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
29499,0,0,3,0,0,0,0,0,0,8,0,0,7,4,0,0,0,0,0,17,5,7,66,22,6,13,0,21,23,151,105,673,2548,1282,164,500,174,817,136,6403
1RNSW,3,17,14,10,0,3,5,0,0,45,3,3,11,22,0,11,3,9,4,71,25,45,155,201,55,513,13,223,176,1409,1254,3321,8880,14396,3456,23369,1295,11725,942,68641
1GSYD,15,53,26,39,30,21,3,11,5,195,9,15,12,52,25,38,6,17,11,186,40,171,278,448,196,701,52,262,452,2601,3780,14368,15774,34139,15613,48748,3703,20517,2920,159575
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
19499,0,3,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,3,11,49,12,5,18,0,14,25,141,157,1043,3480,1392,250,563,188,964,154,8182
