GCCSA_CODE_2016,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
6RTAS,972,1767,105,90,2941,3124,1359,169,113,4762,3613,798,122,98,4633,3992,742,162,106,5007,3922,689,120,98,4828,4397,819,138,100,5455,4934,925,187,125,6162,4961,1056,224,90,6332,4481,1206,262,118,6061,2846,1344,261,73,4519,964,891,132,51,2028,329,453,40,33,851,192,311,37,34,573,38738,12343,1949,1127,54161,472,2688,144,100,3410,1862,2292,190,77,4423,2105,1904,284,57,4344,1748,2413,365,61,4583,1714,2772,257,61,4804,2366,3122,200,81,5771,3040,3300,230,97,6664,3047,3152,282,80,6561,2585,3043,363,89,6086,1350,2151,262,65,3823,406,918,101,41,1466,103,311,27,33,473,55,145,17,34,252,20832,28223,2715,885,52656,1444,4456,256,191,6348,4994,3653,356,187,9187,5716,2697,405,154,8976,5744,3153,527,168,9583,5631,3462,374,158,9627,6763,3944,343,180,11227,7970,4218,412,221,12826,8006,4207,502,173,12887,7060,4249,626,212,12141,4193,3498,521,136,8348,1370,1808,236,85,3501,431,766,65,64,1325
6GHOB,566,1595,103,60,2324,2300,1748,119,86,4251,3570,1064,109,98,4836,4071,877,131,100,5181,3976,743,135,75,4923,4291,805,130,80,5299,4511,805,138,69,5518,4306,862,172,88,5424,3877,974,203,54,5101,2176,969,147,38,3332,758,733,63,25,1582,158,304,36,9,509,68,183,13,28,286,34625,11663,1476,812,48574,304,2419,136,68,2929,1833,2460,209,69,4567,2608,1942,308,73,4927,2300,2423,473,58,5253,2051,2700,308,50,5110,2635,2950,207,49,5844,2986,2734,178,62,5954,3081,2539,231,67,5905,2540,2488,244,64,5339,1253,1787,177,38,3257,305,783,59,22,1175,71,258,22,11,358,19,107,14,25,169,21990,25589,2561,649,50786,868,4018,236,132,5252,4133,4209,327,159,8823,6179,3003,418,171,9765,6374,3301,598,158,10430,6035,3443,435,122,10027,6925,3757,338,122,11137,7492,3539,310,126,11478,7383,3398,397,149,11336,6419,3461,442,112,10440,3432,2755,328,78,6594,1068,1514,122,55,2761,231,559,62,20,872
69799,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,4,4,0,0,0,5,3,0,0,0,7,7,0,0,0,7,4,0,0,0,5,9,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,5,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,4,4,0,0,0,5,3,0,0,0,7,5,0,0,0,5,4,0,0,0,5,9,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
69499,142,80,10,10,245,405,127,22,20,576,500,155,32,16,699,535,140,34,12,732,435,157,26,15,632,471,169,41,11,694,545,220,36,20,819,522,222,35,22,802,430,245,42,18,728,264,236,44,16,560,73,115,21,0,202,14,35,5,9,62,9,25,4,3,39,4337,1930,341,172,6784,5,57,6,9,74,41,85,5,3,136,48,108,23,5,185,62,134,22,11,227,45,141,16,4,199,61,175,13,6,254,59,208,26,18,303,67,205,20,7,298,56,235,27,4,318,33,186,15,4,232,9,55,6,4,79,3,19,0,3,27,3,6,0,3,14,484,1611,178,77,2349,146,136,12,18,314,445,211,27,22,712,540,272,50,21,882,596,274,60,22,957,474,300,39,18,836,532,348,53,19,948,605,426,60,37,1126,590,426,59,28,1099,489,478,70,18,1050,298,418,57,19,790,81,168,24,6,278,15,56,7,13,85
5RWAU,2311,2963,196,221,5688,7500,1642,429,317,9889,13198,1570,859,304,15934,15602,1519,1129,376,18631,14335,1381,973,315,17006,14912,1572,956,361,17800,15227,1672,1042,367,18305,14079,1665,1035,341,17117,11851,1818,1003,261,14936,7249,1980,763,191,10182,2913,1542,301,115,4867,897,838,136,66,1943,525,599,79,85,1286,120607,20761,8899,3323,153587,1302,4215,207,179,5907,4647,2733,334,196,7908,6432,3204,711,189,10538,5438,4815,907,186,11350,4739,5306,550,175,10776,5741,5708,403,197,12054,6592,5566,469,226,12854,6517,4988,594,219,12326,5403,4719,670,190,10981,3027,3594,473,122,7222,947,1675,217,66,2905,301,692,72,50,1121,148,331,41,67,594,51249,47551,5658,2069,106527,3614,7177,407,401,11592,12152,4371,766,514,17799,19638,4771,1564,489,26469,21041,6336,2038,564,29983,19078,6690,1531,488,27785,20657,7286,1365,560,29859,21819,7242,1509,595,31158,20599,6650,1637,560,29441,17252,6541,1676,455,25923,10280,5576,1238,315,17407,3858,3211,519,179,7772,1203,1532,210,114,3060
5GPER,4779,14508,619,483,20388,21792,16770,1033,1046,40640,37426,9643,1194,1086,49352,45360,7086,1253,1004,54712,41486,5467,1141,823,48909,40381,5031,1018,729,47155,39615,5116,1102,695,46525,35550,5143,1158,564,42415,28763,5437,1237,466,35903,18181,6361,1104,315,25957,6773,5307,579,166,12818,1665,2669,204,104,4634,620,1487,117,85,2307,322388,90017,11740,7577,431724,2674,20181,743,513,24118,18356,21557,1269,847,42035,30584,15889,2311,781,49565,25479,19672,3519,638,49308,19471,21381,2251,525,43635,21154,22699,1309,567,45728,24079,21608,1201,597,47492,22700,18669,1344,500,43213,17780,16430,1391,421,36017,9780,12664,1105,273,23821,2936,6063,540,146,9688,507,1962,156,79,2706,182,770,62,94,1109,195689,199550,17211,5991,418438,7453,34692,1361,1002,44502,40154,38333,2299,1892,82678,68005,25537,3508,1865,98911,70847,26759,4769,1643,104020,60955,26847,3392,1348,92551,61543,27729,2320,1294,92886,63696,26724,2303,1294,94015,58246,23812,2502,1073,85632,46542,21862,2624,888,71916,27958,19023,2213,591,49780,9709,11371,1120,315,22505,2169,4632,358,181,7342
59799,3,4,0,0,10,32,0,0,3,33,129,10,9,4,145,194,3,29,0,229,177,14,25,0,216,184,6,14,4,215,169,11,29,0,206,168,10,32,0,219,124,3,19,0,146,51,3,3,0,60,9,0,0,0,12,3,0,0,0,3,4,0,0,0,4,1242,73,158,27,1495,5,0,0,0,5,7,0,0,0,7,8,0,0,0,14,8,0,3,3,15,10,3,3,0,12,7,0,0,0,7,4,0,0,0,8,12,0,0,0,12,9,0,0,0,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3,3,8,99,9,8,0,0,12,37,0,0,3,42,131,10,10,3,155,199,7,29,5,244,190,16,24,0,223,192,10,14,8,229,175,11,29,4,216,185,10,32,0,230,131,3,19,0,154,54,3,3,0,62,9,0,0,0,17,3,0,0,0,3
59499,888,590,48,48,1579,2628,1129,170,98,4025,3737,1044,293,106,5180,3674,977,290,113,5057,3172,881,262,98,4418,3086,989,251,87,4413,3068,1031,260,90,4458,2867,1048,283,82,4273,2115,1025,245,65,3454,1255,1000,242,55,2550,447,568,102,19,1140,99,214,36,6,353,43,92,24,11,168,27086,10581,2510,888,41065,63,313,26,29,431,349,693,73,35,1150,567,690,104,33,1391,467,739,143,45,1390,329,861,112,38,1335,428,966,74,32,1508,519,1044,85,29,1678,429,995,76,41,1543,344,870,115,29,1360,177,639,91,20,926,42,302,46,15,406,13,87,14,3,119,8,31,13,13,64,3738,8236,978,362,13312,951,905,75,74,2008,2982,1814,248,133,5176,4302,1729,395,141,6570,4139,1720,436,163,6450,3502,1739,369,139,5751,3516,1958,327,121,5924,3585,2080,347,122,6135,3293,2041,361,121,5820,2462,1898,368,93,4818,1433,1633,339,68,3476,489,877,151,30,1547,116,300,48,12,474
4RSAU,1341,2399,137,146,4026,4448,1503,212,153,6315,5528,1060,230,137,6960,5928,903,202,157,7191,5737,901,214,126,6976,6394,957,227,133,7714,7140,1158,270,173,8741,7079,1303,326,155,8867,6668,1450,384,150,8649,4648,1663,372,99,6789,1818,1289,194,71,3373,648,711,92,51,1498,418,510,69,96,1094,57797,15800,2941,1645,78189,527,3415,172,124,4242,2409,2690,262,107,5471,2928,2430,416,103,5874,2269,3330,489,102,6192,2214,3578,270,86,6148,3195,3974,249,113,7532,3896,4342,260,99,8595,3977,4172,329,124,8603,3389,4167,386,110,8049,2044,3000,331,94,5463,723,1398,171,62,2349,221,552,52,51,877,154,288,39,66,553,27943,37323,3431,1241,69948,1871,5820,311,269,8269,6860,4191,475,259,11785,8458,3490,644,240,12832,8195,4229,689,262,13381,7949,4480,485,207,13128,9595,4927,475,250,15242,11033,5497,532,276,17337,11053,5481,650,278,17464,10053,5610,771,257,16699,6694,4657,702,192,12251,2544,2680,372,128,5725,868,1262,143,100,2375
4GADE,2313,9149,404,286,12157,13064,11540,640,609,25854,21889,6654,662,584,29788,26179,5316,720,574,32788,25155,4347,674,466,30647,25854,4124,641,412,31031,26210,4131,689,468,31492,24327,4281,802,378,29787,20938,4394,873,286,26488,13022,4528,700,235,18480,4492,3524,380,128,8522,1102,1737,123,79,3037,476,940,84,75,1578,205023,64654,7387,4579,281645,1202,13428,502,325,15455,9850,15610,946,506,26906,16816,10541,1658,476,29496,14620,13143,2701,402,30872,12144,14285,1639,315,28384,13782,15185,896,332,30192,16179,15001,784,366,32327,16011,13591,980,315,30891,13270,12425,1085,249,27033,7411,9083,835,209,17547,2070,4242,382,117,6806,405,1349,112,70,1932,153,509,52,114,825,123913,138404,12567,3793,278672,3518,22584,908,612,27618,22913,27144,1585,1112,52755,38708,17195,2320,1065,59285,40804,18454,3424,975,63656,37302,18633,2314,782,59026,39636,19305,1535,741,61219,42388,19132,1475,827,63820,40335,17873,1783,692,60682,34212,16817,1952,532,53520,20435,13613,1536,443,36022,6560,7770,754,243,15333,1502,3089,233,147,4975
