GCCSA_CODE_2016,F_IDNS_H_0,F_IDNS_H_1_15,F_IDNS_H_16_24,F_IDNS_H_25_34,F_IDNS_H_35_39,F_IDNS_H_40,F_IDNS_H_41_48,F_IDNS_H_49_more,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_15,F_Tot_H_16_24,F_Tot_H_25_34,F_Tot_H_35_39,F_Tot_H_40,F_Tot_H_41_48,F_Tot_H_49_more,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_15,P_AgFF_H_16_24,P_AgFF_H_25_34,P_AgFF_H_35_39,P_AgFF_H_40,P_AgFF_H_41_48,P_AgFF_H_49_more,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_15,P_Min_H_16_24,P_Min_H_25_34,P_Min_H_35_39,P_Min_H_40,P_Min_H_41_48,P_Min_H_49_more,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_15,P_Mnf_H_16_24,P_Mnf_H_25_34,P_Mnf_H_35_39,P_Mnf_H_40,P_Mnf_H_41_48,P_Mnf_H_49_more,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_15,P_EGWWS_H_16_24,P_EGWWS_H_25_34,P_EGWWS_H_35_39,P_EGWWS_H_40,P_EGWWS_H_41_48,P_EGWWS_H_49_more,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_15,P_Const_H_16_24,P_Const_H_25_34,P_Const_H_35_39,P_Const_H_40,P_Const_H_41_48,P_Const_H_49_more,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_15,P_WST_H_16_24,P_WST_H_25_34,P_WST_H_35_39,P_WST_H_40,P_WST_H_41_48,P_WST_H_49_more,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_15,P_RetT_H_16_24,P_RetT_H_25_34,P_RetT_H_35_39,P_RetT_H_40,P_RetT_H_41_48,P_RetT_H_49_more,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_15,P_AcFd_H_16_24,P_AcFd_H_25_34,P_AcFd_H_35_39,P_AcFd_H_40,P_AcFd_H_41_48,P_AcFd_H_49_more,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_15,P_TPW_H_16_24,P_TPW_H_25_34,P_TPW_H_35_39,P_TPW_H_40,P_TPW_H_41_48,P_TPW_H_49_more,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_15,P_IMT_H_16_24,P_IMT_H_25_34,P_IMT_H_35_39,P_IMT_H_40,P_IMT_H_41_48,P_IMT_H_49_more,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_15,P_FinIns_H_16_24,P_FinIns_H_25_34,P_FinIns_H_35_39,P_FinIns_H_40,P_FinIns_H_41_48,P_FinIns_H_49_more,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_15,P_RHRE_H_16_24,P_RHRE_H_25_34,P_RHRE_H_35_39,P_RHRE_H_40,P_RHRE_H_41_48,P_RHRE_H_49_more,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_15,P_ProSTS_H_16_24,P_ProSTS_H_25_34,P_ProSTS_H_35_39,P_ProSTS_H_40,P_ProSTS_H_41_48,P_ProSTS_H_49_more,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_15,P_AdSup_H_16_24,P_AdSup_H_25_34,P_AdSup_H_35_39,P_AdSup_H_40,P_AdSup_H_41_48,P_AdSup_H_49_more,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_15,P_PubAS_H_16_24,P_PubAS_H_25_34,P_PubAS_H_35_39,P_PubAS_H_40,P_PubAS_H_41_48,P_PubAS_H_49_more,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_15,P_EdTrn_H_16_24,P_EdTrn_H_25_34,P_EdTrn_H_35_39,P_EdTrn_H_40,P_EdTrn_H_41_48,P_EdTrn_H_49_more,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_15,P_HltHC_SA_H_16_24,P_HltHC_SA_H_25_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40,P_HltHC_SA_H_41_48,P_HltHC_SA_H_49_more,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_15,P_ArtsR_H_16_24,P_ArtsR_H_25_34,P_ArtsR_H_35_39,P_ArtsR_H_40,P_ArtsR_H_41_48,P_ArtsR_H_49_more,P_ArtsR_H_NS,P_ArtsR_H_Tot
6RTAS,81,279,149,175,151,105,40,57,372,1420,2715,9732,8833,9655,8963,5396,2736,3740,885,52656,350,831,695,939,1085,1653,832,2654,161,9194,87,37,42,46,125,196,463,608,34,1632,339,663,616,792,2275,1855,1307,1251,78,9185,56,42,55,73,398,333,205,218,11,1390,203,407,343,576,1143,1939,899,1083,75,6672,93,218,168,237,715,608,344,418,24,2819,448,2711,1735,1869,2261,1161,817,1092,129,12227,413,2839,1304,1143,889,528,392,914,139,8571,306,455,451,498,746,765,580,1193,73,5053,41,113,94,99,255,140,101,83,8,938,103,131,209,265,525,378,133,166,12,1927,59,138,109,127,314,201,113,236,6,1306,144,499,402,473,800,639,331,537,27,3849,112,627,395,369,550,319,165,257,47,2843,313,359,569,780,1631,937,462,473,48,5583,368,1258,1507,1531,1752,1185,764,1152,66,9592,833,1539,2450,3317,2681,1728,776,1067,137,14531,74,390,218,230,277,204,88,156,21,1651
6GHOB,62,183,128,143,148,85,23,56,285,1123,2561,8399,7912,9278,10337,5481,2891,3286,649,50786,56,143,118,169,287,275,147,270,17,1488,7,9,5,3,14,36,52,42,3,176,170,452,371,394,1307,1212,780,681,42,5409,73,49,61,118,722,460,273,275,8,2030,162,318,310,476,1092,2077,763,1020,64,6289,58,160,128,150,481,378,221,260,9,1846,481,2629,1476,1587,2115,1157,750,835,91,11112,233,2704,1103,1015,854,613,459,728,95,7811,152,248,316,354,645,662,449,599,50,3480,85,152,154,202,527,380,189,174,7,1865,120,117,214,298,836,481,231,255,11,2563,33,134,119,126,325,214,136,221,13,1315,204,600,524,688,1315,1210,602,824,32,5986,98,510,353,333,533,380,160,199,27,2590,651,425,897,1282,3885,1789,1062,985,81,11049,371,1364,1354,1543,1846,1446,868,1314,70,10183,763,1477,2555,3576,3044,1620,810,1215,111,15176,74,506,268,310,398,310,158,201,26,2261
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,3,3,4,0,13,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,15,38,17,10,14,7,4,9,40,158,178,821,439,353,185,136,47,112,77,2349,40,56,46,56,63,121,63,229,22,695,12,0,0,0,6,8,10,31,0,67,14,23,12,21,33,39,22,39,3,211,3,6,7,3,10,14,5,13,0,68,112,197,209,385,542,1008,395,481,42,3364,5,15,9,8,24,23,11,37,0,137,18,55,26,28,36,32,11,22,3,229,6,40,12,13,8,7,0,9,4,105,60,47,41,55,49,61,31,163,10,515,5,13,3,11,20,27,18,18,0,111,11,4,0,0,4,3,0,4,0,31,4,12,7,5,3,8,6,4,0,45,12,91,49,42,23,35,15,40,3,303,35,341,180,154,84,52,42,49,18,949,35,28,22,37,22,31,22,29,6,225,24,83,51,22,34,18,6,5,3,246,69,275,193,180,77,45,20,49,9,924,3,49,11,18,6,9,0,11,3,109
5RWAU,209,590,354,380,387,400,121,362,878,3690,5658,16680,14085,16780,16578,12932,7218,14523,2069,106527,982,1847,1462,1667,1192,3266,1818,8836,379,21445,4032,872,857,562,1553,2289,6030,28295,692,45177,600,819,649,911,2128,2413,2356,3137,133,13150,198,87,99,142,680,568,538,1025,31,3369,1291,1185,902,1303,2131,3597,2021,11210,333,23976,159,277,219,272,670,985,745,1353,34,4719,764,4273,2566,3055,3441,2198,1532,2256,233,20316,670,3693,1868,2226,1708,1387,1007,3471,272,16302,727,852,780,933,1118,1633,1363,3890,174,11464,40,201,98,132,249,193,146,160,14,1236,155,222,290,306,491,533,302,369,11,2678,144,306,224,319,663,579,307,775,32,3351,413,867,685,766,1042,1156,641,2876,64,8513,340,1140,770,883,838,797,488,1760,89,7109,776,765,906,982,3276,3064,1658,1714,153,13280,906,2186,2445,3244,3127,2824,1791,2686,191,19393,1249,2363,3264,4389,4733,3079,1208,1908,193,22378,162,523,287,300,413,385,142,301,30,2541
5GPER,511,2584,1676,1564,2099,1992,590,859,2513,14387,17211,70773,63594,65180,81305,60283,25559,28540,5991,418438,189,696,658,730,898,1015,480,1095,58,5820,1434,649,957,991,2962,7104,4026,8356,238,26703,1205,3196,2805,3204,13042,11856,7261,7557,363,50484,357,259,388,507,2623,2429,1484,1689,59,9803,1771,4017,4007,5060,9909,19960,9137,15854,858,70570,576,1407,1433,1764,5496,6204,3180,3750,154,23967,2622,21508,13648,12171,15026,9681,5358,7601,887,88498,1616,18768,10037,6980,6347,5155,3059,4896,800,57653,1470,2301,2653,4131,7018,8135,5051,7542,536,38833,264,1141,794,813,2126,2383,951,1098,80,9653,916,1301,2041,2236,5305,6538,2491,3358,135,24307,408,1598,1362,1495,3107,3653,1702,3054,102,16482,1824,5627,5158,5536,10750,16919,7280,10737,327,64163,738,4309,4015,3144,4277,4432,1916,2638,282,25751,2963,2954,3961,4064,17070,13421,6895,6045,410,57791,2956,11770,10412,11427,13997,12443,6634,9715,593,79953,4994,12220,17088,20384,25405,15065,6104,7892,1012,110161,532,3772,1887,1882,2454,2130,1065,1508,153,15378
59799,3,0,4,0,0,0,0,3,6,14,3,0,0,0,3,0,0,70,8,99,6,6,3,4,5,8,0,32,7,71,76,12,4,4,5,7,12,474,8,598,3,0,0,0,0,0,0,16,0,22,5,0,0,0,0,0,3,37,0,46,20,10,6,0,5,3,3,139,0,181,0,0,0,3,0,0,0,18,0,24,0,0,0,0,0,0,0,3,0,7,0,4,0,0,0,0,3,46,0,59,22,3,0,3,4,0,0,179,6,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,34,0,46,4,0,3,0,0,0,0,33,0,47,5,0,0,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
59499,90,189,95,83,65,82,20,54,217,897,978,3960,2248,2026,1195,1068,449,1022,362,13312,126,156,142,159,121,210,81,386,26,1400,652,92,76,48,104,164,258,2470,68,3936,83,77,83,90,164,221,110,268,14,1104,36,26,12,34,51,66,34,117,3,389,893,1123,1399,2223,2778,5798,2188,4056,299,20753,34,57,66,58,117,165,78,171,7,755,82,290,188,183,206,241,121,176,12,1498,84,193,84,66,45,61,32,176,15,753,225,328,306,429,302,466,283,966,76,3365,21,82,28,51,80,115,58,85,7,524,34,36,18,21,36,45,16,31,0,240,22,56,35,42,32,46,17,60,0,318,116,447,222,217,140,250,108,332,25,1848,250,1522,901,908,444,504,163,437,70,5196,110,149,96,101,123,206,91,178,17,1070,111,602,270,232,141,121,40,93,33,1632,246,885,666,725,403,214,112,193,36,3478,29,281,50,60,32,38,18,37,6,559
4RSAU,99,326,191,214,180,159,51,120,507,1851,3431,12801,11195,13326,11023,6789,3923,6206,1241,69948,878,1948,1495,2096,2288,3770,2083,7477,374,22410,325,100,162,110,337,403,701,2910,69,5118,534,913,756,1099,3370,3463,2180,2205,134,14653,74,76,48,92,335,374,202,225,19,1439,258,605,521,733,1577,1931,990,1698,97,8400,141,249,211,292,703,1020,539,667,47,3876,620,3551,2174,2666,2486,1475,1214,1571,170,15922,412,3501,1613,1536,914,645,543,1358,174,10695,247,596,548,604,728,750,549,1553,108,5672,26,122,69,75,236,127,75,101,11,828,99,174,223,278,357,328,144,203,7,1804,61,175,136,151,342,184,128,224,4,1399,125,541,371,502,617,500,302,550,34,3542,154,930,564,569,693,542,308,460,59,4281,414,331,547,690,2298,1388,788,701,61,7220,518,1346,1614,2093,1700,1296,1127,1947,76,11722,1023,1992,3238,4383,3492,1523,810,1168,189,17823,51,289,149,178,190,135,74,141,28,1227
4GADE,260,1123,716,845,968,621,235,358,1559,6685,12567,46154,41485,50764,58443,30774,16887,17802,3793,278672,190,734,538,744,1017,1018,542,1178,100,6076,175,85,100,155,479,698,442,1029,24,3183,989,2582,2288,3307,13841,8971,6130,5526,345,43978,267,235,302,437,2076,1820,1069,1115,51,7369,887,2375,1868,2974,6001,8825,4530,7043,389,34892,405,1030,913,1308,4539,3594,2292,2488,92,16664,2058,15453,8493,9610,11085,5703,4593,5002,603,62598,1037,13124,5987,5649,3979,2689,2289,3239,516,38504,870,1354,1664,2525,5029,4017,3163,4488,287,23394,273,763,631,724,2344,1871,777,916,61,8356,768,834,1536,2166,5282,3618,1911,2072,97,18280,265,828,724,846,1832,1461,893,1470,71,8387,1052,3452,3072,3714,7558,7771,3884,5745,208,36469,551,3125,2660,2614,3948,2294,1284,1457,175,18109,2260,1601,2838,4018,14753,9781,5245,3794,294,44584,1967,7072,6146,7337,9733,7080,4541,7203,339,51418,4492,9249,13888,19996,21169,9079,4698,5908,775,89263,271,2191,989,1222,1245,1096,559,792,90,8449
