GCCSA_CODE_2016,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_2016,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_2016,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_2016,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_2016,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_2016,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_2016,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_2016,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_2016,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_2016,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_2016,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_2016,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_2016,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_2016,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_2016,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_2016,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_2016,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_2016,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_2016,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_2016,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_2016,SEO_IDNS_NS,SEO_IDNS_Tot,SEO_Tot_Bf_91,SEO_Tot_91_95,SEO_Tot_96_00,SEO_Tot_01_05,SEO_Tot_06_10,SEO_Tot_11_15,SEO_Tot_2016,SEO_Tot_NS,SEO_Tot_Tot,SOLSEWVW_AGFF_Bf_91,SOLSEWVW_AGFF_91_95,SOLSEWVW_AGFF_96_00,SOLSEWVW_AGFF_01_05,SOLSEWVW_AGFF_06_10,SOLSEWVW_AGFF_11_15,SOLSEWVW_AGFF_2016,SOLSEWVW_AGFF_NS,SOLSEWVW_AGFF_Tot,SOLSEWVW_Min_Bf_91,SOLSEWVW_Min_91_95
6RTAS,338,39,81,50,80,86,10,26,713,58,5,3,6,12,4,0,0,88,323,39,45,44,59,34,3,20,577,52,9,4,7,18,7,0,0,93,205,19,18,24,26,13,3,9,313,95,14,13,8,14,12,0,6,158,374,33,53,36,66,34,3,19,623,266,29,66,56,48,61,14,19,555,218,13,19,22,16,16,0,8,313,41,0,9,7,11,5,0,0,73,86,3,9,9,4,4,0,3,126,70,0,9,3,5,8,0,3,90,256,20,37,23,38,12,3,8,400,134,10,18,13,14,15,0,7,210,301,20,31,22,26,13,0,11,415,574,32,48,54,57,34,0,17,821,906,71,78,110,113,101,9,34,1422,100,11,10,11,10,3,0,0,139,153,9,13,17,16,18,0,8,233,132,16,19,21,15,10,0,17,237,4673,384,577,545,664,491,49,219,7602,32,8,12,31,44,139,12,8,286,5,0
6GHOB,79,3,5,17,16,15,0,3,147,8,0,0,0,0,0,0,0,10,207,19,27,37,23,32,0,11,354,97,15,25,19,15,15,0,3,200,202,21,35,31,33,22,0,8,360,81,12,10,7,6,4,0,5,130,340,31,56,51,68,45,3,25,619,175,30,57,69,78,105,9,16,542,162,8,14,17,12,12,0,5,228,103,5,10,17,17,3,0,7,167,102,3,9,16,21,11,5,0,178,79,9,4,5,5,3,3,6,119,422,43,51,55,62,58,3,17,716,125,16,10,13,12,7,0,4,188,729,40,77,68,72,32,3,18,1037,695,64,78,95,95,90,12,22,1155,1022,92,141,127,157,108,11,22,1685,121,17,17,19,15,19,7,8,226,177,14,22,26,21,22,3,7,292,137,9,11,12,20,11,0,20,222,5064,475,676,701,771,615,52,214,8574,9,0,6,4,16,25,0,0,68,3,0
69799,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
69499,16,0,6,0,3,3,0,0,25,4,0,0,0,0,0,0,0,7,10,0,0,0,3,0,0,0,16,0,0,3,0,0,0,0,0,5,116,10,18,18,17,8,0,4,188,11,0,0,0,0,0,0,0,11,7,0,0,3,4,0,0,0,15,3,0,0,0,0,3,0,0,9,29,3,3,0,0,0,0,0,36,13,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,32,3,3,0,3,0,0,0,44,65,3,3,3,12,0,0,0,93,8,3,0,0,3,0,0,0,26,24,3,8,4,0,0,0,0,36,67,3,3,3,9,7,0,0,101,4,0,3,3,3,0,0,0,15,16,0,3,0,0,3,0,0,25,15,0,0,3,0,0,0,4,19,443,40,57,44,58,25,0,20,682,3,0,0,0,0,0,0,0,7,0,0
5RWAU,1127,103,141,161,215,308,40,86,2178,3480,602,852,987,2055,1377,28,221,9612,917,99,155,178,352,292,25,57,2065,271,37,34,46,104,98,0,16,601,1733,248,362,457,947,814,14,110,4674,274,28,59,55,109,116,0,22,670,1269,115,190,227,405,384,27,90,2698,1011,113,208,260,543,648,54,79,2907,916,80,128,160,330,298,8,67,1987,93,17,16,20,31,14,0,14,200,205,25,24,28,72,55,3,7,418,271,24,25,45,68,103,0,11,551,802,85,139,167,282,244,6,44,1769,586,61,86,105,242,248,11,43,1382,1259,154,151,168,377,283,13,75,2470,1708,182,224,225,372,248,12,89,3060,2170,216,275,414,616,581,17,116,4399,193,22,23,37,60,40,0,24,400,508,64,91,123,178,229,3,39,1258,686,68,120,155,274,231,13,118,1670,19475,2351,3303,4002,7626,6620,279,1332,44992,184,22,41,61,190,336,78,78,981,404,152
5GPER,462,48,65,95,125,136,22,23,981,2617,479,651,823,1345,953,27,90,6978,5334,774,916,1191,1878,1671,46,201,12009,1071,167,195,305,563,421,17,44,2779,6594,1109,1464,1827,3764,3880,119,359,19121,2546,358,463,533,930,832,12,97,5772,6749,1072,1608,2193,3208,2635,99,356,17917,1872,460,901,1488,2466,2474,127,232,10021,4246,504,707,810,1424,1286,35,181,9197,980,143,197,245,376,310,9,43,2304,2807,443,516,672,996,882,28,83,6422,1951,264,284,368,568,524,18,70,4047,6836,1134,1512,1810,2668,2352,99,222,16634,2357,369,451,583,1000,1305,71,153,6290,7722,965,1082,1243,2066,1541,48,211,14894,9828,1326,1600,2004,2656,2000,80,284,19785,13481,2076,2388,3224,4841,4356,205,504,31075,1398,185,287,340,490,410,13,60,3186,3319,545,675,823,1496,1579,66,161,8668,3508,546,723,911,1610,1501,84,466,9352,85679,12975,16675,21487,34474,31078,1226,3838,207437,265,54,42,88,188,233,32,31,945,522,273
59799,5,0,0,0,0,0,0,0,9,67,15,18,17,28,12,3,9,171,0,0,3,0,3,0,0,0,6,4,0,0,0,0,3,0,0,12,39,7,3,7,12,3,0,3,73,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,7,4,3,4,3,0,0,0,23,22,3,4,3,9,5,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,6,0,0,13,6,0,0,0,6,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,4,4,7,7,5,0,0,54,173,35,42,39,65,42,3,16,419,4,0,0,0,0,0,0,0,4,4,4
59499,86,10,26,31,30,33,3,15,238,291,58,88,99,195,169,3,36,934,128,22,24,25,55,28,4,10,292,44,3,9,17,14,14,0,5,100,1930,303,445,539,1041,953,36,154,5401,89,11,11,26,35,28,0,0,196,175,24,20,31,66,48,9,13,390,55,10,22,21,32,35,0,3,185,350,30,49,55,68,69,4,20,645,58,6,18,10,23,14,0,3,130,42,3,0,4,9,7,0,3,67,39,3,7,0,10,10,0,6,78,218,30,36,41,67,54,9,6,466,575,60,82,116,216,167,11,34,1263,114,19,28,23,44,29,0,6,265,202,24,33,50,66,46,3,10,432,456,69,59,109,162,116,6,23,1005,36,7,11,12,9,10,0,3,93,280,50,46,60,117,74,8,14,648,296,40,70,63,110,101,8,39,721,5469,793,1089,1327,2369,2005,107,401,13562,13,0,0,0,5,18,3,6,49,47,10
4RSAU,594,37,44,65,81,104,27,46,1001,246,18,31,38,59,38,4,12,444,747,43,78,86,97,90,7,34,1182,69,3,4,8,8,5,0,0,98,359,25,37,31,54,22,3,27,551,101,6,7,13,18,18,3,7,173,639,35,39,56,82,50,3,30,935,471,21,49,57,83,77,7,31,802,284,16,8,10,20,12,0,14,366,39,0,3,8,3,5,0,0,64,72,5,3,7,9,7,0,0,101,81,3,3,3,7,8,0,3,107,214,16,16,21,24,11,0,7,315,287,15,17,22,31,29,3,11,410,411,25,28,40,83,46,0,17,653,611,34,41,51,91,45,0,19,895,1166,55,90,116,128,110,4,56,1725,93,0,6,4,8,14,0,6,128,220,16,22,18,27,25,0,10,338,219,10,19,18,35,24,3,25,354,6934,375,551,669,954,733,60,354,10627,159,24,38,43,195,273,57,35,817,37,11
4GADE,316,19,31,28,41,45,18,19,508,214,26,49,46,84,53,0,3,474,3740,299,315,432,644,345,16,122,5917,575,33,80,102,146,98,4,15,1057,2521,215,241,327,619,437,12,107,4485,1252,78,98,143,201,136,10,42,1965,3411,293,426,578,837,401,26,123,6098,1083,155,317,457,739,498,34,89,3371,1988,126,120,166,283,163,11,76,2938,565,61,59,90,148,91,6,19,1053,1338,121,158,203,292,143,10,31,2295,724,29,54,51,91,82,4,21,1052,2781,287,312,448,604,456,33,96,5012,1453,99,150,165,260,204,16,47,2391,4180,316,342,436,704,336,16,110,6449,4376,375,420,539,786,604,32,127,7259,8011,685,700,1045,1581,983,62,231,13316,499,45,79,87,136,100,9,22,976,1599,138,148,214,347,252,9,59,2768,1190,84,114,178,241,153,12,109,2088,41819,3499,4218,5740,8791,5577,334,1479,71457,364,68,50,71,220,231,11,31,1040,40,16
49799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
