LGA_NAME16	CountryOfBirth	Sex	workers
Albury (C)		F	403
Albury (C)		M	401
Albury (C)	AUS	F	11827
Albury (C)	AUS	M	9907
Albury (C)	CAN	F	12
Albury (C)	CAN	M	28
Albury (C)	CHN	F	39
Albury (C)	CHN	M	32
Albury (C)	HRV	F	8
Albury (C)	HRV	M	9
Albury (C)	EGY	M	4
Albury (C)	FJI	F	17
Albury (C)	FJI	M	11
Albury (C)	DEU	F	39
Albury (C)	DEU	M	29
Albury (C)	GRC	F	3
Albury (C)	GRC	M	5
Albury (C)	HKG	F	10
Albury (C)	HKG	M	14
Albury (C)	IND	F	142
Albury (C)	IND	M	171
Albury (C)	IDN	F	6
Albury (C)	IDN	M	4
Albury (C)	IRN	F	6
Albury (C)	IRN	M	7
Albury (C)	IRQ	M	3
Albury (C)	IRL	F	7
Albury (C)	IRL	M	24
Albury (C)	ITA	F	7
Albury (C)	ITA	M	10
Albury (C)	JPN	F	3
Albury (C)	LBN	F	3
Albury (C)	LBN	M	10
Albury (C)	MYS	F	26
Albury (C)	MYS	M	10
Albury (C)	MLT	F	3
Albury (C)	NLD	F	31
Albury (C)	NLD	M	33
Albury (C)	NZL	F	151
Albury (C)	NZL	M	166
Albury (C)	PAK	M	9
Albury (C)	PHL	F	100
Albury (C)	PHL	M	52
Albury (C)	POL	F	11
Albury (C)	POL	M	8
Albury (C)	SGP	F	10
Albury (C)	SGP	M	8
Albury (C)	ZAF	F	50
Albury (C)	ZAF	M	41
Albury (C)	KOR	F	11
Albury (C)	KOR	M	9
Albury (C)	LKA	F	22
Albury (C)	LKA	M	33
Albury (C)	THA	F	35
Albury (C)	THA	M	3
Albury (C)	TUR	M	4
Albury (C)	GBR	F	335
Albury (C)	GBR	M	326
Albury (C)	USA	F	27
Albury (C)	USA	M	34
Albury (C)	VNM	F	15
Albury (C)	VNM	M	15
Albury (C)	ZWE	F	14
Albury (C)	ZWE	M	3
Armidale Regional (A)		F	302
Armidale Regional (A)		M	291
Armidale Regional (A)	AUS	F	5728
Armidale Regional (A)	AUS	M	5401
Armidale Regional (A)	CAN	F	20
Armidale Regional (A)	CAN	M	18
Armidale Regional (A)	CHN	F	39
Armidale Regional (A)	CHN	M	41
Armidale Regional (A)	FJI	F	14
Armidale Regional (A)	FJI	M	15
Armidale Regional (A)	DEU	F	31
Armidale Regional (A)	DEU	M	19
Armidale Regional (A)	HKG	F	7
Armidale Regional (A)	HKG	M	12
Armidale Regional (A)	IND	F	31
Armidale Regional (A)	IND	M	65
Armidale Regional (A)	IDN	F	11
Armidale Regional (A)	IDN	M	6
Armidale Regional (A)	IRN	F	12
Armidale Regional (A)	IRN	M	17
Armidale Regional (A)	IRQ	M	3
Armidale Regional (A)	IRL	F	8
Armidale Regional (A)	IRL	M	9
Armidale Regional (A)	ITA	F	6
Armidale Regional (A)	ITA	M	3
Armidale Regional (A)	JPN	F	17
Armidale Regional (A)	LBN	F	3
Armidale Regional (A)	MYS	F	17
Armidale Regional (A)	MYS	M	16
Armidale Regional (A)	NLD	F	18
Armidale Regional (A)	NLD	M	17
Armidale Regional (A)	NZL	F	102
Armidale Regional (A)	NZL	M	107
Armidale Regional (A)	PAK	F	3
Armidale Regional (A)	PAK	M	24
Armidale Regional (A)	PHL	F	47
Armidale Regional (A)	PHL	M	32
Armidale Regional (A)	POL	M	3
Armidale Regional (A)	SGP	F	8
Armidale Regional (A)	SGP	M	3
Armidale Regional (A)	ZAF	F	31
Armidale Regional (A)	ZAF	M	37
Armidale Regional (A)	KOR	F	4
Armidale Regional (A)	KOR	M	3
Armidale Regional (A)	LKA	F	14
Armidale Regional (A)	LKA	M	21
Armidale Regional (A)	THA	F	8
Armidale Regional (A)	THA	M	4
Armidale Regional (A)	GBR	F	162
Armidale Regional (A)	GBR	M	173
Armidale Regional (A)	USA	F	38
Armidale Regional (A)	USA	M	34
Armidale Regional (A)	VNM	F	15
Armidale Regional (A)	VNM	M	13
Armidale Regional (A)	ZWE	F	5
Armidale Regional (A)	ZWE	M	6
Ballina (A)		F	245
Ballina (A)		M	247
Ballina (A)	AUS	F	6499
Ballina (A)	AUS	M	6237
Ballina (A)	CAN	F	21
Ballina (A)	CAN	M	27
Ballina (A)	CHN	F	25
Ballina (A)	CHN	M	12
Ballina (A)	EGY	M	5
Ballina (A)	FJI	F	10
Ballina (A)	FJI	M	12
Ballina (A)	DEU	F	40
Ballina (A)	DEU	M	17
Ballina (A)	GRC	F	3
Ballina (A)	GRC	M	3
Ballina (A)	HKG	F	8
Ballina (A)	HKG	M	4
Ballina (A)	IND	F	23
Ballina (A)	IND	M	40
Ballina (A)	IDN	F	13
Ballina (A)	IDN	M	5
Ballina (A)	IRN	F	3
Ballina (A)	IRN	M	3
Ballina (A)	IRL	F	16
Ballina (A)	IRL	M	13
Ballina (A)	ITA	F	15
Ballina (A)	ITA	M	13
Ballina (A)	JPN	F	23
Ballina (A)	JPN	M	7
Ballina (A)	MYS	F	18
Ballina (A)	MYS	M	14
Ballina (A)	MLT	F	6
Ballina (A)	MLT	M	3
Ballina (A)	NLD	F	30
Ballina (A)	NLD	M	20
Ballina (A)	NZL	F	179
Ballina (A)	NZL	M	176
Ballina (A)	PHL	F	55
Ballina (A)	PHL	M	6
Ballina (A)	POL	F	6
Ballina (A)	POL	M	8
Ballina (A)	SGP	F	6
Ballina (A)	ZAF	F	35
Ballina (A)	ZAF	M	59
Ballina (A)	KOR	F	12
Ballina (A)	KOR	M	4
Ballina (A)	LKA	F	3
Ballina (A)	LKA	M	10
Ballina (A)	THA	F	31
Ballina (A)	THA	M	3
Ballina (A)	TUR	F	3
Ballina (A)	TUR	M	5
Ballina (A)	GBR	F	274
Ballina (A)	GBR	M	261
Ballina (A)	USA	F	36
Ballina (A)	USA	M	32
Ballina (A)	VNM	F	3
Ballina (A)	VNM	M	11
Ballina (A)	ZWE	F	9
Ballina (A)	ZWE	M	12
Balranald (A)		F	24
Balranald (A)		M	24
Balranald (A)	AUS	F	319
Balranald (A)	AUS	M	382
Balranald (A)	FJI	M	3
Balranald (A)	MYS	F	4
Balranald (A)	MYS	M	3
Balranald (A)	NZL	F	4
Balranald (A)	NZL	M	4
Balranald (A)	THA	F	3
Balranald (A)	GBR	F	4
Balranald (A)	GBR	M	5
Bathurst Regional (A)		F	261
Bathurst Regional (A)		M	237
Bathurst Regional (A)	AUS	F	8007
Bathurst Regional (A)	AUS	M	7468
Bathurst Regional (A)	CAN	F	15
Bathurst Regional (A)	CAN	M	16
Bathurst Regional (A)	CHN	F	27
Bathurst Regional (A)	CHN	M	34
Bathurst Regional (A)	HRV	F	3
Bathurst Regional (A)	EGY	M	9
Bathurst Regional (A)	FJI	F	4
Bathurst Regional (A)	FJI	M	9
Bathurst Regional (A)	DEU	F	22
Bathurst Regional (A)	DEU	M	15
Bathurst Regional (A)	GRC	M	3
Bathurst Regional (A)	HKG	F	4
Bathurst Regional (A)	HKG	M	3
Bathurst Regional (A)	IND	F	50
Bathurst Regional (A)	IND	M	72
Bathurst Regional (A)	IDN	F	3
Bathurst Regional (A)	IDN	M	4
Bathurst Regional (A)	IRN	F	9
Bathurst Regional (A)	IRN	M	3
Bathurst Regional (A)	IRQ	M	3
Bathurst Regional (A)	IRL	F	20
Bathurst Regional (A)	IRL	M	14
Bathurst Regional (A)	ITA	F	8
Bathurst Regional (A)	ITA	M	11
Bathurst Regional (A)	JPN	F	4
Bathurst Regional (A)	JPN	M	3
Bathurst Regional (A)	LBN	F	3
Bathurst Regional (A)	LBN	M	10
Bathurst Regional (A)	MYS	F	16
Bathurst Regional (A)	MYS	M	8
Bathurst Regional (A)	MLT	F	7
Bathurst Regional (A)	MLT	M	7
Bathurst Regional (A)	NLD	F	14
Bathurst Regional (A)	NLD	M	15
Bathurst Regional (A)	NZL	F	124
Bathurst Regional (A)	NZL	M	113
Bathurst Regional (A)	PAK	F	3
Bathurst Regional (A)	PAK	M	10
Bathurst Regional (A)	PHL	F	65
Bathurst Regional (A)	PHL	M	37
Bathurst Regional (A)	POL	F	4
Bathurst Regional (A)	POL	M	3
Bathurst Regional (A)	SGP	F	7
Bathurst Regional (A)	SGP	M	3
Bathurst Regional (A)	ZAF	F	25
Bathurst Regional (A)	ZAF	M	28
Bathurst Regional (A)	KOR	F	6
Bathurst Regional (A)	KOR	M	11
Bathurst Regional (A)	LKA	F	15
Bathurst Regional (A)	LKA	M	21
Bathurst Regional (A)	THA	F	23
Bathurst Regional (A)	THA	M	16
Bathurst Regional (A)	GBR	F	234
Bathurst Regional (A)	GBR	M	195
Bathurst Regional (A)	USA	F	25
Bathurst Regional (A)	USA	M	18
Bathurst Regional (A)	VNM	F	15
Bathurst Regional (A)	VNM	M	16
Bathurst Regional (A)	ZWE	F	7
Bathurst Regional (A)	ZWE	M	8
Bega Valley (A)		F	253
Bega Valley (A)		M	220
Bega Valley (A)	AUS	F	5259
Bega Valley (A)	AUS	M	5049
Bega Valley (A)	CAN	F	17
Bega Valley (A)	CAN	M	17
Bega Valley (A)	CHN	F	8
Bega Valley (A)	CHN	M	9
Bega Valley (A)	HRV	M	3
Bega Valley (A)	EGY	M	3
Bega Valley (A)	FJI	F	6
Bega Valley (A)	FJI	M	4
Bega Valley (A)	DEU	F	37
Bega Valley (A)	DEU	M	33
Bega Valley (A)	GRC	M	3
Bega Valley (A)	HKG	M	3
Bega Valley (A)	IND	F	19
Bega Valley (A)	IND	M	14
Bega Valley (A)	IRN	F	3
Bega Valley (A)	IRQ	M	3
Bega Valley (A)	IRL	F	12
Bega Valley (A)	IRL	M	6
Bega Valley (A)	ITA	F	4
Bega Valley (A)	ITA	M	12
Bega Valley (A)	JPN	F	7
Bega Valley (A)	MYS	F	11
Bega Valley (A)	MYS	M	8
Bega Valley (A)	NLD	F	18
Bega Valley (A)	NLD	M	21
Bega Valley (A)	NZL	F	90
Bega Valley (A)	NZL	M	81
Bega Valley (A)	PHL	F	46
Bega Valley (A)	PHL	M	16
Bega Valley (A)	POL	F	4
Bega Valley (A)	SGP	F	4
Bega Valley (A)	SGP	M	4
Bega Valley (A)	ZAF	F	10
Bega Valley (A)	ZAF	M	19
Bega Valley (A)	KOR	F	5
Bega Valley (A)	KOR	M	4
Bega Valley (A)	THA	F	25
Bega Valley (A)	THA	M	3
Bega Valley (A)	GBR	F	239
Bega Valley (A)	GBR	M	254
Bega Valley (A)	USA	F	27
Bega Valley (A)	USA	M	17
Bega Valley (A)	VNM	F	10
Bega Valley (A)	VNM	M	6
Bega Valley (A)	ZWE	F	3
Bega Valley (A)	ZWE	M	3
Bellingen (A)		F	73
Bellingen (A)		M	81
Bellingen (A)	AUS	F	1498
Bellingen (A)	AUS	M	1543
Bellingen (A)	CAN	F	6
Bellingen (A)	CAN	M	3
Bellingen (A)	CHN	F	7
Bellingen (A)	CHN	M	3
Bellingen (A)	DEU	F	17
Bellingen (A)	DEU	M	10
Bellingen (A)	IND	M	9
Bellingen (A)	IDN	F	3
Bellingen (A)	IRL	F	7
Bellingen (A)	IRL	M	5
Bellingen (A)	ITA	F	4
Bellingen (A)	MYS	F	4
Bellingen (A)	MYS	M	3
Bellingen (A)	NLD	F	8
Bellingen (A)	NLD	M	6
Bellingen (A)	NZL	F	28
Bellingen (A)	NZL	M	33
Bellingen (A)	PHL	F	8
Bellingen (A)	SGP	F	4
Bellingen (A)	ZAF	F	5
Bellingen (A)	ZAF	M	20
Bellingen (A)	GBR	F	99
Bellingen (A)	GBR	M	103
Bellingen (A)	USA	F	8
Bellingen (A)	USA	M	3
Bellingen (A)	VNM	F	3
Bellingen (A)	ZWE	F	3
Berrigan (A)		F	41
Berrigan (A)		M	43
Berrigan (A)	AUS	F	1156
Berrigan (A)	AUS	M	1253
Berrigan (A)	CAN	F	3
Berrigan (A)	CHN	F	6
Berrigan (A)	CHN	M	4
Berrigan (A)	EGY	M	3
Berrigan (A)	DEU	F	3
Berrigan (A)	IND	F	10
Berrigan (A)	IND	M	5
Berrigan (A)	IDN	F	3
Berrigan (A)	IRQ	F	3
Berrigan (A)	IRL	M	5
Berrigan (A)	ITA	M	3
Berrigan (A)	MYS	F	3
Berrigan (A)	NLD	F	4
Berrigan (A)	NLD	M	13
Berrigan (A)	NZL	F	22
Berrigan (A)	NZL	M	27
Berrigan (A)	PHL	F	9
Berrigan (A)	ZAF	F	5
Berrigan (A)	ZAF	M	4
Berrigan (A)	KOR	M	3
Berrigan (A)	LKA	F	3
Berrigan (A)	LKA	M	3
Berrigan (A)	GBR	F	21
Berrigan (A)	GBR	M	31
Berrigan (A)	USA	F	3
Blacktown (C)		F	3791
Blacktown (C)		M	5442
Blacktown (C)	AUS	F	26878
Blacktown (C)	AUS	M	34535
Blacktown (C)	CAN	F	54
