LGA_NAME16	Age	ModeTravelToWork	NumberModes	workers
Albury (C)	15-24	Bicycle	1	32
Albury (C)	15-24	Bus	1	30
Albury (C)	15-24	Bus and car as passenger	2	10
Albury (C)	15-24	Bus and other	2	3
Albury (C)	15-24	Bus and two other methods excludes train	3	3
Albury (C)	15-24	Car as driver	1	2480
Albury (C)	15-24	Car as passenger	1	607
Albury (C)	15-24	Did not go to work		666
Albury (C)	15-24	Method of travel not stated		38
Albury (C)	15-24	Motorbike scooter	1	26
Albury (C)	15-24	(Other)	1	4
Albury (C)	15-24	Other two methods	2	31
Albury (C)	15-24	Taxi	1	9
Albury (C)	15-24	Truck	1	10
Albury (C)	15-24	Walked only	1	161
Albury (C)	15-24	Worked at home		20
Albury (C)	25-34	Bicycle	1	44
Albury (C)	25-34	Bus	1	20
Albury (C)	25-34	Car as driver	1	3802
Albury (C)	25-34	Car as passenger	1	187
Albury (C)	25-34	Did not go to work		578
Albury (C)	25-34	Method of travel not stated		23
Albury (C)	25-34	Motorbike scooter	1	14
Albury (C)	25-34	(Other)	1	12
Albury (C)	25-34	Other three methods	3	3
Albury (C)	25-34	Other two methods	2	20
Albury (C)	25-34	Taxi	1	5
Albury (C)	25-34	Train	1	8
Albury (C)	25-34	Truck	1	18
Albury (C)	25-34	Walked only	1	154
Albury (C)	25-34	Worked at home		96
Albury (C)	35-44	Bicycle	1	55
Albury (C)	35-44	Bus	1	28
Albury (C)	35-44	Car as driver	1	3909
Albury (C)	35-44	Car as passenger	1	145
Albury (C)	35-44	Did not go to work		447
Albury (C)	35-44	Method of travel not stated		42
Albury (C)	35-44	Motorbike scooter	1	13
Albury (C)	35-44	(Other)	1	13
Albury (C)	35-44	Other two methods	2	35
Albury (C)	35-44	Taxi	1	10
Albury (C)	35-44	Train	1	4
Albury (C)	35-44	Truck	1	28
Albury (C)	35-44	Walked only	1	116
Albury (C)	35-44	Worked at home		159
Albury (C)	45-54	Bicycle	1	55
Albury (C)	45-54	Bus	1	23
Albury (C)	45-54	Car as driver	1	4395
Albury (C)	45-54	Car as passenger	1	144
Albury (C)	45-54	Did not go to work		400
Albury (C)	45-54	Method of travel not stated		38
Albury (C)	45-54	Motorbike scooter	1	16
Albury (C)	45-54	(Other)	1	20
Albury (C)	45-54	Other two methods	2	21
Albury (C)	45-54	Taxi	1	4
Albury (C)	45-54	Train	1	5
Albury (C)	45-54	Train and two other methods	3	5
Albury (C)	45-54	Truck	1	34
Albury (C)	45-54	Walked only	1	135
Albury (C)	45-54	Worked at home		161
Albury (C)	55-64	Bicycle	1	40
Albury (C)	55-64	Bus	1	10
Albury (C)	55-64	Car as driver	1	3204
Albury (C)	55-64	Car as passenger	1	96
Albury (C)	55-64	Did not go to work		397
Albury (C)	55-64	Method of travel not stated		47
Albury (C)	55-64	Motorbike scooter	1	11
Albury (C)	55-64	(Other)	1	19
Albury (C)	55-64	Other two methods	2	21
Albury (C)	55-64	Taxi	1	7
Albury (C)	55-64	Truck	1	27
Albury (C)	55-64	Walked only	1	132
Albury (C)	55-64	Worked at home		184
Albury (C)	65-74	Bicycle	1	10
Albury (C)	65-74	Bus	1	4
Albury (C)	65-74	Car as driver	1	609
Albury (C)	65-74	Car as passenger	1	24
Albury (C)	65-74	Did not go to work		114
Albury (C)	65-74	Method of travel not stated		26
Albury (C)	65-74	Motorbike scooter	1	4
Albury (C)	65-74	(Other)	1	7
Albury (C)	65-74	Other two methods	2	8
Albury (C)	65-74	Truck	1	9
Albury (C)	65-74	Walked only	1	27
Albury (C)	65-74	Worked at home		84
Albury (C)	75+	Car as driver	1	51
Albury (C)	75+	Did not go to work		9
Albury (C)	75+	Method of travel not stated		9
Albury (C)	75+	Walked only	1	3
Albury (C)	75+	Worked at home		29
Armidale Regional (A)	15-24	Bicycle	1	14
Armidale Regional (A)	15-24	Bus	1	15
Armidale Regional (A)	15-24	Car as driver	1	1305
Armidale Regional (A)	15-24	Car as passenger	1	294
Armidale Regional (A)	15-24	Did not go to work		385
Armidale Regional (A)	15-24	Method of travel not stated		29
Armidale Regional (A)	15-24	Motorbike scooter	1	11
Armidale Regional (A)	15-24	(Other)	1	7
Armidale Regional (A)	15-24	Other two methods	2	21
Armidale Regional (A)	15-24	Taxi	1	7
Armidale Regional (A)	15-24	Truck	1	6
Armidale Regional (A)	15-24	Walked only	1	117
Armidale Regional (A)	15-24	Worked at home		27
Armidale Regional (A)	25-34	Bicycle	1	16
Armidale Regional (A)	25-34	Bus	1	5
Armidale Regional (A)	25-34	Car as driver	1	1657
Armidale Regional (A)	25-34	Car as passenger	1	170
Armidale Regional (A)	25-34	Did not go to work		245
Armidale Regional (A)	25-34	Method of travel not stated		26
Armidale Regional (A)	25-34	Motorbike scooter	1	13
Armidale Regional (A)	25-34	(Other)	1	10
Armidale Regional (A)	25-34	Other two methods	2	27
Armidale Regional (A)	25-34	Taxi	1	7
Armidale Regional (A)	25-34	Train	1	6
Armidale Regional (A)	25-34	Truck	1	9
Armidale Regional (A)	25-34	Walked only	1	135
Armidale Regional (A)	25-34	Worked at home		56
Armidale Regional (A)	35-44	Bicycle	1	19
Armidale Regional (A)	35-44	Bus	1	7
Armidale Regional (A)	35-44	Car as driver	1	1720
Armidale Regional (A)	35-44	Car as passenger	1	120
Armidale Regional (A)	35-44	Did not go to work		167
Armidale Regional (A)	35-44	Method of travel not stated		26
Armidale Regional (A)	35-44	Motorbike scooter	1	12
Armidale Regional (A)	35-44	(Other)	1	16
Armidale Regional (A)	35-44	Other two methods	2	16
Armidale Regional (A)	35-44	Taxi	1	8
Armidale Regional (A)	35-44	Train	1	3
Armidale Regional (A)	35-44	Train and two other methods	3	3
Armidale Regional (A)	35-44	Truck	1	15
Armidale Regional (A)	35-44	Walked only	1	108
Armidale Regional (A)	35-44	Worked at home		154
Armidale Regional (A)	45-54	Bicycle	1	32
Armidale Regional (A)	45-54	Bus	1	12
Armidale Regional (A)	45-54	Bus and car as driver	2	3
Armidale Regional (A)	45-54	Bus and other	2	3
Armidale Regional (A)	45-54	Bus and two other methods excludes train	3	3
Armidale Regional (A)	45-54	Car as driver	1	2104
Armidale Regional (A)	45-54	Car as passenger	1	122
Armidale Regional (A)	45-54	Did not go to work		194
Armidale Regional (A)	45-54	Method of travel not stated		28
Armidale Regional (A)	45-54	Motorbike scooter	1	37
Armidale Regional (A)	45-54	(Other)	1	17
Armidale Regional (A)	45-54	Other two methods	2	17
Armidale Regional (A)	45-54	Taxi	1	4
Armidale Regional (A)	45-54	Truck	1	30
Armidale Regional (A)	45-54	Walked only	1	117
Armidale Regional (A)	45-54	Worked at home		187
Armidale Regional (A)	55-64	Bicycle	1	27
Armidale Regional (A)	55-64	Bus	1	11
Armidale Regional (A)	55-64	Car as driver	1	1532
Armidale Regional (A)	55-64	Car as passenger	1	91
Armidale Regional (A)	55-64	Did not go to work		218
Armidale Regional (A)	55-64	Method of travel not stated		12
Armidale Regional (A)	55-64	Motorbike scooter	1	20
Armidale Regional (A)	55-64	(Other)	1	22
Armidale Regional (A)	55-64	Other two methods	2	12
Armidale Regional (A)	55-64	Taxi	1	8
Armidale Regional (A)	55-64	Train	1	3
Armidale Regional (A)	55-64	Tram includes light rail	1	3
Armidale Regional (A)	55-64	Truck	1	37
Armidale Regional (A)	55-64	Walked only	1	124
Armidale Regional (A)	55-64	Worked at home		213
Armidale Regional (A)	65-74	Car as driver	1	289
Armidale Regional (A)	65-74	Car as passenger	1	19
Armidale Regional (A)	65-74	Did not go to work		79
Armidale Regional (A)	65-74	Method of travel not stated		11
Armidale Regional (A)	65-74	Motorbike scooter	1	3
Armidale Regional (A)	65-74	(Other)	1	16
Armidale Regional (A)	65-74	Other three methods	3	3
Armidale Regional (A)	65-74	Other two methods	2	4
Armidale Regional (A)	65-74	Truck	1	31
Armidale Regional (A)	65-74	Walked only	1	49
Armidale Regional (A)	65-74	Worked at home		189
Armidale Regional (A)	75+	Car as driver	1	26
Armidale Regional (A)	75+	Car as passenger	1	7
Armidale Regional (A)	75+	Did not go to work		11
Armidale Regional (A)	75+	Method of travel not stated		5
Armidale Regional (A)	75+	Motorbike scooter	1	5
Armidale Regional (A)	75+	(Other)	1	3
Armidale Regional (A)	75+	Truck	1	3
Armidale Regional (A)	75+	Walked only	1	10
Armidale Regional (A)	75+	Worked at home		67
Ballina (A)	15-24	Bicycle	1	36
Ballina (A)	15-24	Bus	1	25
Ballina (A)	15-24	Bus and car as passenger	2	8
Ballina (A)	15-24	Car as driver	1	1169
Ballina (A)	15-24	Car as passenger	1	306
Ballina (A)	15-24	Did not go to work		336
Ballina (A)	15-24	Method of travel not stated		27
Ballina (A)	15-24	Motorbike scooter	1	24
Ballina (A)	15-24	(Other)	1	7
Ballina (A)	15-24	Other two methods	2	21
Ballina (A)	15-24	Truck	1	7
Ballina (A)	15-24	Walked only	1	82
Ballina (A)	15-24	Worked at home		16
Ballina (A)	25-34	Bicycle	1	23
Ballina (A)	25-34	Bus	1	12
Ballina (A)	25-34	Bus and car as passenger	2	3
Ballina (A)	25-34	Car as driver	1	1590
Ballina (A)	25-34	Car as passenger	1	96
Ballina (A)	25-34	Did not go to work		230
Ballina (A)	25-34	Method of travel not stated		23
Ballina (A)	25-34	Motorbike scooter	1	14
Ballina (A)	25-34	(Other)	1	5
Ballina (A)	25-34	Other two methods	2	23
Ballina (A)	25-34	Taxi	1	3
Ballina (A)	25-34	Truck	1	16
Ballina (A)	25-34	Walked only	1	58
Ballina (A)	25-34	Worked at home		83
Ballina (A)	35-44	Bicycle	1	43
Ballina (A)	35-44	Bus	1	10
Ballina (A)	35-44	Car as driver	1	2194
Ballina (A)	35-44	Car as passenger	1	86
Ballina (A)	35-44	Did not go to work		213
Ballina (A)	35-44	Method of travel not stated		42
Ballina (A)	35-44	Motorbike scooter	1	9
Ballina (A)	35-44	(Other)	1	12
Ballina (A)	35-44	Other two methods	2	15
Ballina (A)	35-44	Taxi	1	3
Ballina (A)	35-44	Truck	1	24
Ballina (A)	35-44	Walked only	1	82
Ballina (A)	35-44	Worked at home		244
Ballina (A)	45-54	Bicycle	1	58
Ballina (A)	45-54	Bus	1	11
Ballina (A)	45-54	Car as driver	1	2558
Ballina (A)	45-54	Car as passenger	1	93
Ballina (A)	45-54	Did not go to work		283
Ballina (A)	45-54	Method of travel not stated		34
Ballina (A)	45-54	Motorbike scooter	1	18
Ballina (A)	45-54	(Other)	1	17
Ballina (A)	45-54	Other three methods	3	4
Ballina (A)	45-54	Other two methods	2	24
Ballina (A)	45-54	Truck	1	32
Ballina (A)	45-54	Walked only	1	138
Ballina (A)	45-54	Worked at home		290
Ballina (A)	55-64	Bicycle	1	39
Ballina (A)	55-64	Car as driver	1	2096
Ballina (A)	55-64	Car as passenger	1	89
Ballina (A)	55-64	Did not go to work		308
Ballina (A)	55-64	Method of travel not stated		34
Ballina (A)	55-64	Motorbike scooter	1	21
Ballina (A)	55-64	(Other)	1	24
Ballina (A)	55-64	Other two methods	2	12
Ballina (A)	55-64	Taxi	1	3
Ballina (A)	55-64	Train	1	4
Ballina (A)	55-64	Truck	1	46
Ballina (A)	55-64	Walked only	1	110
Ballina (A)	55-64	Worked at home		329
Ballina (A)	65-74	Bicycle	1	10
Ballina (A)	65-74	Car as driver	1	413
Ballina (A)	65-74	Car as passenger	1	20
Ballina (A)	65-74	Did not go to work		96
Ballina (A)	65-74	Method of travel not stated		25
Ballina (A)	65-74	Motorbike scooter	1	3
Ballina (A)	65-74	(Other)	1	5
Ballina (A)	65-74	Other two methods	2	4
Ballina (A)	65-74	Truck	1	26
Ballina (A)	65-74	Walked only	1	36
Ballina (A)	65-74	Worked at home		203
Ballina (A)	75+	Car as driver	1	31
Ballina (A)	75+	Car as passenger	1	3
Ballina (A)	75+	Did not go to work		3
Ballina (A)	75+	Method of travel not stated		15
Ballina (A)	75+	(Other)	1	6
Ballina (A)	75+	Truck	1	4
Ballina (A)	75+	Walked only	1	12
Ballina (A)	75+	Worked at home		66
Balranald (A)	15-24	Car as driver	1	51
Balranald (A)	15-24	Car as passenger	1	10
Balranald (A)	15-24	Did not go to work		11
Balranald (A)	15-24	Walked only	1	5
Balranald (A)	25-34	Car as driver	1	68
Balranald (A)	25-34	Car as passenger	1	11
Balranald (A)	25-34	Did not go to work		7
Balranald (A)	25-34	Method of travel not stated		6
Balranald (A)	25-34	(Other)	1	3
Balranald (A)	25-34	Walked only	1	12
Balranald (A)	25-34	Worked at home		12
Balranald (A)	35-44	Car as driver	1	105
Balranald (A)	35-44	Car as passenger	1	8
Balranald (A)	35-44	Did not go to work		11
Balranald (A)	35-44	Motorbike scooter	1	3
