LGA_NAME16	Age	EmploymentStatus	Sex	workers
Albury (C)	15-19		F	9
Albury (C)	15-19		M	9
Albury (C)	15-19	Contributing family workers	F	5
Albury (C)	15-19	Contributing family workers	M	3
Albury (C)	15-19	Employee	F	951
Albury (C)	15-19	Employee	M	733
Albury (C)	15-19	Owner managers of unincorporated enterprises	F	3
Albury (C)	15-19	Owner managers of unincorporated enterprises	M	9
Albury (C)	20-24		F	7
Albury (C)	20-24	Contributing family workers	M	5
Albury (C)	20-24	Employee	F	1297
Albury (C)	20-24	Employee	M	1041
Albury (C)	20-24	Owner managers of incorporated enterprises	M	7
Albury (C)	20-24	Owner managers of unincorporated enterprises	F	15
Albury (C)	20-24	Owner managers of unincorporated enterprises	M	27
Albury (C)	25-29		F	4
Albury (C)	25-29		M	10
Albury (C)	25-29	Contributing family workers	F	3
Albury (C)	25-29	Employee	F	1244
Albury (C)	25-29	Employee	M	1011
Albury (C)	25-29	Owner managers of incorporated enterprises	F	14
Albury (C)	25-29	Owner managers of incorporated enterprises	M	40
Albury (C)	25-29	Owner managers of unincorporated enterprises	F	38
Albury (C)	25-29	Owner managers of unincorporated enterprises	M	59
Albury (C)	30-34		F	12
Albury (C)	30-34		M	14
Albury (C)	30-34	Contributing family workers	F	11
Albury (C)	30-34	Contributing family workers	M	4
Albury (C)	30-34	Employee	F	1227
Albury (C)	30-34	Employee	M	1046
Albury (C)	30-34	Owner managers of incorporated enterprises	F	37
Albury (C)	30-34	Owner managers of incorporated enterprises	M	61
Albury (C)	30-34	Owner managers of unincorporated enterprises	F	74
Albury (C)	30-34	Owner managers of unincorporated enterprises	M	76
Albury (C)	35-39		F	13
Albury (C)	35-39		M	7
Albury (C)	35-39	Contributing family workers	F	24
Albury (C)	35-39	Contributing family workers	M	4
Albury (C)	35-39	Employee	F	1124
Albury (C)	35-39	Employee	M	962
Albury (C)	35-39	Owner managers of incorporated enterprises	F	46
Albury (C)	35-39	Owner managers of incorporated enterprises	M	87
Albury (C)	35-39	Owner managers of unincorporated enterprises	F	76
Albury (C)	35-39	Owner managers of unincorporated enterprises	M	88
Albury (C)	40-44		F	5
Albury (C)	40-44		M	9
Albury (C)	40-44	Contributing family workers	F	10
Albury (C)	40-44	Contributing family workers	M	10
Albury (C)	40-44	Employee	F	1250
Albury (C)	40-44	Employee	M	930
Albury (C)	40-44	Owner managers of incorporated enterprises	F	59
Albury (C)	40-44	Owner managers of incorporated enterprises	M	104
Albury (C)	40-44	Owner managers of unincorporated enterprises	F	95
Albury (C)	40-44	Owner managers of unincorporated enterprises	M	88
Albury (C)	45-49		F	12
Albury (C)	45-49		M	13
