LGA_NAME16	EmploymentStatus	IncomeTotPersonal.max	Sex	workers
Albury (C)	Contributing family workers	0	F	25
Albury (C)	Contributing family workers	0	M	20
Albury (C)	Contributing family workers	7875	F	17
Albury (C)	Contributing family workers	7875	M	10
Albury (C)	Contributing family workers	15750	F	14
Albury (C)	Contributing family workers	15750	M	19
Albury (C)	Contributing family workers	21000	F	15
Albury (C)	Contributing family workers	21000	M	13
Albury (C)	Contributing family workers	26250	F	17
Albury (C)	Contributing family workers	26250	M	17
Albury (C)	Contributing family workers	34125	F	13
Albury (C)	Contributing family workers	34125	M	12
Albury (C)	Contributing family workers	42000	F	9
Albury (C)	Contributing family workers	42000	M	6
Albury (C)	Contributing family workers	52500	F	4
Albury (C)	Contributing family workers	52500	M	10
Albury (C)	Contributing family workers	65625	F	16
Albury (C)	Contributing family workers	65625	M	6
Albury (C)	Contributing family workers	78750	F	10
Albury (C)	Contributing family workers	78750	M	12
Albury (C)	Contributing family workers	91875	F	3
Albury (C)	Contributing family workers	91875	M	3
Albury (C)	Contributing family workers	157500	F	4
Albury (C)	Contributing family workers	157500	M	5
Albury (C)	Contributing family workers	Inf	F	3
Albury (C)	Contributing family workers	Inf	M	3
Albury (C)	Employee	0	F	46
Albury (C)	Employee	0	M	28
Albury (C)	Employee	7875	F	604
Albury (C)	Employee	7875	M	352
Albury (C)	Employee	15750	F	624
Albury (C)	Employee	15750	M	232
Albury (C)	Employee	21000	F	672
Albury (C)	Employee	21000	M	253
Albury (C)	Employee	26250	F	943
Albury (C)	Employee	26250	M	381
Albury (C)	Employee	34125	F	1542
Albury (C)	Employee	34125	M	596
Albury (C)	Employee	42000	F	1726
Albury (C)	Employee	42000	M	1075
Albury (C)	Employee	52500	F	1765
Albury (C)	Employee	52500	M	1464
Albury (C)	Employee	65625	F	1372
Albury (C)	Employee	65625	M	1477
Albury (C)	Employee	78750	F	947
Albury (C)	Employee	78750	M	1039
Albury (C)	Employee	91875	F	647
Albury (C)	Employee	91875	M	790
Albury (C)	Employee	105000	F	439
Albury (C)	Employee	105000	M	577
Albury (C)	Employee	157500	F	374
Albury (C)	Employee	157500	M	725
Albury (C)	Employee	Inf	F	65
Albury (C)	Employee	Inf	M	188
Albury (C)	Owner managers of incorporated enterprises	0	F	3
Albury (C)	Owner managers of incorporated enterprises	7875	F	3
Albury (C)	Owner managers of incorporated enterprises	7875	M	3
Albury (C)	Owner managers of incorporated enterprises	15750	F	14
Albury (C)	Owner managers of incorporated enterprises	15750	M	3
