LGA_NAME16	EmploymentStatus	workers
Albury (C)	Contributing family workers	299
Albury (C)	Employee	21280
Albury (C)	Owner managers of incorporated enterprises	1419
Albury (C)	Owner managers of unincorporated enterprises	1605
Albury (C)	Status in employment not stated	212
Armidale Regional (A)	Contributing family workers	401
Armidale Regional (A)	Employee	10721
Armidale Regional (A)	Owner managers of incorporated enterprises	696
Armidale Regional (A)	Owner managers of unincorporated enterprises	1153
Armidale Regional (A)	Status in employment not stated	130
Ballina (A)	Contributing family workers	353
Ballina (A)	Employee	11398
Ballina (A)	Owner managers of incorporated enterprises	1109
Ballina (A)	Owner managers of unincorporated enterprises	1874
Ballina (A)	Status in employment not stated	181
Balranald (A)	Contributing family workers	61
Balranald (A)	Employee	545
Balranald (A)	Owner managers of incorporated enterprises	80
Balranald (A)	Owner managers of unincorporated enterprises	104
Balranald (A)	Status in employment not stated	13
Bathurst Regional (A)	Contributing family workers	362
Bathurst Regional (A)	Employee	14588
Bathurst Regional (A)	Owner managers of incorporated enterprises	976
Bathurst Regional (A)	Owner managers of unincorporated enterprises	1322
Bathurst Regional (A)	Status in employment not stated	201
Bega Valley (A)	Contributing family workers	350
Bega Valley (A)	Employee	9000
Bega Valley (A)	Owner managers of incorporated enterprises	900
Bega Valley (A)	Owner managers of unincorporated enterprises	1499
Bega Valley (A)	Status in employment not stated	194
Bellingen (A)	Contributing family workers	168
Bellingen (A)	Employee	2479
Bellingen (A)	Owner managers of incorporated enterprises	222
Bellingen (A)	Owner managers of unincorporated enterprises	676
Bellingen (A)	Status in employment not stated	70
Berrigan (A)	Contributing family workers	183
Berrigan (A)	Employee	1831
Berrigan (A)	Owner managers of incorporated enterprises	279
Berrigan (A)	Owner managers of unincorporated enterprises	360
Berrigan (A)	Status in employment not stated	59
Blacktown (C)	Contributing family workers	984
Blacktown (C)	Employee	91085
Blacktown (C)	Owner managers of incorporated enterprises	6561
Blacktown (C)	Owner managers of unincorporated enterprises	5723
Blacktown (C)	Status in employment not stated	999
Bland (A)	Contributing family workers	233
Bland (A)	Employee	1697
Bland (A)	Owner managers of incorporated enterprises	157
Bland (A)	Owner managers of unincorporated enterprises	481
Bland (A)	Status in employment not stated	40
Blayney (A)	Contributing family workers	156
Blayney (A)	Employee	2223
Blayney (A)	Owner managers of incorporated enterprises	152
Blayney (A)	Owner managers of unincorporated enterprises	351
Blayney (A)	Status in employment not stated	40
Blue Mountains (C)	Contributing family workers	373
Blue Mountains (C)	Employee	13743
Blue Mountains (C)	Owner managers of incorporated enterprises	1485
Blue Mountains (C)	Owner managers of unincorporated enterprises	2671
Blue Mountains (C)	Status in employment not stated	178
Bogan (A)	Contributing family workers	83
Bogan (A)	Employee	956
Bogan (A)	Owner managers of incorporated enterprises	52
Bogan (A)	Owner managers of unincorporated enterprises	173
Bogan (A)	Status in employment not stated	27
Botany Bay (C)	Contributing family workers	237
Botany Bay (C)	Employee	43190
Botany Bay (C)	Owner managers of incorporated enterprises	2223
Botany Bay (C)	Owner managers of unincorporated enterprises	1427
Botany Bay (C)	Status in employment not stated	427
Bourke (A)	Contributing family workers	50
Bourke (A)	Employee	804
Bourke (A)	Owner managers of incorporated enterprises	41
Bourke (A)	Owner managers of unincorporated enterprises	125
Bourke (A)	Status in employment not stated	24
Brewarrina (A)	Contributing family workers	52
Brewarrina (A)	Employee	361
Brewarrina (A)	Owner managers of incorporated enterprises	23
Brewarrina (A)	Owner managers of unincorporated enterprises	57
Brewarrina (A)	Status in employment not stated	11
Broken Hill (C)	Contributing family workers	95
Broken Hill (C)	Employee	5976
Broken Hill (C)	Owner managers of incorporated enterprises	267
Broken Hill (C)	Owner managers of unincorporated enterprises	375
Broken Hill (C)	Status in employment not stated	128
Burwood (A)	Contributing family workers	213
Burwood (A)	Employee	14010
Burwood (A)	Owner managers of incorporated enterprises	1194
Burwood (A)	Owner managers of unincorporated enterprises	1058
Burwood (A)	Status in employment not stated	151
Byron (A)	Contributing family workers	354
Byron (A)	Employee	8475
Byron (A)	Owner managers of incorporated enterprises	1257
Byron (A)	Owner managers of unincorporated enterprises	2621
Byron (A)	Status in employment not stated	261
Cabonne (A)	Contributing family workers	351
Cabonne (A)	Employee	2877
Cabonne (A)	Owner managers of incorporated enterprises	291
Cabonne (A)	Owner managers of unincorporated enterprises	697
Cabonne (A)	Status in employment not stated	84
Camden (A)	Contributing family workers	311
Camden (A)	Employee	19655
Camden (A)	Owner managers of incorporated enterprises	2351
Camden (A)	Owner managers of unincorporated enterprises	1857
Camden (A)	Status in employment not stated	277
Campbelltown (C) (NSW)	Contributing family workers	466
Campbelltown (C) (NSW)	Employee	41749
Campbelltown (C) (NSW)	Owner managers of incorporated enterprises	2820
Campbelltown (C) (NSW)	Owner managers of unincorporated enterprises	2563
Campbelltown (C) (NSW)	Status in employment not stated	510
Canada Bay (A)	Contributing family workers	375
Canada Bay (A)	Employee	28082
Canada Bay (A)	Owner managers of incorporated enterprises	2616
Canada Bay (A)	Owner managers of unincorporated enterprises	2233
Canada Bay (A)	Status in employment not stated	307
Canterbury-Bankstown (A)	Contributing family workers	1307
Canterbury-Bankstown (A)	Employee	76750
Canterbury-Bankstown (A)	Owner managers of incorporated enterprises	8089
Canterbury-Bankstown (A)	Owner managers of unincorporated enterprises	7452
Canterbury-Bankstown (A)	Status in employment not stated	1173
Carrathool (A)	Contributing family workers	101
Carrathool (A)	Employee	854
Carrathool (A)	Owner managers of incorporated enterprises	142
Carrathool (A)	Owner managers of unincorporated enterprises	182
