LGA_NAME16	CountryOfBirth	EmploymentStatus	workers
Albury (C)		Contributing family workers	17
Albury (C)		Employee	657
Albury (C)		Owner managers of incorporated enterprises	48
Albury (C)		Owner managers of unincorporated enterprises	69
Albury (C)		Status in employment not stated	28
Albury (C)	AUS	Contributing family workers	251
Albury (C)	AUS	Employee	18723
Albury (C)	AUS	Owner managers of incorporated enterprises	1197
Albury (C)	AUS	Owner managers of unincorporated enterprises	1388
Albury (C)	AUS	Status in employment not stated	175
Albury (C)	CAN	Employee	34
Albury (C)	CAN	Owner managers of incorporated enterprises	3
Albury (C)	CAN	Owner managers of unincorporated enterprises	3
Albury (C)	CHN	Contributing family workers	3
Albury (C)	CHN	Employee	52
Albury (C)	CHN	Owner managers of incorporated enterprises	11
Albury (C)	CHN	Owner managers of unincorporated enterprises	11
Albury (C)	HRV	Employee	15
Albury (C)	EGY	Employee	4
Albury (C)	EGY	Owner managers of incorporated enterprises	3
Albury (C)	FJI	Employee	26
Albury (C)	FJI	Owner managers of incorporated enterprises	3
Albury (C)	FJI	Owner managers of unincorporated enterprises	3
Albury (C)	DEU	Employee	59
Albury (C)	DEU	Owner managers of incorporated enterprises	5
Albury (C)	DEU	Owner managers of unincorporated enterprises	9
Albury (C)	GRC	Employee	7
Albury (C)	GRC	Owner managers of incorporated enterprises	3
Albury (C)	GRC	Owner managers of unincorporated enterprises	4
Albury (C)	HKG	Employee	9
Albury (C)	HKG	Owner managers of incorporated enterprises	3
Albury (C)	HKG	Owner managers of unincorporated enterprises	10
Albury (C)	IND	Contributing family workers	3
Albury (C)	IND	Employee	274
Albury (C)	IND	Owner managers of incorporated enterprises	22
Albury (C)	IND	Owner managers of unincorporated enterprises	9
Albury (C)	IND	Status in employment not stated	5
Albury (C)	IDN	Employee	11
Albury (C)	IRN	Employee	11
Albury (C)	IRQ	Employee	3
Albury (C)	IRL	Employee	33
Albury (C)	IRL	Owner managers of incorporated enterprises	3
Albury (C)	ITA	Employee	11
Albury (C)	ITA	Owner managers of incorporated enterprises	5
Albury (C)	ITA	Owner managers of unincorporated enterprises	3
Albury (C)	JPN	Employee	5
Albury (C)	LBN	Employee	3
Albury (C)	LBN	Owner managers of incorporated enterprises	3
Albury (C)	LBN	Owner managers of unincorporated enterprises	5
Albury (C)	MYS	Employee	31
Albury (C)	MYS	Owner managers of incorporated enterprises	4
Albury (C)	MYS	Owner managers of unincorporated enterprises	4
Albury (C)	MLT	Employee	7
Albury (C)	NLD	Contributing family workers	3
Albury (C)	NLD	Employee	40
Albury (C)	NLD	Owner managers of incorporated enterprises	11
Albury (C)	NLD	Owner managers of unincorporated enterprises	8
Albury (C)	NZL	Contributing family workers	6
Albury (C)	NZL	Employee	273
Albury (C)	NZL	Owner managers of incorporated enterprises	18
Albury (C)	NZL	Owner managers of unincorporated enterprises	21
Albury (C)	PAK	Employee	11
Albury (C)	PHL	Employee	148
Albury (C)	PHL	Owner managers of incorporated enterprises	3
Albury (C)	PHL	Owner managers of unincorporated enterprises	3
Albury (C)	POL	Employee	14
Albury (C)	POL	Owner managers of unincorporated enterprises	3
Albury (C)	SGP	Employee	19
Albury (C)	ZAF	Contributing family workers	3
Albury (C)	ZAF	Employee	74
Albury (C)	ZAF	Owner managers of incorporated enterprises	13
Albury (C)	ZAF	Owner managers of unincorporated enterprises	10
Albury (C)	KOR	Employee	23
Albury (C)	KOR	Owner managers of unincorporated enterprises	3
Albury (C)	LKA	Employee	48
Albury (C)	LKA	Owner managers of incorporated enterprises	4
Albury (C)	LKA	Owner managers of unincorporated enterprises	3
Albury (C)	THA	Employee	25
Albury (C)	THA	Owner managers of incorporated enterprises	5
Albury (C)	THA	Owner managers of unincorporated enterprises	8
Albury (C)	TUR	Employee	3
Albury (C)	GBR	Contributing family workers	13
Albury (C)	GBR	Employee	561
Albury (C)	GBR	Owner managers of incorporated enterprises	43
Albury (C)	GBR	Owner managers of unincorporated enterprises	37
Albury (C)	GBR	Status in employment not stated	5
Albury (C)	USA	Employee	47
Albury (C)	USA	Owner managers of incorporated enterprises	7
Albury (C)	USA	Owner managers of unincorporated enterprises	3
Albury (C)	VNM	Employee	21
Albury (C)	VNM	Owner managers of incorporated enterprises	3
Albury (C)	VNM	Owner managers of unincorporated enterprises	4
Albury (C)	ZWE	Employee	16
Armidale Regional (A)		Contributing family workers	28
Armidale Regional (A)		Employee	499
Armidale Regional (A)		Owner managers of incorporated enterprises	14
Armidale Regional (A)		Owner managers of unincorporated enterprises	28
Armidale Regional (A)		Status in employment not stated	19
Armidale Regional (A)	AUS	Contributing family workers	343
Armidale Regional (A)	AUS	Employee	9059
Armidale Regional (A)	AUS	Owner managers of incorporated enterprises	596
Armidale Regional (A)	AUS	Owner managers of unincorporated enterprises	1031
Armidale Regional (A)	AUS	Status in employment not stated	102
Armidale Regional (A)	CAN	Contributing family workers	4
Armidale Regional (A)	CAN	Employee	30
Armidale Regional (A)	CAN	Owner managers of incorporated enterprises	4
Armidale Regional (A)	CAN	Owner managers of unincorporated enterprises	3
Armidale Regional (A)	CHN	Contributing family workers	3
Armidale Regional (A)	CHN	Employee	75
Armidale Regional (A)	CHN	Owner managers of incorporated enterprises	3
Armidale Regional (A)	CHN	Owner managers of unincorporated enterprises	4
Armidale Regional (A)	FJI	Employee	20
Armidale Regional (A)	FJI	Owner managers of incorporated enterprises	3
Armidale Regional (A)	DEU	Employee	45
Armidale Regional (A)	DEU	Owner managers of unincorporated enterprises	5
Armidale Regional (A)	GRC	Employee	5
Armidale Regional (A)	HKG	Employee	10
Armidale Regional (A)	HKG	Owner managers of unincorporated enterprises	3
Armidale Regional (A)	IND	Employee	92
Armidale Regional (A)	IND	Owner managers of incorporated enterprises	3
Armidale Regional (A)	IDN	Employee	17
Armidale Regional (A)	IRN	Employee	20
Armidale Regional (A)	IRN	Owner managers of unincorporated enterprises	3
Armidale Regional (A)	IRQ	Employee	4
Armidale Regional (A)	IRL	Employee	16
Armidale Regional (A)	ITA	Employee	13
Armidale Regional (A)	JPN	Employee	17
Armidale Regional (A)	LBN	Employee	4
Armidale Regional (A)	MYS	Employee	28
Armidale Regional (A)	NLD	Contributing family workers	3
Armidale Regional (A)	NLD	Employee	23
Armidale Regional (A)	NLD	Owner managers of unincorporated enterprises	3
Armidale Regional (A)	NZL	Employee	181
Armidale Regional (A)	NZL	Owner managers of incorporated enterprises	16
Armidale Regional (A)	NZL	Owner managers of unincorporated enterprises	8
Armidale Regional (A)	PAK	Employee	18
Armidale Regional (A)	PAK	Owner managers of incorporated enterprises	3
Armidale Regional (A)	PHL	Employee	77
Armidale Regional (A)	PHL	Owner managers of unincorporated enterprises	3
Armidale Regional (A)	POL	Employee	3
Armidale Regional (A)	SGP	Employee	11
Armidale Regional (A)	ZAF	Contributing family workers	3
Armidale Regional (A)	ZAF	Employee	50
Armidale Regional (A)	ZAF	Owner managers of incorporated enterprises	6
Armidale Regional (A)	ZAF	Owner managers of unincorporated enterprises	4
Armidale Regional (A)	KOR	Employee	8
Armidale Regional (A)	LKA	Employee	30
Armidale Regional (A)	LKA	Owner managers of incorporated enterprises	5
Armidale Regional (A)	THA	Employee	13
Armidale Regional (A)	TUR	Employee	3
Armidale Regional (A)	GBR	Contributing family workers	13
Armidale Regional (A)	GBR	Employee	261
Armidale Regional (A)	GBR	Owner managers of incorporated enterprises	28
Armidale Regional (A)	GBR	Owner managers of unincorporated enterprises	27
