LGA_NAME16	Occupation	OccupationSubtype	Sex	workers
Albury (C)			F	154
Albury (C)			M	224
Albury (C)	Clerical and administrative workers	Clerical and administrative workers nfd	F	7
Albury (C)	Clerical and administrative workers	Clerical and office support workers	F	70
Albury (C)	Clerical and administrative workers	Clerical and office support workers	M	81
Albury (C)	Clerical and administrative workers	General clerical workers	F	811
Albury (C)	Clerical and administrative workers	General clerical workers	M	122
Albury (C)	Clerical and administrative workers	Inquiry clerks and receptionists	F	665
Albury (C)	Clerical and administrative workers	Inquiry clerks and receptionists	M	76
Albury (C)	Clerical and administrative workers	Numerical clerks	F	586
Albury (C)	Clerical and administrative workers	Numerical clerks	M	128
Albury (C)	Clerical and administrative workers	Office managers and program administrators	F	481
Albury (C)	Clerical and administrative workers	Office managers and program administrators	M	122
Albury (C)	Clerical and administrative workers	Other clerical and administrative workers	F	270
Albury (C)	Clerical and administrative workers	Other clerical and administrative workers	M	187
Albury (C)	Clerical and administrative workers	Personal assistants and secretaries	F	165
Albury (C)	Community and personal service workers	Carers and aides	F	1152
Albury (C)	Community and personal service workers	Carers and aides	M	207
Albury (C)	Community and personal service workers	Health and welfare support workers	F	339
Albury (C)	Community and personal service workers	Health and welfare support workers	M	87
Albury (C)	Community and personal service workers	Hospitality workers	F	561
Albury (C)	Community and personal service workers	Hospitality workers	M	201
Albury (C)	Community and personal service workers	Protective service workers	F	63
Albury (C)	Community and personal service workers	Protective service workers	M	199
Albury (C)	Community and personal service workers	Sports and personal service workers	F	253
Albury (C)	Community and personal service workers	Sports and personal service workers	M	98
Albury (C)	Labourers	Cleaners and laundry workers	F	488
Albury (C)	Labourers	Cleaners and laundry workers	M	227
Albury (C)	Labourers	Construction and mining labourers	F	3
Albury (C)	Labourers	Construction and mining labourers	M	205
Albury (C)	Labourers	Factory process workers	F	65
Albury (C)	Labourers	Factory process workers	M	228
Albury (C)	Labourers	Farm forestry and garden workers	F	13
Albury (C)	Labourers	Farm forestry and garden workers	M	85
Albury (C)	Labourers	Food preparation assistants	F	242
Albury (C)	Labourers	Food preparation assistants	M	191
Albury (C)	Labourers	Labourers nfd	F	8
Albury (C)	Labourers	Labourers nfd	M	41
Albury (C)	Labourers	Other labourers	F	100
Albury (C)	Labourers	Other labourers	M	242
Albury (C)	Machinery operators and drivers	Machine and stationary plant operators	F	35
Albury (C)	Machinery operators and drivers	Machine and stationary plant operators	M	258
Albury (C)	Machinery operators and drivers	Machinery operators and drivers nfd	M	23
Albury (C)	Machinery operators and drivers	Mobile plant operators	F	7
Albury (C)	Machinery operators and drivers	Mobile plant operators	M	195
Albury (C)	Machinery operators and drivers	Road and rail drivers	F	41
Albury (C)	Machinery operators and drivers	Road and rail drivers	M	670
Albury (C)	Machinery operators and drivers	Storepersons	F	30
Albury (C)	Machinery operators and drivers	Storepersons	M	170
Albury (C)	Managers	Chief executives general managers and legislators	F	44
Albury (C)	Managers	Chief executives general managers and legislators	M	150
Albury (C)	Managers	Farmers and farm managers	F	22
Albury (C)	Managers	Farmers and farm managers	M	59
Albury (C)	Managers	Hospitality retail and service managers	F	557
Albury (C)	Managers	Hospitality retail and service managers	M	580
Albury (C)	Managers	Managers nfd	F	20
Albury (C)	Managers	Managers nfd	M	38
Albury (C)	Managers	Specialist managers	F	403
