LGA_NAME16	EmploymentStatus	IncomeTotPersonal.max	workers
Albury (C)	Contributing family workers	0	50
Albury (C)	Contributing family workers	7875	28
Albury (C)	Contributing family workers	15750	31
Albury (C)	Contributing family workers	21000	30
Albury (C)	Contributing family workers	26250	29
Albury (C)	Contributing family workers	34125	29
Albury (C)	Contributing family workers	42000	21
Albury (C)	Contributing family workers	52500	15
Albury (C)	Contributing family workers	65625	22
Albury (C)	Contributing family workers	78750	18
Albury (C)	Contributing family workers	91875	5
Albury (C)	Contributing family workers	105000	3
Albury (C)	Contributing family workers	157500	9
Albury (C)	Contributing family workers	Inf	4
Albury (C)	Employee	0	71
Albury (C)	Employee	7875	956
Albury (C)	Employee	15750	855
Albury (C)	Employee	21000	920
Albury (C)	Employee	26250	1328
Albury (C)	Employee	34125	2136
Albury (C)	Employee	42000	2793
Albury (C)	Employee	52500	3230
Albury (C)	Employee	65625	2851
Albury (C)	Employee	78750	1986
Albury (C)	Employee	91875	1437
Albury (C)	Employee	105000	1011
Albury (C)	Employee	157500	1099
Albury (C)	Employee	Inf	254
Albury (C)	Owner managers of incorporated enterprises	0	4
Albury (C)	Owner managers of incorporated enterprises	7875	10
Albury (C)	Owner managers of incorporated enterprises	15750	18
Albury (C)	Owner managers of incorporated enterprises	21000	44
Albury (C)	Owner managers of incorporated enterprises	26250	38
Albury (C)	Owner managers of incorporated enterprises	34125	89
Albury (C)	Owner managers of incorporated enterprises	42000	127
Albury (C)	Owner managers of incorporated enterprises	52500	143
Albury (C)	Owner managers of incorporated enterprises	65625	185
Albury (C)	Owner managers of incorporated enterprises	78750	145
Albury (C)	Owner managers of incorporated enterprises	91875	173
Albury (C)	Owner managers of incorporated enterprises	105000	91
Albury (C)	Owner managers of incorporated enterprises	157500	137
Albury (C)	Owner managers of incorporated enterprises	Inf	196
Albury (C)	Owner managers of unincorporated enterprises	0	19
Albury (C)	Owner managers of unincorporated enterprises	7875	38
Albury (C)	Owner managers of unincorporated enterprises	15750	58
Albury (C)	Owner managers of unincorporated enterprises	21000	118
Albury (C)	Owner managers of unincorporated enterprises	26250	119
Albury (C)	Owner managers of unincorporated enterprises	34125	179
Albury (C)	Owner managers of unincorporated enterprises	42000	194
Albury (C)	Owner managers of unincorporated enterprises	52500	193
Albury (C)	Owner managers of unincorporated enterprises	65625	195
Albury (C)	Owner managers of unincorporated enterprises	78750	125
Albury (C)	Owner managers of unincorporated enterprises	91875	96
Albury (C)	Owner managers of unincorporated enterprises	105000	52
Albury (C)	Owner managers of unincorporated enterprises	157500	95
Albury (C)	Owner managers of unincorporated enterprises	Inf	89
Albury (C)	Status in employment not stated	0	8
Albury (C)	Status in employment not stated	7875	7
Albury (C)	Status in employment not stated	15750	10
Albury (C)	Status in employment not stated	21000	15
Albury (C)	Status in employment not stated	26250	16
Albury (C)	Status in employment not stated	34125	25
Albury (C)	Status in employment not stated	42000	27
Albury (C)	Status in employment not stated	52500	16
Albury (C)	Status in employment not stated	65625	28
Albury (C)	Status in employment not stated	78750	19
Albury (C)	Status in employment not stated	91875	9
Albury (C)	Status in employment not stated	105000	3
Albury (C)	Status in employment not stated	157500	10
Armidale Regional (A)	Contributing family workers	0	60
Armidale Regional (A)	Contributing family workers	7875	28
Armidale Regional (A)	Contributing family workers	15750	42
Armidale Regional (A)	Contributing family workers	21000	47
Armidale Regional (A)	Contributing family workers	26250	50
Armidale Regional (A)	Contributing family workers	34125	46
Armidale Regional (A)	Contributing family workers	42000	45
Armidale Regional (A)	Contributing family workers	52500	18
Armidale Regional (A)	Contributing family workers	65625	23
Armidale Regional (A)	Contributing family workers	78750	13
Armidale Regional (A)	Contributing family workers	91875	5
Armidale Regional (A)	Contributing family workers	105000	5
Armidale Regional (A)	Contributing family workers	157500	11
Armidale Regional (A)	Employee	0	45
Armidale Regional (A)	Employee	7875	496
Armidale Regional (A)	Employee	15750	530
Armidale Regional (A)	Employee	21000	549
Armidale Regional (A)	Employee	26250	694
Armidale Regional (A)	Employee	34125	1073
Armidale Regional (A)	Employee	42000	1413
Armidale Regional (A)	Employee	52500	1319
Armidale Regional (A)	Employee	65625	1288
Armidale Regional (A)	Employee	78750	841
Armidale Regional (A)	Employee	91875	773
Armidale Regional (A)	Employee	105000	553
Armidale Regional (A)	Employee	157500	766
Armidale Regional (A)	Employee	Inf	214
Armidale Regional (A)	Owner managers of incorporated enterprises	0	6
Armidale Regional (A)	Owner managers of incorporated enterprises	7875	7
Armidale Regional (A)	Owner managers of incorporated enterprises	15750	32
Armidale Regional (A)	Owner managers of incorporated enterprises	21000	18
Armidale Regional (A)	Owner managers of incorporated enterprises	26250	39
Armidale Regional (A)	Owner managers of incorporated enterprises	34125	44
Armidale Regional (A)	Owner managers of incorporated enterprises	42000	76
Armidale Regional (A)	Owner managers of incorporated enterprises	52500	89
Armidale Regional (A)	Owner managers of incorporated enterprises	65625	86
Armidale Regional (A)	Owner managers of incorporated enterprises	78750	64
Armidale Regional (A)	Owner managers of incorporated enterprises	91875	60
Armidale Regional (A)	Owner managers of incorporated enterprises	105000	33
Armidale Regional (A)	Owner managers of incorporated enterprises	157500	55
Armidale Regional (A)	Owner managers of incorporated enterprises	Inf	67
