LGA_NAME16	Age	LabourForceStatus	workers
Albury (C)	15-19		49
Albury (C)	15-19	Employed (away from work)	63
Albury (C)	15-19	Employed (full-time)	355
Albury (C)	15-19	Employed (part-time)	1251
Albury (C)	20-24		59
Albury (C)	20-24	Employed (away from work)	64
Albury (C)	20-24	Employed (full-time)	1289
Albury (C)	20-24	Employed (part-time)	1004
Albury (C)	25-29		39
Albury (C)	25-29	Employed (away from work)	121
Albury (C)	25-29	Employed (full-time)	1567
Albury (C)	25-29	Employed (part-time)	702
Albury (C)	30-34		34
Albury (C)	30-34	Employed (away from work)	149
Albury (C)	30-34	Employed (full-time)	1540
Albury (C)	30-34	Employed (part-time)	842
Albury (C)	35-39		35
Albury (C)	35-39	Employed (away from work)	86
Albury (C)	35-39	Employed (full-time)	1492
Albury (C)	35-39	Employed (part-time)	825
Albury (C)	40-44		40
Albury (C)	40-44	Employed (away from work)	70
Albury (C)	40-44	Employed (full-time)	1624
Albury (C)	40-44	Employed (part-time)	832
Albury (C)	45-49		48
Albury (C)	45-49	Employed (away from work)	64
Albury (C)	45-49	Employed (full-time)	1831
Albury (C)	45-49	Employed (part-time)	809
Albury (C)	50-54		28
Albury (C)	50-54	Employed (away from work)	89
Albury (C)	50-54	Employed (full-time)	1785
Albury (C)	50-54	Employed (part-time)	802
Albury (C)	55-59		32
Albury (C)	55-59	Employed (away from work)	110
Albury (C)	55-59	Employed (full-time)	1559
Albury (C)	55-59	Employed (part-time)	795
Albury (C)	60-64		25
Albury (C)	60-64	Employed (away from work)	82
Albury (C)	60-64	Employed (full-time)	901
Albury (C)	60-64	Employed (part-time)	689
Albury (C)	65-69		24
Albury (C)	65-69	Employed (away from work)	41
Albury (C)	65-69	Employed (full-time)	288
Albury (C)	65-69	Employed (part-time)	388
Albury (C)	70-74		8
Albury (C)	70-74	Employed (away from work)	17
Albury (C)	70-74	Employed (full-time)	50
Albury (C)	70-74	Employed (part-time)	115
Albury (C)	75+		11
Albury (C)	75+	Employed (away from work)	7
Albury (C)	75+	Employed (full-time)	23
Albury (C)	75+	Employed (part-time)	60
Armidale Regional (A)	15-19		33
Armidale Regional (A)	15-19	Employed (away from work)	55
Armidale Regional (A)	15-19	Employed (full-time)	162
Armidale Regional (A)	15-19	Employed (part-time)	641
Armidale Regional (A)	20-24		52
Armidale Regional (A)	20-24	Employed (away from work)	56
Armidale Regional (A)	20-24	Employed (full-time)	564
Armidale Regional (A)	20-24	Employed (part-time)	668
Armidale Regional (A)	25-29		16
Armidale Regional (A)	25-29	Employed (away from work)	54
Armidale Regional (A)	25-29	Employed (full-time)	748
Armidale Regional (A)	25-29	Employed (part-time)	387
