LGA_NAME16	Age	LabourForceStatus	NeedsAssistance	workers
Albury (C)	15-19			3
Albury (C)	15-19		0	53
Albury (C)	15-19	Employed (away from work)	0	62
Albury (C)	15-19	Employed (full-time)		4
Albury (C)	15-19	Employed (full-time)	0	348
Albury (C)	15-19	Employed (full-time)	1	3
Albury (C)	15-19	Employed (part-time)		5
Albury (C)	15-19	Employed (part-time)	0	1237
Albury (C)	15-19	Employed (part-time)	1	10
Albury (C)	20-24			3
Albury (C)	20-24		0	57
Albury (C)	20-24	Employed (away from work)		3
Albury (C)	20-24	Employed (away from work)	0	57
Albury (C)	20-24	Employed (away from work)	1	3
Albury (C)	20-24	Employed (full-time)		5
Albury (C)	20-24	Employed (full-time)	0	1275
Albury (C)	20-24	Employed (full-time)	1	3
Albury (C)	20-24	Employed (part-time)		3
Albury (C)	20-24	Employed (part-time)	0	986
Albury (C)	20-24	Employed (part-time)	1	13
Albury (C)	25-29			3
Albury (C)	25-29		0	37
Albury (C)	25-29	Employed (away from work)	0	121
Albury (C)	25-29	Employed (full-time)		15
Albury (C)	25-29	Employed (full-time)	0	1544
Albury (C)	25-29	Employed (full-time)	1	12
Albury (C)	25-29	Employed (part-time)		5
Albury (C)	25-29	Employed (part-time)	0	679
Albury (C)	25-29	Employed (part-time)	1	13
Albury (C)	30-34		0	32
Albury (C)	30-34	Employed (away from work)	0	142
Albury (C)	30-34	Employed (away from work)	1	3
Albury (C)	30-34	Employed (full-time)		22
Albury (C)	30-34	Employed (full-time)	0	1507
Albury (C)	30-34	Employed (full-time)	1	10
Albury (C)	30-34	Employed (part-time)		6
Albury (C)	30-34	Employed (part-time)	0	824
Albury (C)	30-34	Employed (part-time)	1	9
Albury (C)	35-39			4
Albury (C)	35-39		0	29
Albury (C)	35-39	Employed (away from work)	0	85
Albury (C)	35-39	Employed (away from work)	1	6
Albury (C)	35-39	Employed (full-time)		15
Albury (C)	35-39	Employed (full-time)	0	1471
Albury (C)	35-39	Employed (full-time)	1	6
Albury (C)	35-39	Employed (part-time)		11
Albury (C)	35-39	Employed (part-time)	0	796
Albury (C)	35-39	Employed (part-time)	1	13
Albury (C)	40-44		0	36
Albury (C)	40-44	Employed (away from work)	0	67
Albury (C)	40-44	Employed (away from work)	1	3
Albury (C)	40-44	Employed (full-time)		16
Albury (C)	40-44	Employed (full-time)	0	1599
Albury (C)	40-44	Employed (full-time)	1	6
Albury (C)	40-44	Employed (part-time)		15
Albury (C)	40-44	Employed (part-time)	0	814
