LGA_NAME16	Age	EmploymentStatus	workers
Albury (C)	15-19	Contributing family workers	11
Albury (C)	15-19	Employee	1688
Albury (C)	15-19	Owner managers of incorporated enterprises	3
Albury (C)	15-19	Owner managers of unincorporated enterprises	12
Albury (C)	15-19	Status in employment not stated	15
Albury (C)	20-24	Contributing family workers	4
Albury (C)	20-24	Employee	2333
Albury (C)	20-24	Owner managers of incorporated enterprises	14
Albury (C)	20-24	Owner managers of unincorporated enterprises	46
Albury (C)	20-24	Status in employment not stated	12
Albury (C)	25-29	Contributing family workers	7
Albury (C)	25-29	Employee	2253
Albury (C)	25-29	Owner managers of incorporated enterprises	57
Albury (C)	25-29	Owner managers of unincorporated enterprises	96
Albury (C)	25-29	Status in employment not stated	17
Albury (C)	30-34	Contributing family workers	22
Albury (C)	30-34	Employee	2266
Albury (C)	30-34	Owner managers of incorporated enterprises	107
Albury (C)	30-34	Owner managers of unincorporated enterprises	151
Albury (C)	30-34	Status in employment not stated	18
Albury (C)	35-39	Contributing family workers	25
Albury (C)	35-39	Employee	2090
Albury (C)	35-39	Owner managers of incorporated enterprises	132
Albury (C)	35-39	Owner managers of unincorporated enterprises	163
Albury (C)	35-39	Status in employment not stated	24
Albury (C)	40-44	Contributing family workers	23
Albury (C)	40-44	Employee	2181
Albury (C)	40-44	Owner managers of incorporated enterprises	163
Albury (C)	40-44	Owner managers of unincorporated enterprises	182
Albury (C)	40-44	Status in employment not stated	13
Albury (C)	45-49	Contributing family workers	32
Albury (C)	45-49	Employee	2276
Albury (C)	45-49	Owner managers of incorporated enterprises	234
Albury (C)	45-49	Owner managers of unincorporated enterprises	192
Albury (C)	45-49	Status in employment not stated	20
Albury (C)	50-54	Contributing family workers	24
Albury (C)	50-54	Employee	2212
Albury (C)	50-54	Owner managers of incorporated enterprises	247
Albury (C)	50-54	Owner managers of unincorporated enterprises	208
Albury (C)	50-54	Status in employment not stated	22
Albury (C)	55-59	Contributing family workers	33
Albury (C)	55-59	Employee	2042
Albury (C)	55-59	Owner managers of incorporated enterprises	197
Albury (C)	55-59	Owner managers of unincorporated enterprises	210
Albury (C)	55-59	Status in employment not stated	24
Albury (C)	60-64	Contributing family workers	34
Albury (C)	60-64	Employee	1311
Albury (C)	60-64	Owner managers of incorporated enterprises	157
Albury (C)	60-64	Owner managers of unincorporated enterprises	177
Albury (C)	60-64	Status in employment not stated	20
Albury (C)	65-69	Contributing family workers	35
Albury (C)	65-69	Employee	491
Albury (C)	65-69	Owner managers of incorporated enterprises	91
Albury (C)	65-69	Owner managers of unincorporated enterprises	111
Albury (C)	65-69	Status in employment not stated	16
Albury (C)	70-74	Contributing family workers	22
Albury (C)	70-74	Employee	89
Albury (C)	70-74	Owner managers of incorporated enterprises	19
Albury (C)	70-74	Owner managers of unincorporated enterprises	40
Albury (C)	70-74	Status in employment not stated	8
Albury (C)	75+	Contributing family workers	25
Albury (C)	75+	Employee	44
Albury (C)	75+	Owner managers of incorporated enterprises	7
Albury (C)	75+	Owner managers of unincorporated enterprises	19
Albury (C)	75+	Status in employment not stated	14
Armidale Regional (A)	15-19	Contributing family workers	20
Armidale Regional (A)	15-19	Employee	866
Armidale Regional (A)	15-19	Owner managers of unincorporated enterprises	5
Armidale Regional (A)	15-19	Status in employment not stated	5
Armidale Regional (A)	20-24	Contributing family workers	8
Armidale Regional (A)	20-24	Employee	1289
Armidale Regional (A)	20-24	Owner managers of incorporated enterprises	13
Armidale Regional (A)	20-24	Owner managers of unincorporated enterprises	20
Armidale Regional (A)	20-24	Status in employment not stated	16
Armidale Regional (A)	25-29	Contributing family workers	9
Armidale Regional (A)	25-29	Employee	1120
Armidale Regional (A)	25-29	Owner managers of incorporated enterprises	24
Armidale Regional (A)	25-29	Owner managers of unincorporated enterprises	43
Armidale Regional (A)	25-29	Status in employment not stated	10
Armidale Regional (A)	30-34	Contributing family workers	13
Armidale Regional (A)	30-34	Employee	1059
Armidale Regional (A)	30-34	Owner managers of incorporated enterprises	50
Armidale Regional (A)	30-34	Owner managers of unincorporated enterprises	65
Armidale Regional (A)	30-34	Status in employment not stated	3
Armidale Regional (A)	35-39	Contributing family workers	21
Armidale Regional (A)	35-39	Employee	922
Armidale Regional (A)	35-39	Owner managers of incorporated enterprises	58
Armidale Regional (A)	35-39	Owner managers of unincorporated enterprises	89
Armidale Regional (A)	35-39	Status in employment not stated	11
Armidale Regional (A)	40-44	Contributing family workers	25
Armidale Regional (A)	40-44	Employee	1083
Armidale Regional (A)	40-44	Owner managers of incorporated enterprises	74
Armidale Regional (A)	40-44	Owner managers of unincorporated enterprises	114
Armidale Regional (A)	40-44	Status in employment not stated	6
Armidale Regional (A)	45-49	Contributing family workers	20
Armidale Regional (A)	45-49	Employee	1143
Armidale Regional (A)	45-49	Owner managers of incorporated enterprises	100
Armidale Regional (A)	45-49	Owner managers of unincorporated enterprises	119
Armidale Regional (A)	45-49	Status in employment not stated	8
Armidale Regional (A)	50-54	Contributing family workers	30
Armidale Regional (A)	50-54	Employee	1178
Armidale Regional (A)	50-54	Owner managers of incorporated enterprises	114
Armidale Regional (A)	50-54	Owner managers of unincorporated enterprises	166
Armidale Regional (A)	50-54	Status in employment not stated	18
Armidale Regional (A)	55-59	Contributing family workers	45
Armidale Regional (A)	55-59	Employee	1080
Armidale Regional (A)	55-59	Owner managers of incorporated enterprises	107
Armidale Regional (A)	55-59	Owner managers of unincorporated enterprises	140
Armidale Regional (A)	55-59	Status in employment not stated	14
Armidale Regional (A)	60-64	Contributing family workers	42
Armidale Regional (A)	60-64	Employee	663
Armidale Regional (A)	60-64	Owner managers of incorporated enterprises	73
Armidale Regional (A)	60-64	Owner managers of unincorporated enterprises	160
Armidale Regional (A)	60-64	Status in employment not stated	11
Armidale Regional (A)	65-69	Contributing family workers	64
Armidale Regional (A)	65-69	Employee	229
Armidale Regional (A)	65-69	Owner managers of incorporated enterprises	37
Armidale Regional (A)	65-69	Owner managers of unincorporated enterprises	120
Armidale Regional (A)	65-69	Status in employment not stated	10
Armidale Regional (A)	70-74	Contributing family workers	59
Armidale Regional (A)	70-74	Employee	71
Armidale Regional (A)	70-74	Owner managers of incorporated enterprises	27
Armidale Regional (A)	70-74	Owner managers of unincorporated enterprises	67
Armidale Regional (A)	70-74	Status in employment not stated	8
Armidale Regional (A)	75+	Contributing family workers	51
Armidale Regional (A)	75+	Employee	21
Armidale Regional (A)	75+	Owner managers of incorporated enterprises	17
Armidale Regional (A)	75+	Owner managers of unincorporated enterprises	45
Armidale Regional (A)	75+	Status in employment not stated	8
Ballina (A)	15-19	Contributing family workers	9
Ballina (A)	15-19	Employee	964
Ballina (A)	15-19	Owner managers of unincorporated enterprises	5
Ballina (A)	15-19	Status in employment not stated	10
Ballina (A)	20-24	Employee	1024
Ballina (A)	20-24	Owner managers of incorporated enterprises	10
Ballina (A)	20-24	Owner managers of unincorporated enterprises	22
Ballina (A)	20-24	Status in employment not stated	13
Ballina (A)	25-29	Contributing family workers	13
Ballina (A)	25-29	Employee	898
Ballina (A)	25-29	Owner managers of incorporated enterprises	29
Ballina (A)	25-29	Owner managers of unincorporated enterprises	68
Ballina (A)	25-29	Status in employment not stated	5
Ballina (A)	30-34	Contributing family workers	19
Ballina (A)	30-34	Employee	982
Ballina (A)	30-34	Owner managers of incorporated enterprises	54
Ballina (A)	30-34	Owner managers of unincorporated enterprises	115
Ballina (A)	30-34	Status in employment not stated	14
Ballina (A)	35-39	Contributing family workers	16
Ballina (A)	35-39	Employee	1031
Ballina (A)	35-39	Owner managers of incorporated enterprises	122
Ballina (A)	35-39	Owner managers of unincorporated enterprises	187
Ballina (A)	35-39	Status in employment not stated	15
Ballina (A)	40-44	Contributing family workers	30
Ballina (A)	40-44	Employee	1204
Ballina (A)	40-44	Owner managers of incorporated enterprises	155
Ballina (A)	40-44	Owner managers of unincorporated enterprises	214
Ballina (A)	40-44	Status in employment not stated	14
Ballina (A)	45-49	Contributing family workers	31
Ballina (A)	45-49	Employee	1296
Ballina (A)	45-49	Owner managers of incorporated enterprises	156
Ballina (A)	45-49	Owner managers of unincorporated enterprises	241
Ballina (A)	45-49	Status in employment not stated	17
Ballina (A)	50-54	Contributing family workers	42
Ballina (A)	50-54	Employee	1338
Ballina (A)	50-54	Owner managers of incorporated enterprises	182
Ballina (A)	50-54	Owner managers of unincorporated enterprises	251
Ballina (A)	50-54	Status in employment not stated	15
Ballina (A)	55-59	Contributing family workers	40
Ballina (A)	55-59	Employee	1354
Ballina (A)	55-59	Owner managers of incorporated enterprises	145
Ballina (A)	55-59	Owner managers of unincorporated enterprises	267
Ballina (A)	55-59	Status in employment not stated	23
Ballina (A)	60-64	Contributing family workers	40
Ballina (A)	60-64	Employee	864
Ballina (A)	60-64	Owner managers of incorporated enterprises	118
Ballina (A)	60-64	Owner managers of unincorporated enterprises	248
Ballina (A)	60-64	Status in employment not stated	17
Ballina (A)	65-69	Contributing family workers	46
Ballina (A)	65-69	Employee	320
Ballina (A)	65-69	Owner managers of incorporated enterprises	84
Ballina (A)	65-69	Owner managers of unincorporated enterprises	145
Ballina (A)	65-69	Status in employment not stated	10
Ballina (A)	70-74	Contributing family workers	30
Ballina (A)	70-74	Employee	87
Ballina (A)	70-74	Owner managers of incorporated enterprises	28
Ballina (A)	70-74	Owner managers of unincorporated enterprises	72
Ballina (A)	70-74	Status in employment not stated	7
Ballina (A)	75+	Contributing family workers	32
Ballina (A)	75+	Employee	34
Ballina (A)	75+	Owner managers of incorporated enterprises	23
Ballina (A)	75+	Owner managers of unincorporated enterprises	46
Ballina (A)	75+	Status in employment not stated	12
Balranald (A)	15-19	Employee	26
Balranald (A)	20-24	Contributing family workers	8
Balranald (A)	20-24	Employee	58
Balranald (A)	25-29	Employee	50
Balranald (A)	25-29	Owner managers of incorporated enterprises	8
Balranald (A)	25-29	Owner managers of unincorporated enterprises	5
Balranald (A)	25-29	Status in employment not stated	3
Balranald (A)	30-34	Employee	42
Balranald (A)	30-34	Owner managers of incorporated enterprises	7
Balranald (A)	30-34	Owner managers of unincorporated enterprises	7
Balranald (A)	35-39	Contributing family workers	4
Balranald (A)	35-39	Employee	52
Balranald (A)	35-39	Owner managers of incorporated enterprises	7
Balranald (A)	35-39	Owner managers of unincorporated enterprises	5
Balranald (A)	40-44	Contributing family workers	7
Balranald (A)	40-44	Employee	62
Balranald (A)	40-44	Owner managers of incorporated enterprises	11
Balranald (A)	40-44	Owner managers of unincorporated enterprises	11
Balranald (A)	45-49	Contributing family workers	4
Balranald (A)	45-49	Employee	65
Balranald (A)	45-49	Owner managers of incorporated enterprises	6
Balranald (A)	45-49	Owner managers of unincorporated enterprises	13
Balranald (A)	50-54	Contributing family workers	5
Balranald (A)	50-54	Employee	61
Balranald (A)	50-54	Owner managers of incorporated enterprises	12
Balranald (A)	50-54	Owner managers of unincorporated enterprises	8
Balranald (A)	55-59	Contributing family workers	9
Balranald (A)	55-59	Employee	69
Balranald (A)	55-59	Owner managers of incorporated enterprises	10
Balranald (A)	55-59	Owner managers of unincorporated enterprises	16
Balranald (A)	60-64	Contributing family workers	6
Balranald (A)	60-64	Employee	51
Balranald (A)	60-64	Owner managers of incorporated enterprises	5
Balranald (A)	60-64	Owner managers of unincorporated enterprises	17
Balranald (A)	65-69	Contributing family workers	3
Balranald (A)	65-69	Employee	14
Balranald (A)	65-69	Owner managers of incorporated enterprises	6
Balranald (A)	65-69	Owner managers of unincorporated enterprises	12
Balranald (A)	70-74	Owner managers of incorporated enterprises	3
Balranald (A)	70-74	Owner managers of unincorporated enterprises	4
Balranald (A)	75+	Contributing family workers	4
Balranald (A)	75+	Employee	3
Bathurst Regional (A)	15-19	Contributing family workers	20
Bathurst Regional (A)	15-19	Employee	1109
Bathurst Regional (A)	15-19	Owner managers of unincorporated enterprises	5
Bathurst Regional (A)	15-19	Status in employment not stated	17
Bathurst Regional (A)	20-24	Contributing family workers	8
Bathurst Regional (A)	20-24	Employee	1757
Bathurst Regional (A)	20-24	Owner managers of incorporated enterprises	12
Bathurst Regional (A)	20-24	Owner managers of unincorporated enterprises	36
Bathurst Regional (A)	20-24	Status in employment not stated	15
Bathurst Regional (A)	25-29	Contributing family workers	11
Bathurst Regional (A)	25-29	Employee	1603
Bathurst Regional (A)	25-29	Owner managers of incorporated enterprises	38
Bathurst Regional (A)	25-29	Owner managers of unincorporated enterprises	71
Bathurst Regional (A)	25-29	Status in employment not stated	19
Bathurst Regional (A)	30-34	Contributing family workers	7
Bathurst Regional (A)	30-34	Employee	1459
Bathurst Regional (A)	30-34	Owner managers of incorporated enterprises	110
Bathurst Regional (A)	30-34	Owner managers of unincorporated enterprises	85
Bathurst Regional (A)	30-34	Status in employment not stated	19
Bathurst Regional (A)	35-39	Contributing family workers	23
Bathurst Regional (A)	35-39	Employee	1330
Bathurst Regional (A)	35-39	Owner managers of incorporated enterprises	98
Bathurst Regional (A)	35-39	Owner managers of unincorporated enterprises	143
Bathurst Regional (A)	35-39	Status in employment not stated	7
Bathurst Regional (A)	40-44	Contributing family workers	33
Bathurst Regional (A)	40-44	Employee	1522
Bathurst Regional (A)	40-44	Owner managers of incorporated enterprises	120
Bathurst Regional (A)	40-44	Owner managers of unincorporated enterprises	141
Bathurst Regional (A)	40-44	Status in employment not stated	24
Bathurst Regional (A)	45-49	Contributing family workers	24
Bathurst Regional (A)	45-49	Employee	1563
Bathurst Regional (A)	45-49	Owner managers of incorporated enterprises	144
Bathurst Regional (A)	45-49	Owner managers of unincorporated enterprises	157
Bathurst Regional (A)	45-49	Status in employment not stated	17
Bathurst Regional (A)	50-54	Contributing family workers	39
Bathurst Regional (A)	50-54	Employee	1498
Bathurst Regional (A)	50-54	Owner managers of incorporated enterprises	135
Bathurst Regional (A)	50-54	Owner managers of unincorporated enterprises	152
Bathurst Regional (A)	50-54	Status in employment not stated	22
Bathurst Regional (A)	55-59	Contributing family workers	47
Bathurst Regional (A)	55-59	Employee	1364
Bathurst Regional (A)	55-59	Owner managers of incorporated enterprises	119
Bathurst Regional (A)	55-59	Owner managers of unincorporated enterprises	152
Bathurst Regional (A)	55-59	Status in employment not stated	25
Bathurst Regional (A)	60-64	Contributing family workers	36
Bathurst Regional (A)	60-64	Employee	929
Bathurst Regional (A)	60-64	Owner managers of incorporated enterprises	89
Bathurst Regional (A)	60-64	Owner managers of unincorporated enterprises	139
Bathurst Regional (A)	60-64	Status in employment not stated	16
Bathurst Regional (A)	65-69	Contributing family workers	47
Bathurst Regional (A)	65-69	Employee	305
Bathurst Regional (A)	65-69	Owner managers of incorporated enterprises	66
Bathurst Regional (A)	65-69	Owner managers of unincorporated enterprises	123
Bathurst Regional (A)	65-69	Status in employment not stated	11
Bathurst Regional (A)	70-74	Contributing family workers	28
Bathurst Regional (A)	70-74	Employee	95
Bathurst Regional (A)	70-74	Owner managers of incorporated enterprises	22
Bathurst Regional (A)	70-74	Owner managers of unincorporated enterprises	65
Bathurst Regional (A)	70-74	Status in employment not stated	9
Bathurst Regional (A)	75+	Contributing family workers	33
Bathurst Regional (A)	75+	Employee	40
Bathurst Regional (A)	75+	Owner managers of incorporated enterprises	13
Bathurst Regional (A)	75+	Owner managers of unincorporated enterprises	46
Bathurst Regional (A)	75+	Status in employment not stated	6
Bega Valley (A)	15-19	Contributing family workers	8
Bega Valley (A)	15-19	Employee	709
Bega Valley (A)	15-19	Owner managers of incorporated enterprises	3
Bega Valley (A)	15-19	Owner managers of unincorporated enterprises	8
Bega Valley (A)	15-19	Status in employment not stated	13
Bega Valley (A)	20-24	Employee	650
Bega Valley (A)	20-24	Owner managers of incorporated enterprises	4
Bega Valley (A)	20-24	Owner managers of unincorporated enterprises	30
Bega Valley (A)	20-24	Status in employment not stated	9
Bega Valley (A)	25-29	Contributing family workers	3
Bega Valley (A)	25-29	Employee	649
Bega Valley (A)	25-29	Owner managers of incorporated enterprises	12
Bega Valley (A)	25-29	Owner managers of unincorporated enterprises	35
Bega Valley (A)	25-29	Status in employment not stated	7
Bega Valley (A)	30-34	Contributing family workers	8
Bega Valley (A)	30-34	Employee	755
Bega Valley (A)	30-34	Owner managers of incorporated enterprises	40
Bega Valley (A)	30-34	Owner managers of unincorporated enterprises	69
Bega Valley (A)	30-34	Status in employment not stated	11
Bega Valley (A)	35-39	Contributing family workers	10
Bega Valley (A)	35-39	Employee	749
Bega Valley (A)	35-39	Owner managers of incorporated enterprises	65
Bega Valley (A)	35-39	Owner managers of unincorporated enterprises	124
Bega Valley (A)	35-39	Status in employment not stated	8
Bega Valley (A)	40-44	Contributing family workers	19
Bega Valley (A)	40-44	Employee	874
Bega Valley (A)	40-44	Owner managers of incorporated enterprises	107
Bega Valley (A)	40-44	Owner managers of unincorporated enterprises	128
Bega Valley (A)	40-44	Status in employment not stated	18
Bega Valley (A)	45-49	Contributing family workers	29
Bega Valley (A)	45-49	Employee	1087
Bega Valley (A)	45-49	Owner managers of incorporated enterprises	118
