LGA_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
Albury (C)	Bicycle	1	Clerical and administrative workers	19
Albury (C)	Bicycle	1	Community and personal service workers	19
Albury (C)	Bicycle	1	Labourers	21
Albury (C)	Bicycle	1	Machinery operators and drivers	16
Albury (C)	Bicycle	1	Managers	22
Albury (C)	Bicycle	1	Professionals	59
Albury (C)	Bicycle	1	Sales workers	24
Albury (C)	Bicycle	1	Technicians and trades workers	30
Albury (C)	Bus	1	Clerical and administrative workers	25
Albury (C)	Bus	1	Community and personal service workers	19
Albury (C)	Bus	1	Labourers	28
Albury (C)	Bus	1	Managers	6
Albury (C)	Bus	1	Professionals	10
Albury (C)	Bus	1	Sales workers	28
Albury (C)	Bus	1	Technicians and trades workers	12
Albury (C)	Bus and car as passenger	2	Community and personal service workers	5
Albury (C)	Bus and car as passenger	2	Labourers	5
Albury (C)	Bus and car as passenger	2	Machinery operators and drivers	3
Albury (C)	Bus and car as passenger	2	Sales workers	5
Albury (C)	Bus and other	2	Sales workers	3
Albury (C)	Car as driver	1		242
Albury (C)	Car as driver	1	Clerical and administrative workers	2930
Albury (C)	Car as driver	1	Community and personal service workers	2260
Albury (C)	Car as driver	1	Labourers	1456
Albury (C)	Car as driver	1	Machinery operators and drivers	1103
Albury (C)	Car as driver	1	Managers	2049
Albury (C)	Car as driver	1	Professionals	3796
Albury (C)	Car as driver	1	Sales workers	1974
Albury (C)	Car as driver	1	Technicians and trades workers	2643
Albury (C)	Car as passenger	1		21
Albury (C)	Car as passenger	1	Clerical and administrative workers	122
Albury (C)	Car as passenger	1	Community and personal service workers	145
Albury (C)	Car as passenger	1	Labourers	233
Albury (C)	Car as passenger	1	Machinery operators and drivers	48
Albury (C)	Car as passenger	1	Managers	68
Albury (C)	Car as passenger	1	Professionals	113
Albury (C)	Car as passenger	1	Sales workers	322
Albury (C)	Car as passenger	1	Technicians and trades workers	136
Albury (C)	Did not go to work			21
Albury (C)	Did not go to work		Clerical and administrative workers	341
Albury (C)	Did not go to work		Community and personal service workers	452
Albury (C)	Did not go to work		Labourers	243
Albury (C)	Did not go to work		Machinery operators and drivers	120
Albury (C)	Did not go to work		Managers	159
Albury (C)	Did not go to work		Professionals	493
Albury (C)	Did not go to work		Sales workers	570
Albury (C)	Did not go to work		Technicians and trades workers	198
Albury (C)	Method of travel not stated			59
Albury (C)	Method of travel not stated		Clerical and administrative workers	20
Albury (C)	Method of travel not stated		Community and personal service workers	24
Albury (C)	Method of travel not stated		Labourers	19
Albury (C)	Method of travel not stated		Machinery operators and drivers	18
Albury (C)	Method of travel not stated		Managers	23
Albury (C)	Method of travel not stated		Professionals	25
Albury (C)	Method of travel not stated		Sales workers	17
Albury (C)	Method of travel not stated		Technicians and trades workers	20
Albury (C)	Motorbike scooter	1	Clerical and administrative workers	9
Albury (C)	Motorbike scooter	1	Community and personal service workers	14
Albury (C)	Motorbike scooter	1	Labourers	5
Albury (C)	Motorbike scooter	1	Machinery operators and drivers	9
Albury (C)	Motorbike scooter	1	Managers	11
Albury (C)	Motorbike scooter	1	Professionals	9
Albury (C)	Motorbike scooter	1	Sales workers	10
Albury (C)	Motorbike scooter	1	Technicians and trades workers	29
Albury (C)	(Other)	1		3
Albury (C)	(Other)	1	Clerical and administrative workers	10
Albury (C)	(Other)	1	Community and personal service workers	16
Albury (C)	(Other)	1	Labourers	4
Albury (C)	(Other)	1	Machinery operators and drivers	7
Albury (C)	(Other)	1	Managers	8
Albury (C)	(Other)	1	Professionals	15
Albury (C)	(Other)	1	Sales workers	6
Albury (C)	(Other)	1	Technicians and trades workers	10
Albury (C)	Other three methods	3	Labourers	4
Albury (C)	Other three methods	3	Professionals	4
Albury (C)	Other two methods	2		4
Albury (C)	Other two methods	2	Clerical and administrative workers	10
Albury (C)	Other two methods	2	Community and personal service workers	17
Albury (C)	Other two methods	2	Labourers	8
Albury (C)	Other two methods	2	Machinery operators and drivers	12
Albury (C)	Other two methods	2	Managers	18
Albury (C)	Other two methods	2	Professionals	33
Albury (C)	Other two methods	2	Sales workers	14
Albury (C)	Other two methods	2	Technicians and trades workers	22
Albury (C)	Taxi	1	Clerical and administrative workers	3
Albury (C)	Taxi	1	Community and personal service workers	5
Albury (C)	Taxi	1	Labourers	4
Albury (C)	Taxi	1	Machinery operators and drivers	3
Albury (C)	Taxi	1	Managers	3
Albury (C)	Taxi	1	Professionals	8
Albury (C)	Taxi	1	Sales workers	7
Albury (C)	Train	1	Clerical and administrative workers	4
Albury (C)	Train	1	Community and personal service workers	3
Albury (C)	Train	1	Professionals	10
Albury (C)	Train and car as driver	2	Technicians and trades workers	3
Albury (C)	Train and two other methods	3	Managers	4
Albury (C)	Tram includes light rail	1		3
Albury (C)	Truck	1	Clerical and administrative workers	3
Albury (C)	Truck	1	Labourers	17
Albury (C)	Truck	1	Machinery operators and drivers	65
Albury (C)	Truck	1	Managers	13
Albury (C)	Truck	1	Technicians and trades workers	28
Albury (C)	Walked only	1		10
Albury (C)	Walked only	1	Clerical and administrative workers	104
Albury (C)	Walked only	1	Community and personal service workers	97
Albury (C)	Walked only	1	Labourers	74
Albury (C)	Walked only	1	Machinery operators and drivers	15
Albury (C)	Walked only	1	Managers	78
Albury (C)	Walked only	1	Professionals	163
Albury (C)	Walked only	1	Sales workers	94
Albury (C)	Walked only	1	Technicians and trades workers	91
Albury (C)	Worked at home			11
Albury (C)	Worked at home		Clerical and administrative workers	169
Albury (C)	Worked at home		Community and personal service workers	82
Albury (C)	Worked at home		Labourers	25
Albury (C)	Worked at home		Machinery operators and drivers	6
Albury (C)	Worked at home		Managers	148
Albury (C)	Worked at home		Professionals	208
Albury (C)	Worked at home		Sales workers	35
Albury (C)	Worked at home		Technicians and trades workers	55
Armidale Regional (A)	Bicycle	1	Clerical and administrative workers	14
Armidale Regional (A)	Bicycle	1	Community and personal service workers	7
Armidale Regional (A)	Bicycle	1	Labourers	10
Armidale Regional (A)	Bicycle	1	Machinery operators and drivers	8
Armidale Regional (A)	Bicycle	1	Managers	13
Armidale Regional (A)	Bicycle	1	Professionals	47
Armidale Regional (A)	Bicycle	1	Sales workers	5
Armidale Regional (A)	Bicycle	1	Technicians and trades workers	10
Armidale Regional (A)	Bus	1	Clerical and administrative workers	6
Armidale Regional (A)	Bus	1	Community and personal service workers	4
Armidale Regional (A)	Bus	1	Labourers	9
Armidale Regional (A)	Bus	1	Managers	3
Armidale Regional (A)	Bus	1	Professionals	21
