LGA_NAME16	Age	LabourForceStatus	Sex	workers
Albury (C)	15-19		F	29
Albury (C)	15-19		M	24
Albury (C)	15-19	Employed (away from work)	F	39
Albury (C)	15-19	Employed (away from work)	M	26
Albury (C)	15-19	Employed (full-time)	F	134
Albury (C)	15-19	Employed (full-time)	M	228
Albury (C)	15-19	Employed (part-time)	F	771
Albury (C)	15-19	Employed (part-time)	M	478
Albury (C)	20-24		F	29
Albury (C)	20-24		M	27
Albury (C)	20-24	Employed (away from work)	F	42
Albury (C)	20-24	Employed (away from work)	M	15
Albury (C)	20-24	Employed (full-time)	F	550
Albury (C)	20-24	Employed (full-time)	M	740
Albury (C)	20-24	Employed (part-time)	F	704
Albury (C)	20-24	Employed (part-time)	M	300
Albury (C)	25-29		F	15
Albury (C)	25-29		M	24
Albury (C)	25-29	Employed (away from work)	F	103
Albury (C)	25-29	Employed (away from work)	M	18
Albury (C)	25-29	Employed (full-time)	F	674
Albury (C)	25-29	Employed (full-time)	M	893
Albury (C)	25-29	Employed (part-time)	F	518
Albury (C)	25-29	Employed (part-time)	M	186
Albury (C)	30-34		F	14
Albury (C)	30-34		M	20
Albury (C)	30-34	Employed (away from work)	F	115
Albury (C)	30-34	Employed (away from work)	M	35
Albury (C)	30-34	Employed (full-time)	F	538
Albury (C)	30-34	Employed (full-time)	M	1006
Albury (C)	30-34	Employed (part-time)	F	696
Albury (C)	30-34	Employed (part-time)	M	142
Albury (C)	35-39		F	10
Albury (C)	35-39		M	18
Albury (C)	35-39	Employed (away from work)	F	64
Albury (C)	35-39	Employed (away from work)	M	23
Albury (C)	35-39	Employed (full-time)	F	528
Albury (C)	35-39	Employed (full-time)	M	966
Albury (C)	35-39	Employed (part-time)	F	680
Albury (C)	35-39	Employed (part-time)	M	145
Albury (C)	40-44		F	22
Albury (C)	40-44		M	18
Albury (C)	40-44	Employed (away from work)	F	45
Albury (C)	40-44	Employed (away from work)	M	25
Albury (C)	40-44	Employed (full-time)	F	653
Albury (C)	40-44	Employed (full-time)	M	969
Albury (C)	40-44	Employed (part-time)	F	704
Albury (C)	40-44	Employed (part-time)	M	131
Albury (C)	45-49		F	25
Albury (C)	45-49		M	22
Albury (C)	45-49	Employed (away from work)	F	43
Albury (C)	45-49	Employed (away from work)	M	18
Albury (C)	45-49	Employed (full-time)	F	790
Albury (C)	45-49	Employed (full-time)	M	1044
Albury (C)	45-49	Employed (part-time)	F	648
Albury (C)	45-49	Employed (part-time)	M	165
Albury (C)	50-54		F	14
Albury (C)	50-54		M	20
Albury (C)	50-54	Employed (away from work)	F	55
Albury (C)	50-54	Employed (away from work)	M	38
Albury (C)	50-54	Employed (full-time)	F	787
Albury (C)	50-54	Employed (full-time)	M	994
Albury (C)	50-54	Employed (part-time)	F	664
Albury (C)	50-54	Employed (part-time)	M	140
Albury (C)	55-59		F	15
Albury (C)	55-59		M	18
Albury (C)	55-59	Employed (away from work)	F	64
Albury (C)	55-59	Employed (away from work)	M	42
Albury (C)	55-59	Employed (full-time)	F	673
Albury (C)	55-59	Employed (full-time)	M	891
Albury (C)	55-59	Employed (part-time)	F	624
Albury (C)	55-59	Employed (part-time)	M	173
Albury (C)	60-64		F	13
Albury (C)	60-64		M	11
Albury (C)	60-64	Employed (away from work)	F	49
Albury (C)	60-64	Employed (away from work)	M	37
Albury (C)	60-64	Employed (full-time)	F	343
Albury (C)	60-64	Employed (full-time)	M	563
Albury (C)	60-64	Employed (part-time)	F	462
Albury (C)	60-64	Employed (part-time)	M	230
Albury (C)	65-69		F	5
Albury (C)	65-69		M	17
Albury (C)	65-69	Employed (away from work)	F	18
Albury (C)	65-69	Employed (away from work)	M	18
Albury (C)	65-69	Employed (full-time)	F	90
Albury (C)	65-69	Employed (full-time)	M	192
Albury (C)	65-69	Employed (part-time)	F	218
Albury (C)	65-69	Employed (part-time)	M	165
Albury (C)	70-74		F	6
Albury (C)	70-74		M	4
Albury (C)	70-74	Employed (away from work)	F	3
Albury (C)	70-74	Employed (away from work)	M	6
Albury (C)	70-74	Employed (full-time)	F	9
Albury (C)	70-74	Employed (full-time)	M	42
Albury (C)	70-74	Employed (part-time)	F	43
Albury (C)	70-74	Employed (part-time)	M	72
Albury (C)	75+		F	5
Albury (C)	75+		M	6
Albury (C)	75+	Employed (away from work)	F	5
Albury (C)	75+	Employed (away from work)	M	4
Albury (C)	75+	Employed (full-time)	F	3
Albury (C)	75+	Employed (full-time)	M	16
Albury (C)	75+	Employed (part-time)	F	27
Albury (C)	75+	Employed (part-time)	M	37
Armidale Regional (A)	15-19		F	16
Armidale Regional (A)	15-19		M	18
Armidale Regional (A)	15-19	Employed (away from work)	F	39
Armidale Regional (A)	15-19	Employed (away from work)	M	19
Armidale Regional (A)	15-19	Employed (full-time)	F	59
Armidale Regional (A)	15-19	Employed (full-time)	M	105
Armidale Regional (A)	15-19	Employed (part-time)	F	390
Armidale Regional (A)	15-19	Employed (part-time)	M	252
Armidale Regional (A)	20-24		F	23
Armidale Regional (A)	20-24		M	31
Armidale Regional (A)	20-24	Employed (away from work)	F	33
Armidale Regional (A)	20-24	Employed (away from work)	M	20
Armidale Regional (A)	20-24	Employed (full-time)	F	233
