LGA_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
Albury (C)	15-24	Bicycle	1	F	3
Albury (C)	15-24	Bicycle	1	M	28
Albury (C)	15-24	Bus	1	F	25
Albury (C)	15-24	Bus	1	M	7
Albury (C)	15-24	Bus and car as passenger	2	F	10
Albury (C)	15-24	Bus and car as passenger	2	M	3
Albury (C)	15-24	Bus and other	2	M	3
Albury (C)	15-24	Car as driver	1	F	1350
Albury (C)	15-24	Car as driver	1	M	1130
Albury (C)	15-24	Car as passenger	1	F	331
Albury (C)	15-24	Car as passenger	1	M	277
Albury (C)	15-24	Did not go to work		F	435
Albury (C)	15-24	Did not go to work		M	233
Albury (C)	15-24	Method of travel not stated		F	20
Albury (C)	15-24	Method of travel not stated		M	17
Albury (C)	15-24	Motorbike scooter	1	M	24
Albury (C)	15-24	(Other)	1	F	3
Albury (C)	15-24	(Other)	1	M	3
Albury (C)	15-24	Other two methods	2	F	15
Albury (C)	15-24	Other two methods	2	M	17
Albury (C)	15-24	Taxi	1	F	4
Albury (C)	15-24	Truck	1	M	10
Albury (C)	15-24	Walked only	1	F	89
Albury (C)	15-24	Walked only	1	M	71
Albury (C)	15-24	Worked at home		F	12
Albury (C)	15-24	Worked at home		M	12
Albury (C)	25-34	Bicycle	1	F	9
Albury (C)	25-34	Bicycle	1	M	31
Albury (C)	25-34	Bus	1	F	13
Albury (C)	25-34	Bus	1	M	14
Albury (C)	25-34	Car as driver	1	F	1927
Albury (C)	25-34	Car as driver	1	M	1878
Albury (C)	25-34	Car as passenger	1	F	87
Albury (C)	25-34	Car as passenger	1	M	101
Albury (C)	25-34	Did not go to work		F	450
Albury (C)	25-34	Did not go to work		M	132
Albury (C)	25-34	Method of travel not stated		F	12
Albury (C)	25-34	Method of travel not stated		M	13
Albury (C)	25-34	Motorbike scooter	1	M	11
Albury (C)	25-34	(Other)	1	F	3
Albury (C)	25-34	(Other)	1	M	6
Albury (C)	25-34	Other two methods	2	F	9
Albury (C)	25-34	Other two methods	2	M	13
Albury (C)	25-34	Taxi	1	F	5
Albury (C)	25-34	Train	1	F	3
Albury (C)	25-34	Train	1	M	3
Albury (C)	25-34	Truck	1	M	18
Albury (C)	25-34	Walked only	1	F	76
Albury (C)	25-34	Walked only	1	M	74
Albury (C)	25-34	Worked at home		F	73
Albury (C)	25-34	Worked at home		M	29
Albury (C)	35-44	Bicycle	1	F	10
Albury (C)	35-44	Bicycle	1	M	40
Albury (C)	35-44	Bus	1	F	16
Albury (C)	35-44	Bus	1	M	9
Albury (C)	35-44	Car as driver	1	F	2070
Albury (C)	35-44	Car as driver	1	M	1841
Albury (C)	35-44	Car as passenger	1	F	78
Albury (C)	35-44	Car as passenger	1	M	63
Albury (C)	35-44	Did not go to work		F	314
Albury (C)	35-44	Did not go to work		M	127
Albury (C)	35-44	Method of travel not stated		F	18
Albury (C)	35-44	Method of travel not stated		M	23
Albury (C)	35-44	Motorbike scooter	1	M	11
Albury (C)	35-44	(Other)	1	F	10
Albury (C)	35-44	(Other)	1	M	6
Albury (C)	35-44	Other two methods	2	F	13
Albury (C)	35-44	Other two methods	2	M	24
Albury (C)	35-44	Taxi	1	F	7
Albury (C)	35-44	Taxi	1	M	3
Albury (C)	35-44	Train	1	F	3
Albury (C)	35-44	Train	1	M	3
Albury (C)	35-44	Truck	1	M	22
Albury (C)	35-44	Walked only	1	F	54
Albury (C)	35-44	Walked only	1	M	66
Albury (C)	35-44	Worked at home		F	113
Albury (C)	35-44	Worked at home		M	44
Albury (C)	45-54	Bicycle	1	F	14
Albury (C)	45-54	Bicycle	1	M	38
Albury (C)	45-54	Bus	1	F	15
Albury (C)	45-54	Bus	1	M	4
Albury (C)	45-54	Car as driver	1	F	2408
Albury (C)	45-54	Car as driver	1	M	1986
Albury (C)	45-54	Car as passenger	1	F	94
Albury (C)	45-54	Car as passenger	1	M	51
Albury (C)	45-54	Did not go to work		F	264
Albury (C)	45-54	Did not go to work		M	135
Albury (C)	45-54	Method of travel not stated		F	21
Albury (C)	45-54	Method of travel not stated		M	21
Albury (C)	45-54	Motorbike scooter	1	M	14
Albury (C)	45-54	(Other)	1	F	9
Albury (C)	45-54	(Other)	1	M	13
Albury (C)	45-54	Other two methods	2	F	11
Albury (C)	45-54	Other two methods	2	M	11
Albury (C)	45-54	Taxi	1	F	9
Albury (C)	45-54	Train and two other methods	3	F	3
Albury (C)	45-54	Truck	1	F	3
Albury (C)	45-54	Truck	1	M	30
Albury (C)	45-54	Walked only	1	F	69
Albury (C)	45-54	Walked only	1	M	66
Albury (C)	45-54	Worked at home		F	111
Albury (C)	45-54	Worked at home		M	56
Albury (C)	55-64	Bicycle	1	F	6
Albury (C)	55-64	Bicycle	1	M	29
Albury (C)	55-64	Bus	1	F	8
Albury (C)	55-64	Bus	1	M	3
Albury (C)	55-64	Car as driver	1	F	1662
Albury (C)	55-64	Car as driver	1	M	1541
Albury (C)	55-64	Car as passenger	1	F	72
Albury (C)	55-64	Car as passenger	1	M	30
Albury (C)	55-64	Did not go to work		F	243
Albury (C)	55-64	Did not go to work		M	147
Albury (C)	55-64	Method of travel not stated		F	25
Albury (C)	55-64	Method of travel not stated		M	18
Albury (C)	55-64	Motorbike scooter	1	M	12
Albury (C)	55-64	(Other)	1	F	6
Albury (C)	55-64	(Other)	1	M	12
Albury (C)	55-64	Other two methods	2	F	6
Albury (C)	55-64	Other two methods	2	M	6
Albury (C)	55-64	Taxi	1	M	4
Albury (C)	55-64	Truck	1	M	27
Albury (C)	55-64	Walked only	1	F	81
Albury (C)	55-64	Walked only	1	M	53
Albury (C)	55-64	Worked at home		F	115
Albury (C)	55-64	Worked at home		M	77
Albury (C)	65-74	Bicycle	1	F	3
Albury (C)	65-74	Bicycle	1	M	7
Albury (C)	65-74	Bus	1	F	3
Albury (C)	65-74	Bus	1	M	3
Albury (C)	65-74	Car as driver	1	F	254
Albury (C)	65-74	Car as driver	1	M	353
Albury (C)	65-74	Car as passenger	1	F	18
Albury (C)	65-74	Car as passenger	1	M	4
Albury (C)	65-74	Did not go to work		F	56
Albury (C)	65-74	Did not go to work		M	63
Albury (C)	65-74	Method of travel not stated		F	14
Albury (C)	65-74	Method of travel not stated		M	12
Albury (C)	65-74	Motorbike scooter	1	M	4
Albury (C)	65-74	(Other)	1	F	3
Albury (C)	65-74	(Other)	1	M	3
Albury (C)	65-74	Other two methods	2	M	3
Albury (C)	65-74	Truck	1	M	9
Albury (C)	65-74	Walked only	1	F	15
Albury (C)	65-74	Walked only	1	M	17
Albury (C)	65-74	Worked at home		F	38
Albury (C)	65-74	Worked at home		M	40
Albury (C)	75+	Car as driver	1	F	11
Albury (C)	75+	Car as driver	1	M	31
Albury (C)	75+	Did not go to work		F	9
Albury (C)	75+	Did not go to work		M	5
Albury (C)	75+	Method of travel not stated		F	4
Albury (C)	75+	Method of travel not stated		M	8
Albury (C)	75+	Worked at home		F	8
Albury (C)	75+	Worked at home		M	19
Armidale Regional (A)	15-24	Bicycle	1	M	11
Armidale Regional (A)	15-24	Bus	1	F	8
Armidale Regional (A)	15-24	Bus	1	M	4
Armidale Regional (A)	15-24	Car as driver	1	F	693
Armidale Regional (A)	15-24	Car as driver	1	M	607
Armidale Regional (A)	15-24	Car as passenger	1	F	142
Armidale Regional (A)	15-24	Car as passenger	1	M	154
Armidale Regional (A)	15-24	Did not go to work		F	245
Armidale Regional (A)	15-24	Did not go to work		M	138
Armidale Regional (A)	15-24	Method of travel not stated		F	14
Armidale Regional (A)	15-24	Method of travel not stated		M	14
Armidale Regional (A)	15-24	Motorbike scooter	1	F	4
Armidale Regional (A)	15-24	Motorbike scooter	1	M	12
Armidale Regional (A)	15-24	Other two methods	2	F	8
Armidale Regional (A)	15-24	Other two methods	2	M	13
Armidale Regional (A)	15-24	Taxi	1	F	8
Armidale Regional (A)	15-24	Taxi	1	M	3
Armidale Regional (A)	15-24	Truck	1	M	3
Armidale Regional (A)	15-24	Walked only	1	F	49
Armidale Regional (A)	15-24	Walked only	1	M	65
Armidale Regional (A)	15-24	Worked at home		F	14
Armidale Regional (A)	15-24	Worked at home		M	13
Armidale Regional (A)	25-34	Bicycle	1	F	4
Armidale Regional (A)	25-34	Bicycle	1	M	14
Armidale Regional (A)	25-34	Bus	1	M	3
Armidale Regional (A)	25-34	Car as driver	1	F	776
Armidale Regional (A)	25-34	Car as driver	1	M	878
Armidale Regional (A)	25-34	Car as passenger	1	F	94
Armidale Regional (A)	25-34	Car as passenger	1	M	75
Armidale Regional (A)	25-34	Did not go to work		F	169
Armidale Regional (A)	25-34	Did not go to work		M	75
Armidale Regional (A)	25-34	Method of travel not stated		F	7
Armidale Regional (A)	25-34	Method of travel not stated		M	12
Armidale Regional (A)	25-34	Motorbike scooter	1	M	16
Armidale Regional (A)	25-34	(Other)	1	F	6
Armidale Regional (A)	25-34	(Other)	1	M	5
Armidale Regional (A)	25-34	Other two methods	2	F	11
Armidale Regional (A)	25-34	Other two methods	2	M	12
Armidale Regional (A)	25-34	Taxi	1	F	3
Armidale Regional (A)	25-34	Taxi	1	M	3
Armidale Regional (A)	25-34	Train	1	M	3
Armidale Regional (A)	25-34	Truck	1	M	9
Armidale Regional (A)	25-34	Walked only	1	F	66
Armidale Regional (A)	25-34	Walked only	1	M	67
Armidale Regional (A)	25-34	Worked at home		F	34
Armidale Regional (A)	25-34	Worked at home		M	25
Armidale Regional (A)	35-44	Bicycle	1	F	3
Armidale Regional (A)	35-44	Bicycle	1	M	21
Armidale Regional (A)	35-44	Bus	1	F	3
Armidale Regional (A)	35-44	Bus	1	M	6
Armidale Regional (A)	35-44	Car as driver	1	F	890
Armidale Regional (A)	35-44	Car as driver	1	M	829
Armidale Regional (A)	35-44	Car as passenger	1	F	70
Armidale Regional (A)	35-44	Car as passenger	1	M	48
Armidale Regional (A)	35-44	Did not go to work		F	112
Armidale Regional (A)	35-44	Did not go to work		M	55
Armidale Regional (A)	35-44	Method of travel not stated		F	17
Armidale Regional (A)	35-44	Method of travel not stated		M	13
Armidale Regional (A)	35-44	Motorbike scooter	1	M	14
Armidale Regional (A)	35-44	(Other)	1	F	11
Armidale Regional (A)	35-44	(Other)	1	M	12
Armidale Regional (A)	35-44	Other two methods	2	F	5
Armidale Regional (A)	35-44	Other two methods	2	M	7
Armidale Regional (A)	35-44	Taxi	1	F	9
Armidale Regional (A)	35-44	Taxi	1	M	7
Armidale Regional (A)	35-44	Truck	1	M	15
Armidale Regional (A)	35-44	Walked only	1	F	49
Armidale Regional (A)	35-44	Walked only	1	M	60
Armidale Regional (A)	35-44	Worked at home		F	91
Armidale Regional (A)	35-44	Worked at home		M	62
Armidale Regional (A)	45-54	Bicycle	1	F	6
