STE_NAME16	Age	EmploymentStatus	HoursWorked.min	workers
New South Wales	15-19			501
New South Wales	15-19		0	103
New South Wales	15-19		1	710
New South Wales	15-19		16	183
New South Wales	15-19		25	123
New South Wales	15-19		35	173
New South Wales	15-19		40	148
New South Wales	15-19		41	35
New South Wales	15-19		49	51
New South Wales	15-19	Contributing family workers		189
New South Wales	15-19	Contributing family workers	0	88
New South Wales	15-19	Contributing family workers	1	754
New South Wales	15-19	Contributing family workers	16	124
New South Wales	15-19	Contributing family workers	25	68
New South Wales	15-19	Contributing family workers	35	24
New South Wales	15-19	Contributing family workers	40	37
New South Wales	15-19	Contributing family workers	41	3
New South Wales	15-19	Contributing family workers	49	32
New South Wales	15-19	Employee		4121
New South Wales	15-19	Employee	0	6144
New South Wales	15-19	Employee	1	80166
New South Wales	15-19	Employee	16	19696
New South Wales	15-19	Employee	25	11532
New South Wales	15-19	Employee	35	14675
New South Wales	15-19	Employee	40	12112
New South Wales	15-19	Employee	41	4191
New South Wales	15-19	Employee	49	3292
New South Wales	15-19	Owner managers of incorporated enterprises		24
New South Wales	15-19	Owner managers of incorporated enterprises	0	28
New South Wales	15-19	Owner managers of incorporated enterprises	1	162
New South Wales	15-19	Owner managers of incorporated enterprises	16	59
New South Wales	15-19	Owner managers of incorporated enterprises	25	42
New South Wales	15-19	Owner managers of incorporated enterprises	35	43
New South Wales	15-19	Owner managers of incorporated enterprises	40	39
New South Wales	15-19	Owner managers of incorporated enterprises	41	20
New South Wales	15-19	Owner managers of incorporated enterprises	49	53
New South Wales	15-19	Owner managers of unincorporated enterprises		39
New South Wales	15-19	Owner managers of unincorporated enterprises	0	49
New South Wales	15-19	Owner managers of unincorporated enterprises	1	945
New South Wales	15-19	Owner managers of unincorporated enterprises	16	126
New South Wales	15-19	Owner managers of unincorporated enterprises	25	100
New South Wales	15-19	Owner managers of unincorporated enterprises	35	57
New South Wales	15-19	Owner managers of unincorporated enterprises	40	77
New South Wales	15-19	Owner managers of unincorporated enterprises	41	33
New South Wales	15-19	Owner managers of unincorporated enterprises	49	92
New South Wales	20-24			752
New South Wales	20-24		0	157
New South Wales	20-24		1	351
New South Wales	20-24		16	355
New South Wales	20-24		25	294
New South Wales	20-24		35	404
New South Wales	20-24		40	371
New South Wales	20-24		41	119
New South Wales	20-24		49	157
New South Wales	20-24	Contributing family workers		133
New South Wales	20-24	Contributing family workers	0	72
New South Wales	20-24	Contributing family workers	1	518
New South Wales	20-24	Contributing family workers	16	227
New South Wales	20-24	Contributing family workers	25	122
New South Wales	20-24	Contributing family workers	35	70
New South Wales	20-24	Contributing family workers	40	109
New South Wales	20-24	Contributing family workers	41	42
New South Wales	20-24	Contributing family workers	49	140
New South Wales	20-24	Employee		7570
New South Wales	20-24	Employee	0	7950
New South Wales	20-24	Employee	1	49308
New South Wales	20-24	Employee	16	45227
New South Wales	20-24	Employee	25	33315
New South Wales	20-24	Employee	35	58077
New South Wales	20-24	Employee	40	52147
New South Wales	20-24	Employee	41	22086
New South Wales	20-24	Employee	49	20100
New South Wales	20-24	Owner managers of incorporated enterprises		88
New South Wales	20-24	Owner managers of incorporated enterprises	0	63
New South Wales	20-24	Owner managers of incorporated enterprises	1	255
New South Wales	20-24	Owner managers of incorporated enterprises	16	238
New South Wales	20-24	Owner managers of incorporated enterprises	25	251
New South Wales	20-24	Owner managers of incorporated enterprises	35	310
New South Wales	20-24	Owner managers of incorporated enterprises	40	547
New South Wales	20-24	Owner managers of incorporated enterprises	41	216
New South Wales	20-24	Owner managers of incorporated enterprises	49	675
New South Wales	20-24	Owner managers of unincorporated enterprises		193
New South Wales	20-24	Owner managers of unincorporated enterprises	0	206
New South Wales	20-24	Owner managers of unincorporated enterprises	1	1693
New South Wales	20-24	Owner managers of unincorporated enterprises	16	905
New South Wales	20-24	Owner managers of unincorporated enterprises	25	892
New South Wales	20-24	Owner managers of unincorporated enterprises	35	679
New South Wales	20-24	Owner managers of unincorporated enterprises	40	1140
New South Wales	20-24	Owner managers of unincorporated enterprises	41	511
New South Wales	20-24	Owner managers of unincorporated enterprises	49	1089
New South Wales	25-29			692
New South Wales	25-29		0	147
New South Wales	25-29		1	196
New South Wales	25-29		16	271
New South Wales	25-29		25	271
New South Wales	25-29		35	461
New South Wales	25-29		40	495
New South Wales	25-29		41	168
New South Wales	25-29		49	290
New South Wales	25-29	Contributing family workers		137
New South Wales	25-29	Contributing family workers	0	93
New South Wales	25-29	Contributing family workers	1	556
New South Wales	25-29	Contributing family workers	16	280
New South Wales	25-29	Contributing family workers	25	212
New South Wales	25-29	Contributing family workers	35	127
New South Wales	25-29	Contributing family workers	40	189
New South Wales	25-29	Contributing family workers	41	61
New South Wales	25-29	Contributing family workers	49	265
New South Wales	25-29	Employee		6853
New South Wales	25-29	Employee	0	11064
New South Wales	25-29	Employee	1	20922
New South Wales	25-29	Employee	16	33433
New South Wales	25-29	Employee	25	28335
New South Wales	25-29	Employee	35	81440
New South Wales	25-29	Employee	40	83275
New South Wales	25-29	Employee	41	38271
New South Wales	25-29	Employee	49	43404
New South Wales	25-29	Owner managers of incorporated enterprises		236
New South Wales	25-29	Owner managers of incorporated enterprises	0	206
New South Wales	25-29	Owner managers of incorporated enterprises	1	518
New South Wales	25-29	Owner managers of incorporated enterprises	16	604
New South Wales	25-29	Owner managers of incorporated enterprises	25	767
New South Wales	25-29	Owner managers of incorporated enterprises	35	1220
New South Wales	25-29	Owner managers of incorporated enterprises	40	2434
New South Wales	25-29	Owner managers of incorporated enterprises	41	907
New South Wales	25-29	Owner managers of incorporated enterprises	49	3215
New South Wales	25-29	Owner managers of unincorporated enterprises		373
New South Wales	25-29	Owner managers of unincorporated enterprises	0	412
New South Wales	25-29	Owner managers of unincorporated enterprises	1	2023
New South Wales	25-29	Owner managers of unincorporated enterprises	16	1834
New South Wales	25-29	Owner managers of unincorporated enterprises	25	2061
New South Wales	25-29	Owner managers of unincorporated enterprises	35	1632
New South Wales	25-29	Owner managers of unincorporated enterprises	40	3133
New South Wales	25-29	Owner managers of unincorporated enterprises	41	1277
New South Wales	25-29	Owner managers of unincorporated enterprises	49	3193
New South Wales	30-34			701
New South Wales	30-34		0	223
New South Wales	30-34		1	185
New South Wales	30-34		16	232
New South Wales	30-34		25	253
New South Wales	30-34		35	395
New South Wales	30-34		40	441
New South Wales	30-34		41	153
New South Wales	30-34		49	348
New South Wales	30-34	Contributing family workers		189
New South Wales	30-34	Contributing family workers	0	122
New South Wales	30-34	Contributing family workers	1	979
New South Wales	30-34	Contributing family workers	16	440
New South Wales	30-34	Contributing family workers	25	315
New South Wales	30-34	Contributing family workers	35	201
New South Wales	30-34	Contributing family workers	40	339
New South Wales	30-34	Contributing family workers	41	88
New South Wales	30-34	Contributing family workers	49	561
New South Wales	30-34	Employee		5894
New South Wales	30-34	Employee	0	16013
New South Wales	30-34	Employee	1	18852
New South Wales	30-34	Employee	16	31952
