STE_NAME16	Age	EmploymentStatus	Sex	workers
New South Wales	15-19		F	963
New South Wales	15-19		M	1061
New South Wales	15-19	Contributing family workers	F	516
New South Wales	15-19	Contributing family workers	M	807
New South Wales	15-19	Employee	F	81246
New South Wales	15-19	Employee	M	74680
New South Wales	15-19	Owner managers of incorporated enterprises	F	182
New South Wales	15-19	Owner managers of incorporated enterprises	M	284
New South Wales	15-19	Owner managers of unincorporated enterprises	F	686
New South Wales	15-19	Owner managers of unincorporated enterprises	M	842
New South Wales	20-24		F	1280
New South Wales	20-24		M	1687
New South Wales	20-24	Contributing family workers	F	544
New South Wales	20-24	Contributing family workers	M	881
New South Wales	20-24	Employee	F	145989
New South Wales	20-24	Employee	M	149783
New South Wales	20-24	Owner managers of incorporated enterprises	F	649
New South Wales	20-24	Owner managers of incorporated enterprises	M	1996
New South Wales	20-24	Owner managers of unincorporated enterprises	F	2619
New South Wales	20-24	Owner managers of unincorporated enterprises	M	4685
New South Wales	25-29		F	1199
New South Wales	25-29		M	1798
New South Wales	25-29	Contributing family workers	F	1023
New South Wales	25-29	Contributing family workers	M	903
New South Wales	25-29	Employee	F	171103
New South Wales	25-29	Employee	M	175896
New South Wales	25-29	Owner managers of incorporated enterprises	F	2355
New South Wales	25-29	Owner managers of incorporated enterprises	M	7758
New South Wales	25-29	Owner managers of unincorporated enterprises	F	5684
New South Wales	25-29	Owner managers of unincorporated enterprises	M	10251
New South Wales	30-34		F	1196
New South Wales	30-34		M	1736
New South Wales	30-34	Contributing family workers	F	1924
New South Wales	30-34	Contributing family workers	M	1320
New South Wales	30-34	Employee	F	166983
New South Wales	30-34	Employee	M	180566
New South Wales	30-34	Owner managers of incorporated enterprises	F	5300
New South Wales	30-34	Owner managers of incorporated enterprises	M	15059
New South Wales	30-34	Owner managers of unincorporated enterprises	F	9186
New South Wales	30-34	Owner managers of unincorporated enterprises	M	14310
New South Wales	35-39		F	1186
New South Wales	35-39		M	1762
New South Wales	35-39	Contributing family workers	F	2370
New South Wales	35-39	Contributing family workers	M	1498
New South Wales	35-39	Employee	F	148043
New South Wales	35-39	Employee	M	160852
New South Wales	35-39	Owner managers of incorporated enterprises	F	7613
New South Wales	35-39	Owner managers of incorporated enterprises	M	19440
New South Wales	35-39	Owner managers of unincorporated enterprises	F	11565
New South Wales	35-39	Owner managers of unincorporated enterprises	M	16450
New South Wales	40-44		F	1333
New South Wales	40-44		M	1971
New South Wales	40-44	Contributing family workers	F	2771
New South Wales	40-44	Contributing family workers	M	1927
New South Wales	40-44	Employee	F	151939
New South Wales	40-44	Employee	M	150681
New South Wales	40-44	Owner managers of incorporated enterprises	F	10033
New South Wales	40-44	Owner managers of incorporated enterprises	M	23571
New South Wales	40-44	Owner managers of unincorporated enterprises	F	13534
New South Wales	40-44	Owner managers of unincorporated enterprises	M	19462
New South Wales	45-49		F	1471
New South Wales	45-49		M	1994
New South Wales	45-49	Contributing family workers	F	2727
