STE_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
New South Wales	15-24	Bicycle	1	F	568
New South Wales	15-24	Bicycle	1	M	1765
New South Wales	15-24	Bus	1	F	13539
New South Wales	15-24	Bus	1	M	9707
New South Wales	15-24	Bus and car as driver	2	F	425
New South Wales	15-24	Bus and car as driver	2	M	369
New South Wales	15-24	Bus and car as passenger	2	F	1003
New South Wales	15-24	Bus and car as passenger	2	M	561
New South Wales	15-24	Bus and ferry	2	F	53
New South Wales	15-24	Bus and ferry	2	M	41
New South Wales	15-24	Bus and other	2	F	109
New South Wales	15-24	Bus and other	2	M	115
New South Wales	15-24	Bus and tram includes light rail	2	F	49
New South Wales	15-24	Bus and tram includes light rail	2	M	30
New South Wales	15-24	Bus and two other methods excludes train	3	F	108
New South Wales	15-24	Bus and two other methods excludes train	3	M	90
New South Wales	15-24	Car as driver	1	F	102457
New South Wales	15-24	Car as driver	1	M	116601
New South Wales	15-24	Car as passenger	1	F	26764
New South Wales	15-24	Car as passenger	1	M	27660
New South Wales	15-24	Did not go to work		F	38993
New South Wales	15-24	Did not go to work		M	27005
New South Wales	15-24	Ferry	1	F	193
New South Wales	15-24	Ferry	1	M	217
New South Wales	15-24	Method of travel not stated		F	3042
New South Wales	15-24	Method of travel not stated		M	3664
New South Wales	15-24	Motorbike scooter	1	F	315
New South Wales	15-24	Motorbike scooter	1	M	2344
New South Wales	15-24	(Other)	1	F	599
New South Wales	15-24	(Other)	1	M	1423
New South Wales	15-24	Other three methods	3	F	31
New South Wales	15-24	Other three methods	3	M	62
New South Wales	15-24	Other two methods	2	F	1100
New South Wales	15-24	Other two methods	2	M	2009
New South Wales	15-24	Taxi	1	F	333
New South Wales	15-24	Taxi	1	M	252
New South Wales	15-24	Train	1	F	19006
New South Wales	15-24	Train	1	M	17274
New South Wales	15-24	Train and bus	2	F	5724
New South Wales	15-24	Train and bus	2	M	5206
New South Wales	15-24	Train and car as driver	2	F	1981
New South Wales	15-24	Train and car as driver	2	M	1990
New South Wales	15-24	Train and car as passenger	2	F	1267
New South Wales	15-24	Train and car as passenger	2	M	939
New South Wales	15-24	Train and ferry	2	F	71
New South Wales	15-24	Train and ferry	2	M	62
New South Wales	15-24	Train and other	2	F	113
New South Wales	15-24	Train and other	2	M	239
New South Wales	15-24	Train and tram includes light rail	2	F	137
New South Wales	15-24	Train and tram includes light rail	2	M	112
New South Wales	15-24	Train and two other methods	3	F	1523
New South Wales	15-24	Train and two other methods	3	M	1443
New South Wales	15-24	Tram includes light rail	1	F	193
New South Wales	15-24	Tram includes light rail	1	M	157
New South Wales	15-24	Truck	1	F	25
New South Wales	15-24	Truck	1	M	1758
New South Wales	15-24	Walked only	1	F	12588
New South Wales	15-24	Walked only	1	M	11398
New South Wales	15-24	Worked at home		F	2391
New South Wales	15-24	Worked at home		M	2205
New South Wales	25-34	Bicycle	1	F	1599
New South Wales	25-34	Bicycle	1	M	4513
New South Wales	25-34	Bus	1	F	23419
New South Wales	25-34	Bus	1	M	18727
New South Wales	25-34	Bus and car as driver	2	F	612
New South Wales	25-34	Bus and car as driver	2	M	698
New South Wales	25-34	Bus and car as passenger	2	F	550
New South Wales	25-34	Bus and car as passenger	2	M	273
New South Wales	25-34	Bus and ferry	2	F	185
New South Wales	25-34	Bus and ferry	2	M	174
New South Wales	25-34	Bus and other	2	F	241
New South Wales	25-34	Bus and other	2	M	296
New South Wales	25-34	Bus and tram includes light rail	2	F	91
New South Wales	25-34	Bus and tram includes light rail	2	M	70
New South Wales	25-34	Bus and two other methods excludes train	3	F	158
New South Wales	25-34	Bus and two other methods excludes train	3	M	173
New South Wales	25-34	Car as driver	1	F	173056
New South Wales	25-34	Car as driver	1	M	236706
New South Wales	25-34	Car as passenger	1	F	14813
New South Wales	25-34	Car as passenger	1	M	13380
New South Wales	25-34	Did not go to work		F	42859
New South Wales	25-34	Did not go to work		M	19897
New South Wales	25-34	Ferry	1	F	1153
New South Wales	25-34	Ferry	1	M	1274
New South Wales	25-34	Method of travel not stated		F	2916
New South Wales	25-34	Method of travel not stated		M	4002
New South Wales	25-34	Motorbike scooter	1	F	703
New South Wales	25-34	Motorbike scooter	1	M	4789
New South Wales	25-34	(Other)	1	F	1268
New South Wales	25-34	(Other)	1	M	2388
New South Wales	25-34	Other three methods	3	F	45
New South Wales	25-34	Other three methods	3	M	147
New South Wales	25-34	Other two methods	2	F	1453
New South Wales	25-34	Other two methods	2	M	3117
New South Wales	25-34	Taxi	1	F	738
New South Wales	25-34	Taxi	1	M	906
New South Wales	25-34	Train	1	F	47100
New South Wales	25-34	Train	1	M	48023
New South Wales	25-34	Train and bus	2	F	11301
New South Wales	25-34	Train and bus	2	M	9826
New South Wales	25-34	Train and car as driver	2	F	3801
New South Wales	25-34	Train and car as driver	2	M	4961
New South Wales	25-34	Train and car as passenger	2	F	2037
New South Wales	25-34	Train and car as passenger	2	M	995
New South Wales	25-34	Train and ferry	2	F	320
New South Wales	25-34	Train and ferry	2	M	290
New South Wales	25-34	Train and other	2	F	375
New South Wales	25-34	Train and other	2	M	682
New South Wales	25-34	Train and tram includes light rail	2	F	279
New South Wales	25-34	Train and tram includes light rail	2	M	318
New South Wales	25-34	Train and two other methods	3	F	2286
New South Wales	25-34	Train and two other methods	3	M	2326
New South Wales	25-34	Tram includes light rail	1	F	473
New South Wales	25-34	Tram includes light rail	1	M	418
New South Wales	25-34	Truck	1	F	92
New South Wales	25-34	Truck	1	M	5119
New South Wales	25-34	Walked only	1	F	18602
New South Wales	25-34	Walked only	1	M	18293
New South Wales	25-34	Worked at home		F	13423
New South Wales	25-34	Worked at home		M	6816
New South Wales	35-44	Bicycle	1	F	1300
New South Wales	35-44	Bicycle	1	M	5096
New South Wales	35-44	Bus	1	F	14924
New South Wales	35-44	Bus	1	M	15677
New South Wales	35-44	Bus and car as driver	2	F	796
New South Wales	35-44	Bus and car as driver	2	M	852
New South Wales	35-44	Bus and car as passenger	2	F	366
New South Wales	35-44	Bus and car as passenger	2	M	171
New South Wales	35-44	Bus and ferry	2	F	173
New South Wales	35-44	Bus and ferry	2	M	268
New South Wales	35-44	Bus and other	2	F	161
New South Wales	35-44	Bus and other	2	M	258
New South Wales	35-44	Bus and tram includes light rail	2	F	55
New South Wales	35-44	Bus and tram includes light rail	2	M	62
New South Wales	35-44	Bus and two other methods excludes train	3	F	120
New South Wales	35-44	Bus and two other methods excludes train	3	M	154
New South Wales	35-44	Car as driver	1	F	201296
New South Wales	35-44	Car as driver	1	M	250398
New South Wales	35-44	Car as passenger	1	F	11154
New South Wales	35-44	Car as passenger	1	M	8017
New South Wales	35-44	Did not go to work		F	36108
New South Wales	35-44	Did not go to work		M	18171
New South Wales	35-44	Ferry	1	F	984
New South Wales	35-44	Ferry	1	M	1448
New South Wales	35-44	Method of travel not stated		F	2621
New South Wales	35-44	Method of travel not stated		M	3300
New South Wales	35-44	Motorbike scooter	1	F	612
New South Wales	35-44	Motorbike scooter	1	M	4434
New South Wales	35-44	(Other)	1	F	1400
New South Wales	35-44	(Other)	1	M	2488
New South Wales	35-44	Other three methods	3	F	57
New South Wales	35-44	Other three methods	3	M	171
New South Wales	35-44	Other two methods	2	F	1426
New South Wales	35-44	Other two methods	2	M	2893
New South Wales	35-44	Taxi	1	F	624
New South Wales	35-44	Taxi	1	M	1039
New South Wales	35-44	Train	1	F	25806
New South Wales	35-44	Train	1	M	33555
New South Wales	35-44	Train and bus	2	F	5746
New South Wales	35-44	Train and bus	2	M	6956
New South Wales	35-44	Train and car as driver	2	F	3719
New South Wales	35-44	Train and car as driver	2	M	5369
New South Wales	35-44	Train and car as passenger	2	F	1181
New South Wales	35-44	Train and car as passenger	2	M	615
New South Wales	35-44	Train and ferry	2	F	157
