STE_NAME16	Age	LabourForceStatus	workers
New South Wales	15-19		4873
New South Wales	15-19	Employed (away from work)	6407
New South Wales	15-19	Employed (full-time)	35187
New South Wales	15-19	Employed (part-time)	114791
New South Wales	20-24		8731
New South Wales	20-24	Employed (away from work)	8447
New South Wales	20-24	Employed (full-time)	158984
New South Wales	20-24	Employed (part-time)	133946
New South Wales	25-29		8287
New South Wales	25-29	Employed (away from work)	11924
New South Wales	25-29	Employed (full-time)	265471
New South Wales	25-29	Employed (part-time)	92289
New South Wales	30-34		7662
New South Wales	30-34	Employed (away from work)	17435
New South Wales	30-34	Employed (full-time)	277866
New South Wales	30-34	Employed (part-time)	94617
New South Wales	35-39		6513
New South Wales	35-39	Employed (away from work)	12536
New South Wales	35-39	Employed (full-time)	254540
New South Wales	35-39	Employed (part-time)	97185
New South Wales	40-44		6121
New South Wales	40-44	Employed (away from work)	8395
New South Wales	40-44	Employed (full-time)	260032
New South Wales	40-44	Employed (part-time)	102671
New South Wales	45-49		6120
New South Wales	45-49	Employed (away from work)	7471
New South Wales	45-49	Employed (full-time)	253677
New South Wales	45-49	Employed (part-time)	98071
New South Wales	50-54		5740
New South Wales	50-54	Employed (away from work)	8701
New South Wales	50-54	Employed (full-time)	239478
New South Wales	50-54	Employed (part-time)	94427
New South Wales	55-59		4648
New South Wales	55-59	Employed (away from work)	10105
New South Wales	55-59	Employed (full-time)	198594
New South Wales	55-59	Employed (part-time)	89986
New South Wales	60-64		3361
New South Wales	60-64	Employed (away from work)	8162
New South Wales	60-64	Employed (full-time)	114122
New South Wales	60-64	Employed (part-time)	74640
New South Wales	65-69		1873
New South Wales	65-69	Employed (away from work)	4233
New South Wales	65-69	Employed (full-time)	42494
New South Wales	65-69	Employed (part-time)	44120
New South Wales	70-74		1071
New South Wales	70-74	Employed (away from work)	1594
New South Wales	70-74	Employed (full-time)	12190
New South Wales	70-74	Employed (part-time)	19488
New South Wales	75+		1564
New South Wales	75+	Employed (away from work)	1000
New South Wales	75+	Employed (full-time)	5918
New South Wales	75+	Employed (part-time)	10411
Victoria	15-19		3734
Victoria	15-19	Employed (away from work)	4267
Victoria	15-19	Employed (full-time)	19968
Victoria	15-19	Employed (part-time)	96596
Victoria	20-24		6919
Victoria	20-24	Employed (away from work)	6946
Victoria	20-24	Employed (full-time)	119320
Victoria	20-24	Employed (part-time)	122903
Victoria	25-29		6879
Victoria	25-29	Employed (away from work)	9802
Victoria	25-29	Employed (full-time)	220893
Victoria	25-29	Employed (part-time)	81277
Victoria	30-34		6051
Victoria	30-34	Employed (away from work)	15226
Victoria	30-34	Employed (full-time)	229606
Victoria	30-34	Employed (part-time)	80958
Victoria	35-39		5031
Victoria	35-39	Employed (away from work)	11211
Victoria	35-39	Employed (full-time)	201169
Victoria	35-39	Employed (part-time)	83751
Victoria	40-44		4883
Victoria	40-44	Employed (away from work)	7359
Victoria	40-44	Employed (full-time)	201084
Victoria	40-44	Employed (part-time)	89638
Victoria	45-49		4917
Victoria	45-49	Employed (away from work)	6731
Victoria	45-49	Employed (full-time)	203620
Victoria	45-49	Employed (part-time)	88375
Victoria	50-54		4496
Victoria	50-54	Employed (away from work)	7579
Victoria	50-54	Employed (full-time)	186186
Victoria	50-54	Employed (part-time)	79445
Victoria	55-59		3714
Victoria	55-59	Employed (away from work)	8349
Victoria	55-59	Employed (full-time)	151648
Victoria	55-59	Employed (part-time)	74846
Victoria	60-64		2693
Victoria	60-64	Employed (away from work)	7376
Victoria	60-64	Employed (full-time)	88701
Victoria	60-64	Employed (part-time)	62668
Victoria	65-69		1490
Victoria	65-69	Employed (away from work)	3769
Victoria	65-69	Employed (full-time)	31573
Victoria	65-69	Employed (part-time)	36405
Victoria	70-74		907
Victoria	70-74	Employed (away from work)	1385
Victoria	70-74	Employed (full-time)	8735
Victoria	70-74	Employed (part-time)	14977
Victoria	75+		1211
Victoria	75+	Employed (away from work)	857
Victoria	75+	Employed (full-time)	4334
Victoria	75+	Employed (part-time)	7906
