STE_NAME16	EmploymentStatus	IncomeTotPersonal.max	workers
New South Wales	Contributing family workers	0	9009
New South Wales	Contributing family workers	7875	3736
New South Wales	Contributing family workers	15750	5180
New South Wales	Contributing family workers	21000	5132
New South Wales	Contributing family workers	26250	4266
New South Wales	Contributing family workers	34125	4751
New South Wales	Contributing family workers	42000	3572
New South Wales	Contributing family workers	52500	3263
New South Wales	Contributing family workers	65625	2900
New South Wales	Contributing family workers	78750	1643
New South Wales	Contributing family workers	91875	1435
New South Wales	Contributing family workers	105000	857
New South Wales	Contributing family workers	157500	1236
New South Wales	Contributing family workers	Inf	1601
New South Wales	Employee	0	10032
New South Wales	Employee	7875	92049
New South Wales	Employee	15750	101179
New South Wales	Employee	21000	112108
New South Wales	Employee	26250	138685
New South Wales	Employee	34125	217935
New South Wales	Employee	42000	286948
New South Wales	Employee	52500	349190
New South Wales	Employee	65625	368511
New South Wales	Employee	78750	262770
New South Wales	Employee	91875	224377
New South Wales	Employee	105000	168699
New South Wales	Employee	157500	258327
New South Wales	Employee	Inf	142558
New South Wales	Owner managers of incorporated enterprises	0	1681
New South Wales	Owner managers of incorporated enterprises	7875	1667
New South Wales	Owner managers of incorporated enterprises	15750	3887
New South Wales	Owner managers of incorporated enterprises	21000	6949
New South Wales	Owner managers of incorporated enterprises	26250	8252
New South Wales	Owner managers of incorporated enterprises	34125	15485
New South Wales	Owner managers of incorporated enterprises	42000	19489
New South Wales	Owner managers of incorporated enterprises	52500	24581
New South Wales	Owner managers of incorporated enterprises	65625	30046
New South Wales	Owner managers of incorporated enterprises	78750	22647
New South Wales	Owner managers of incorporated enterprises	91875	24002
New South Wales	Owner managers of incorporated enterprises	105000	14458
New South Wales	Owner managers of incorporated enterprises	157500	25113
New South Wales	Owner managers of incorporated enterprises	Inf	32865
New South Wales	Owner managers of unincorporated enterprises	0	2953
New South Wales	Owner managers of unincorporated enterprises	7875	7231
New South Wales	Owner managers of unincorporated enterprises	15750	14685
New South Wales	Owner managers of unincorporated enterprises	21000	18421
New South Wales	Owner managers of unincorporated enterprises	26250	21335
New South Wales	Owner managers of unincorporated enterprises	34125	30109
New South Wales	Owner managers of unincorporated enterprises	42000	29633
New South Wales	Owner managers of unincorporated enterprises	52500	31605
New South Wales	Owner managers of unincorporated enterprises	65625	31146
New South Wales	Owner managers of unincorporated enterprises	78750	20358
New South Wales	Owner managers of unincorporated enterprises	91875	15718
New South Wales	Owner managers of unincorporated enterprises	105000	9600
New South Wales	Owner managers of unincorporated enterprises	157500	13345
New South Wales	Owner managers of unincorporated enterprises	Inf	15502
New South Wales	Status in employment not stated	0	707
New South Wales	Status in employment not stated	7875	1386
New South Wales	Status in employment not stated	15750	1965
New South Wales	Status in employment not stated	21000	2456
New South Wales	Status in employment not stated	26250	2786
New South Wales	Status in employment not stated	34125	3506
New South Wales	Status in employment not stated	42000	3716
New South Wales	Status in employment not stated	52500	3900
New South Wales	Status in employment not stated	65625	3422
New South Wales	Status in employment not stated	78750	1996
New South Wales	Status in employment not stated	91875	1551
New South Wales	Status in employment not stated	105000	996
New South Wales	Status in employment not stated	157500	1270
New South Wales	Status in employment not stated	Inf	1114
Victoria	Contributing family workers	0	8075
Victoria	Contributing family workers	7875	3342
Victoria	Contributing family workers	15750	4362
Victoria	Contributing family workers	21000	4232
Victoria	Contributing family workers	26250	3498
