STE_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
New South Wales		Contributing family workers	F	1829
New South Wales		Contributing family workers	M	1779
New South Wales		Employee	F	97481
New South Wales		Employee	M	110531
New South Wales		Owner managers of incorporated enterprises	F	4556
New South Wales		Owner managers of incorporated enterprises	M	11582
New South Wales		Owner managers of unincorporated enterprises	F	7314
New South Wales		Owner managers of unincorporated enterprises	M	12869
New South Wales		Status in employment not stated	F	2054
New South Wales		Status in employment not stated	M	2806
New South Wales	AUS	Contributing family workers	F	16760
New South Wales	AUS	Contributing family workers	M	17048
New South Wales	AUS	Employee	F	934354
New South Wales	AUS	Employee	M	900804
New South Wales	AUS	Owner managers of incorporated enterprises	F	40987
New South Wales	AUS	Owner managers of incorporated enterprises	M	105640
New South Wales	AUS	Owner managers of unincorporated enterprises	F	64720
New South Wales	AUS	Owner managers of unincorporated enterprises	M	112166
New South Wales	AUS	Status in employment not stated	F	9056
New South Wales	AUS	Status in employment not stated	M	12434
New South Wales	CAN	Contributing family workers	F	57
New South Wales	CAN	Contributing family workers	M	54
New South Wales	CAN	Employee	F	3951
New South Wales	CAN	Employee	M	3389
New South Wales	CAN	Owner managers of incorporated enterprises	F	235
New South Wales	CAN	Owner managers of incorporated enterprises	M	464
New South Wales	CAN	Owner managers of unincorporated enterprises	F	309
New South Wales	CAN	Owner managers of unincorporated enterprises	M	338
New South Wales	CAN	Status in employment not stated	F	25
New South Wales	CAN	Status in employment not stated	M	16
New South Wales	CHN	Contributing family workers	F	1380
New South Wales	CHN	Contributing family workers	M	1383
New South Wales	CHN	Employee	F	45884
New South Wales	CHN	Employee	M	38175
New South Wales	CHN	Owner managers of incorporated enterprises	F	4384
New South Wales	CHN	Owner managers of incorporated enterprises	M	7706
New South Wales	CHN	Owner managers of unincorporated enterprises	F	3737
New South Wales	CHN	Owner managers of unincorporated enterprises	M	5742
New South Wales	CHN	Status in employment not stated	F	334
New South Wales	CHN	Status in employment not stated	M	368
New South Wales	HRV	Contributing family workers	F	28
New South Wales	HRV	Contributing family workers	M	45
New South Wales	HRV	Employee	F	2171
New South Wales	HRV	Employee	M	2158
New South Wales	HRV	Owner managers of incorporated enterprises	F	123
New South Wales	HRV	Owner managers of incorporated enterprises	M	411
New South Wales	HRV	Owner managers of unincorporated enterprises	F	150
New South Wales	HRV	Owner managers of unincorporated enterprises	M	346
New South Wales	HRV	Status in employment not stated	F	33
New South Wales	HRV	Status in employment not stated	M	38
New South Wales	EGY	Contributing family workers	F	37
New South Wales	EGY	Contributing family workers	M	74
New South Wales	EGY	Employee	F	2557
New South Wales	EGY	Employee	M	3478
New South Wales	EGY	Owner managers of incorporated enterprises	F	293
New South Wales	EGY	Owner managers of incorporated enterprises	M	920
New South Wales	EGY	Owner managers of unincorporated enterprises	F	228
New South Wales	EGY	Owner managers of unincorporated enterprises	M	587
New South Wales	EGY	Status in employment not stated	F	35
New South Wales	EGY	Status in employment not stated	M	77
New South Wales	FJI	Contributing family workers	F	100
New South Wales	FJI	Contributing family workers	M	98
New South Wales	FJI	Employee	F	10018
New South Wales	FJI	Employee	M	9131
New South Wales	FJI	Owner managers of incorporated enterprises	F	221
New South Wales	FJI	Owner managers of incorporated enterprises	M	854
New South Wales	FJI	Owner managers of unincorporated enterprises	F	210
New South Wales	FJI	Owner managers of unincorporated enterprises	M	559
New South Wales	FJI	Status in employment not stated	F	126
New South Wales	FJI	Status in employment not stated	M	128
New South Wales	MKD	Contributing family workers	F	30
New South Wales	MKD	Contributing family workers	M	53
New South Wales	MKD	Employee	F	2891
New South Wales	MKD	Employee	M	2973
New South Wales	MKD	Owner managers of incorporated enterprises	F	129
New South Wales	MKD	Owner managers of incorporated enterprises	M	485
New South Wales	MKD	Owner managers of unincorporated enterprises	F	118
New South Wales	MKD	Owner managers of unincorporated enterprises	M	334
New South Wales	MKD	Status in employment not stated	F	37
New South Wales	MKD	Status in employment not stated	M	40
New South Wales	DEU	Contributing family workers	F	130
New South Wales	DEU	Contributing family workers	M	134
New South Wales	DEU	Employee	F	4977
New South Wales	DEU	Employee	M	4526
New South Wales	DEU	Owner managers of incorporated enterprises	F	354
New South Wales	DEU	Owner managers of incorporated enterprises	M	678
New South Wales	DEU	Owner managers of unincorporated enterprises	F	586
New South Wales	DEU	Owner managers of unincorporated enterprises	M	740
New South Wales	DEU	Status in employment not stated	F	40
New South Wales	DEU	Status in employment not stated	M	52
New South Wales	GRC	Contributing family workers	F	60
New South Wales	GRC	Contributing family workers	M	105
New South Wales	GRC	Employee	F	2056
New South Wales	GRC	Employee	M	2445
New South Wales	GRC	Owner managers of incorporated enterprises	F	166
New South Wales	GRC	Owner managers of incorporated enterprises	M	673
New South Wales	GRC	Owner managers of unincorporated enterprises	F	257
New South Wales	GRC	Owner managers of unincorporated enterprises	M	703
New South Wales	GRC	Status in employment not stated	F	42
New South Wales	GRC	Status in employment not stated	M	85
New South Wales	HKG	Contributing family workers	F	119
New South Wales	HKG	Contributing family workers	M	122
New South Wales	HKG	Employee	F	10662
New South Wales	HKG	Employee	M	10382
New South Wales	HKG	Owner managers of incorporated enterprises	F	534
New South Wales	HKG	Owner managers of incorporated enterprises	M	1244
New South Wales	HKG	Owner managers of unincorporated enterprises	F	673
New South Wales	HKG	Owner managers of unincorporated enterprises	M	1073
New South Wales	HKG	Status in employment not stated	F	55
New South Wales	HKG	Status in employment not stated	M	70
New South Wales	IND	Contributing family workers	F	340
New South Wales	IND	Contributing family workers	M	419
New South Wales	IND	Employee	F	32963
New South Wales	IND	Employee	M	50117
New South Wales	IND	Owner managers of incorporated enterprises	F	1286
New South Wales	IND	Owner managers of incorporated enterprises	M	4003
New South Wales	IND	Owner managers of unincorporated enterprises	F	1007
New South Wales	IND	Owner managers of unincorporated enterprises	M	2645
New South Wales	IND	Status in employment not stated	F	221
New South Wales	IND	Status in employment not stated	M	404
New South Wales	IDN	Contributing family workers	F	92
New South Wales	IDN	Contributing family workers	M	74
New South Wales	IDN	Employee	F	9043
New South Wales	IDN	Employee	M	8652
New South Wales	IDN	Owner managers of incorporated enterprises	F	264
New South Wales	IDN	Owner managers of incorporated enterprises	M	505
New South Wales	IDN	Owner managers of unincorporated enterprises	F	371
New South Wales	IDN	Owner managers of unincorporated enterprises	M	609
New South Wales	IDN	Status in employment not stated	F	84
New South Wales	IDN	Status in employment not stated	M	65
New South Wales	IRN	Contributing family workers	F	63
New South Wales	IRN	Contributing family workers	M	93
New South Wales	IRN	Employee	F	4038
New South Wales	IRN	Employee	M	4937
New South Wales	IRN	Owner managers of incorporated enterprises	F	222
New South Wales	IRN	Owner managers of incorporated enterprises	M	889
New South Wales	IRN	Owner managers of unincorporated enterprises	F	260
New South Wales	IRN	Owner managers of unincorporated enterprises	M	769
New South Wales	IRN	Status in employment not stated	F	32
New South Wales	IRN	Status in employment not stated	M	78
New South Wales	IRQ	Contributing family workers	F	42
New South Wales	IRQ	Contributing family workers	M	78
New South Wales	IRQ	Employee	F	3190
New South Wales	IRQ	Employee	M	4975
New South Wales	IRQ	Owner managers of incorporated enterprises	F	241
New South Wales	IRQ	Owner managers of incorporated enterprises	M	1127
New South Wales	IRQ	Owner managers of unincorporated enterprises	F	380
New South Wales	IRQ	Owner managers of unincorporated enterprises	M	891
New South Wales	IRQ	Status in employment not stated	F	71
New South Wales	IRQ	Status in employment not stated	M	116
New South Wales	IRL	Contributing family workers	F	45
New South Wales	IRL	Contributing family workers	M	50
New South Wales	IRL	Employee	F	6386
New South Wales	IRL	Employee	M	7353
New South Wales	IRL	Owner managers of incorporated enterprises	F	273
New South Wales	IRL	Owner managers of incorporated enterprises	M	1270
New South Wales	IRL	Owner managers of unincorporated enterprises	F	315
New South Wales	IRL	Owner managers of unincorporated enterprises	M	671
New South Wales	IRL	Status in employment not stated	F	52
New South Wales	IRL	Status in employment not stated	M	76
New South Wales	ITA	Contributing family workers	F	171
New South Wales	ITA	Contributing family workers	M	277
New South Wales	ITA	Employee	F	4718
New South Wales	ITA	Employee	M	6613
New South Wales	ITA	Owner managers of incorporated enterprises	F	383
New South Wales	ITA	Owner managers of incorporated enterprises	M	1514
New South Wales	ITA	Owner managers of unincorporated enterprises	F	414
New South Wales	ITA	Owner managers of unincorporated enterprises	M	1352
New South Wales	ITA	Status in employment not stated	F	75
New South Wales	ITA	Status in employment not stated	M	154
New South Wales	JPN	Contributing family workers	F	72
New South Wales	JPN	Contributing family workers	M	35
New South Wales	JPN	Employee	F	4280
New South Wales	JPN	Employee	M	2285
New South Wales	JPN	Owner managers of incorporated enterprises	F	186
New South Wales	JPN	Owner managers of incorporated enterprises	M	312
New South Wales	JPN	Owner managers of unincorporated enterprises	F	442
New South Wales	JPN	Owner managers of unincorporated enterprises	M	225
New South Wales	JPN	Status in employment not stated	F	44
New South Wales	JPN	Status in employment not stated	M	26
New South Wales	LBN	Contributing family workers	F	198
New South Wales	LBN	Contributing family workers	M	311
New South Wales	LBN	Employee	F	5398
New South Wales	LBN	Employee	M	8051
New South Wales	LBN	Owner managers of incorporated enterprises	F	572
New South Wales	LBN	Owner managers of incorporated enterprises	M	3317
New South Wales	LBN	Owner managers of unincorporated enterprises	F	770
New South Wales	LBN	Owner managers of unincorporated enterprises	M	3099
New South Wales	LBN	Status in employment not stated	F	113
New South Wales	LBN	Status in employment not stated	M	355
New South Wales	MYS	Contributing family workers	F	91
New South Wales	MYS	Contributing family workers	M	86
New South Wales	MYS	Employee	F	8522
New South Wales	MYS	Employee	M	7488
New South Wales	MYS	Owner managers of incorporated enterprises	F	438
New South Wales	MYS	Owner managers of incorporated enterprises	M	944
New South Wales	MYS	Owner managers of unincorporated enterprises	F	517
New South Wales	MYS	Owner managers of unincorporated enterprises	M	699
New South Wales	MYS	Status in employment not stated	F	53
New South Wales	MYS	Status in employment not stated	M	60
New South Wales	MLT	Contributing family workers	F	54
New South Wales	MLT	Contributing family workers	M	66
New South Wales	MLT	Employee	F	1152
New South Wales	MLT	Employee	M	1483
New South Wales	MLT	Owner managers of incorporated enterprises	F	95
New South Wales	MLT	Owner managers of incorporated enterprises	M	259
New South Wales	MLT	Owner managers of unincorporated enterprises	F	140
New South Wales	MLT	Owner managers of unincorporated enterprises	M	328
New South Wales	MLT	Status in employment not stated	F	33
New South Wales	MLT	Status in employment not stated	M	54
New South Wales	NLD	Contributing family workers	F	75
New South Wales	NLD	Contributing family workers	M	94
New South Wales	NLD	Employee	F	2112
New South Wales	NLD	Employee	M	2348
New South Wales	NLD	Owner managers of incorporated enterprises	F	161
New South Wales	NLD	Owner managers of incorporated enterprises	M	433
New South Wales	NLD	Owner managers of unincorporated enterprises	F	280
New South Wales	NLD	Owner managers of unincorporated enterprises	M	447
New South Wales	NLD	Status in employment not stated	F	26
New South Wales	NLD	Status in employment not stated	M	37
New South Wales	NZL	Contributing family workers	F	419
New South Wales	NZL	Contributing family workers	M	373
New South Wales	NZL	Employee	F	29808
New South Wales	NZL	Employee	M	31988
New South Wales	NZL	Owner managers of incorporated enterprises	F	1433
New South Wales	NZL	Owner managers of incorporated enterprises	M	3592
New South Wales	NZL	Owner managers of unincorporated enterprises	F	2050
New South Wales	NZL	Owner managers of unincorporated enterprises	M	3282
New South Wales	NZL	Status in employment not stated	F	321
New South Wales	NZL	Status in employment not stated	M	429
New South Wales	PAK	Contributing family workers	F	48
New South Wales	PAK	Contributing family workers	M	62
New South Wales	PAK	Employee	F	2137
New South Wales	PAK	Employee	M	7581
New South Wales	PAK	Owner managers of incorporated enterprises	F	175
New South Wales	PAK	Owner managers of incorporated enterprises	M	735
New South Wales	PAK	Owner managers of unincorporated enterprises	F	233
New South Wales	PAK	Owner managers of unincorporated enterprises	M	1065
New South Wales	PAK	Status in employment not stated	F	43
New South Wales	PAK	Status in employment not stated	M	141
New South Wales	PHL	Contributing family workers	F	198
New South Wales	PHL	Contributing family workers	M	100
New South Wales	PHL	Employee	F	30888
New South Wales	PHL	Employee	M	22727
New South Wales	PHL	Owner managers of incorporated enterprises	F	450
