STE_NAME16	Age	EmploymentStatus	LabourForceStatus	Sex	workers
New South Wales	15-19			F	293
New South Wales	15-19			M	320
New South Wales	15-19		Employed (part-time)	F	118
New South Wales	15-19		Employed (part-time)	F	552
New South Wales	15-19		Employed (part-time)	M	284
New South Wales	15-19		Employed (part-time)	M	457
New South Wales	15-19	Contributing family workers		F	122
New South Wales	15-19	Contributing family workers		M	160
New South Wales	15-19	Contributing family workers	Employed (part-time)	F	28
New South Wales	15-19	Contributing family workers	Employed (part-time)	F	366
New South Wales	15-19	Contributing family workers	Employed (part-time)	M	70
New South Wales	15-19	Contributing family workers	Employed (part-time)	M	577
New South Wales	15-19	Employee		F	5408
New South Wales	15-19	Employee		M	4861
New South Wales	15-19	Employee	Employed (part-time)	F	10858
New South Wales	15-19	Employee	Employed (part-time)	F	64980
New South Wales	15-19	Employee	Employed (part-time)	M	23408
New South Wales	15-19	Employee	Employed (part-time)	M	46411
New South Wales	15-19	Owner managers of incorporated enterprises		F	20
New South Wales	15-19	Owner managers of incorporated enterprises		M	27
New South Wales	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	38
New South Wales	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	124
New South Wales	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	118
New South Wales	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	139
New South Wales	15-19	Owner managers of unincorporated enterprises		F	45
New South Wales	15-19	Owner managers of unincorporated enterprises		M	48
New South Wales	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	80
New South Wales	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	561
New South Wales	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	177
New South Wales	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	617
New South Wales	20-24			F	381
New South Wales	20-24			M	528
New South Wales	20-24		Employed (part-time)	F	379
New South Wales	20-24		Employed (part-time)	F	520
New South Wales	20-24		Employed (part-time)	M	677
New South Wales	20-24		Employed (part-time)	M	482
New South Wales	20-24	Contributing family workers		F	79
New South Wales	20-24	Contributing family workers		M	129
New South Wales	20-24	Contributing family workers	Employed (part-time)	F	110
New South Wales	20-24	Contributing family workers	Employed (part-time)	F	355
New South Wales	20-24	Contributing family workers	Employed (part-time)	M	243
New South Wales	20-24	Contributing family workers	Employed (part-time)	M	509
New South Wales	20-24	Employee		F	7933
New South Wales	20-24	Employee		M	7575
New South Wales	20-24	Employee	Employed (part-time)	F	66412
New South Wales	20-24	Employee	Employed (part-time)	F	71644
New South Wales	20-24	Employee	Employed (part-time)	M	86001
New South Wales	20-24	Employee	Employed (part-time)	M	56207
New South Wales	20-24	Owner managers of incorporated enterprises		F	44
New South Wales	20-24	Owner managers of incorporated enterprises		M	102
New South Wales	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	326
New South Wales	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	279
New South Wales	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	1428
New South Wales	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	466
New South Wales	20-24	Owner managers of unincorporated enterprises		F	140
New South Wales	20-24	Owner managers of unincorporated enterprises		M	260
New South Wales	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	945
New South Wales	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	1534
New South Wales	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	2473
New South Wales	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	1952
New South Wales	25-29			F	354
New South Wales	25-29			M	485
New South Wales	25-29		Employed (part-time)	F	480
New South Wales	25-29		Employed (part-time)	F	365
New South Wales	25-29		Employed (part-time)	M	940
New South Wales	25-29		Employed (part-time)	M	373
New South Wales	25-29	Contributing family workers		F	114
New South Wales	25-29	Contributing family workers		M	119
New South Wales	25-29	Contributing family workers	Employed (part-time)	F	241
New South Wales	25-29	Contributing family workers	Employed (part-time)	F	668
New South Wales	25-29	Contributing family workers	Employed (part-time)	M	398
New South Wales	25-29	Contributing family workers	Employed (part-time)	M	386
New South Wales	25-29	Employee		F	10611
New South Wales	25-29	Employee		M	7303
New South Wales	25-29	Employee	Employed (part-time)	F	110527
New South Wales	25-29	Employee	Employed (part-time)	F	49965
New South Wales	25-29	Employee	Employed (part-time)	M	135861
New South Wales	25-29	Employee	Employed (part-time)	M	32732
New South Wales	25-29	Owner managers of incorporated enterprises		F	130
New South Wales	25-29	Owner managers of incorporated enterprises		M	312
New South Wales	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	1399
New South Wales	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	826
New South Wales	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	6379
New South Wales	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	1067
New South Wales	25-29	Owner managers of unincorporated enterprises		F	315
New South Wales	25-29	Owner managers of unincorporated enterprises		M	470
New South Wales	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	2432
New South Wales	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	2937
New South Wales	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	6800
New South Wales	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	2981
New South Wales	30-34			F	436
New South Wales	30-34			M	490
New South Wales	30-34		Employed (part-time)	F	391
New South Wales	30-34		Employed (part-time)	F	369
New South Wales	30-34		Employed (part-time)	M	946
New South Wales	30-34		Employed (part-time)	M	300
New South Wales	30-34	Contributing family workers		F	175
New South Wales	30-34	Contributing family workers		M	133
New South Wales	30-34	Contributing family workers	Employed (part-time)	F	459
New South Wales	30-34	Contributing family workers	Employed (part-time)	F	1290
New South Wales	30-34	Contributing family workers	Employed (part-time)	M	739
New South Wales	30-34	Contributing family workers	Employed (part-time)	M	448
New South Wales	30-34	Employee		F	14810
New South Wales	30-34	Employee		M	7101
New South Wales	30-34	Employee	Employed (part-time)	F	94948
New South Wales	30-34	Employee	Employed (part-time)	F	57225
New South Wales	30-34	Employee	Employed (part-time)	M	151360
New South Wales	30-34	Employee	Employed (part-time)	M	22105
New South Wales	30-34	Owner managers of incorporated enterprises		F	301
New South Wales	30-34	Owner managers of incorporated enterprises		M	510
New South Wales	30-34	Owner managers of incorporated enterprises	Employed (part-time)	F	2822
New South Wales	30-34	Owner managers of incorporated enterprises	Employed (part-time)	F	2177
New South Wales	30-34	Owner managers of incorporated enterprises	Employed (part-time)	M	12880
New South Wales	30-34	Owner managers of incorporated enterprises	Employed (part-time)	M	1669
New South Wales	30-34	Owner managers of unincorporated enterprises		F	508
New South Wales	30-34	Owner managers of unincorporated enterprises		M	638
New South Wales	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	F	3390
New South Wales	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	F	5288
New South Wales	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	M	9927
New South Wales	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	M	3745
New South Wales	35-39			F	324
New South Wales	35-39			M	462
New South Wales	35-39		Employed (part-time)	F	407
New South Wales	35-39		Employed (part-time)	F	455
New South Wales	35-39		Employed (part-time)	M	1015
New South Wales	35-39		Employed (part-time)	M	285
New South Wales	35-39	Contributing family workers		F	207
New South Wales	35-39	Contributing family workers		M	131
New South Wales	35-39	Contributing family workers	Employed (part-time)	F	613
New South Wales	35-39	Contributing family workers	Employed (part-time)	F	1550
New South Wales	35-39	Contributing family workers	Employed (part-time)	M	893
New South Wales	35-39	Contributing family workers	Employed (part-time)	M	474
New South Wales	35-39	Employee		F	10067
New South Wales	35-39	Employee		M	5915
New South Wales	35-39	Employee	Employed (part-time)	F	77001
New South Wales	35-39	Employee	Employed (part-time)	F	60975
New South Wales	35-39	Employee	Employed (part-time)	M	138162
New South Wales	35-39	Employee	Employed (part-time)	M	16775
New South Wales	35-39	Owner managers of incorporated enterprises		F	256
New South Wales	35-39	Owner managers of incorporated enterprises		M	540
New South Wales	35-39	Owner managers of incorporated enterprises	Employed (part-time)	F	3970
New South Wales	35-39	Owner managers of incorporated enterprises	Employed (part-time)	F	3387
New South Wales	35-39	Owner managers of incorporated enterprises	Employed (part-time)	M	16861
New South Wales	35-39	Owner managers of incorporated enterprises	Employed (part-time)	M	2039
New South Wales	35-39	Owner managers of unincorporated enterprises		F	523
New South Wales	35-39	Owner managers of unincorporated enterprises		M	622
New South Wales	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	F	4034
New South Wales	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	F	7008
New South Wales	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	M	11594
New South Wales	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	M	4234
New South Wales	40-44			F	317
New South Wales	40-44			M	484
New South Wales	40-44		Employed (part-time)	F	520
New South Wales	40-44		Employed (part-time)	F	496
New South Wales	40-44		Employed (part-time)	M	1191
New South Wales	40-44		Employed (part-time)	M	296
New South Wales	40-44	Contributing family workers		F	239
New South Wales	40-44	Contributing family workers		M	151
New South Wales	40-44	Contributing family workers	Employed (part-time)	F	851
New South Wales	40-44	Contributing family workers	Employed (part-time)	F	1681
New South Wales	40-44	Contributing family workers	Employed (part-time)	M	1163
New South Wales	40-44	Contributing family workers	Employed (part-time)	M	613
New South Wales	40-44	Employee		F	5968
New South Wales	40-44	Employee		M	5196
New South Wales	40-44	Employee	Employed (part-time)	F	81126
New South Wales	40-44	Employee	Employed (part-time)	F	64845
New South Wales	40-44	Employee	Employed (part-time)	M	130230
New South Wales	40-44	Employee	Employed (part-time)	M	15255
New South Wales	40-44	Owner managers of incorporated enterprises		F	286
New South Wales	40-44	Owner managers of incorporated enterprises		M	632
New South Wales	40-44	Owner managers of incorporated enterprises	Employed (part-time)	F	5634
New South Wales	40-44	Owner managers of incorporated enterprises	Employed (part-time)	F	4113
New South Wales	40-44	Owner managers of incorporated enterprises	Employed (part-time)	M	20426
New South Wales	40-44	Owner managers of incorporated enterprises	Employed (part-time)	M	2513
New South Wales	40-44	Owner managers of unincorporated enterprises		F	493
New South Wales	40-44	Owner managers of unincorporated enterprises		M	745
New South Wales	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	F	5274
New South Wales	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	F	7767
New South Wales	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	M	13624
New South Wales	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	M	5093
New South Wales	45-49			F	306
New South Wales	45-49			M	469
New South Wales	45-49		Employed (part-time)	F	620
New South Wales	45-49		Employed (part-time)	F	545
New South Wales	45-49		Employed (part-time)	M	1200
New South Wales	45-49		Employed (part-time)	M	325
New South Wales	45-49	Contributing family workers		F	216
New South Wales	45-49	Contributing family workers		M	200
New South Wales	45-49	Contributing family workers	Employed (part-time)	F	993
New South Wales	45-49	Contributing family workers	Employed (part-time)	F	1518
New South Wales	45-49	Contributing family workers	Employed (part-time)	M	1351
New South Wales	45-49	Contributing family workers	Employed (part-time)	M	670
New South Wales	45-49	Employee		F	5136
New South Wales	45-49	Employee		M	5074
New South Wales	45-49	Employee	Employed (part-time)	F	83525
New South Wales	45-49	Employee	Employed (part-time)	F	60726
New South Wales	45-49	Employee	Employed (part-time)	M	118092
New South Wales	45-49	Employee	Employed (part-time)	M	14692
New South Wales	45-49	Owner managers of incorporated enterprises		F	282
New South Wales	45-49	Owner managers of incorporated enterprises		M	624
New South Wales	45-49	Owner managers of incorporated enterprises	Employed (part-time)	F	6343
New South Wales	45-49	Owner managers of incorporated enterprises	Employed (part-time)	F	3949
New South Wales	45-49	Owner managers of incorporated enterprises	Employed (part-time)	M	21147
New South Wales	45-49	Owner managers of incorporated enterprises	Employed (part-time)	M	2710
New South Wales	45-49	Owner managers of unincorporated enterprises		F	505
New South Wales	45-49	Owner managers of unincorporated enterprises		M	772
New South Wales	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	F	6055
New South Wales	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	F	7356
New South Wales	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	M	14357
New South Wales	45-49	Owner managers of unincorporated enterprises	Employed (part-time)	M	5575
New South Wales	50-54			F	328
New South Wales	50-54			M	457
New South Wales	50-54		Employed (part-time)	F	634
New South Wales	50-54		Employed (part-time)	F	529
New South Wales	50-54		Employed (part-time)	M	1228
New South Wales	50-54		Employed (part-time)	M	404
New South Wales	50-54	Contributing family workers		F	254
New South Wales	50-54	Contributing family workers		M	202
New South Wales	50-54	Contributing family workers	Employed (part-time)	F	1171
New South Wales	50-54	Contributing family workers	Employed (part-time)	F	1430
New South Wales	50-54	Contributing family workers	Employed (part-time)	M	1639
New South Wales	50-54	Contributing family workers	Employed (part-time)	M	767
New South Wales	50-54	Employee		F	5672
New South Wales	50-54	Employee		M	5223
New South Wales	50-54	Employee	Employed (part-time)	F	78289
New South Wales	50-54	Employee	Employed (part-time)	F	56624
New South Wales	50-54	Employee	Employed (part-time)	M	108406
New South Wales	50-54	Employee	Employed (part-time)	M	15368
New South Wales	50-54	Owner managers of incorporated enterprises		F	316
New South Wales	50-54	Owner managers of incorporated enterprises		M	651
New South Wales	50-54	Owner managers of incorporated enterprises	Employed (part-time)	F	6330
New South Wales	50-54	Owner managers of incorporated enterprises	Employed (part-time)	F	3495
New South Wales	50-54	Owner managers of incorporated enterprises	Employed (part-time)	M	20465
New South Wales	50-54	Owner managers of incorporated enterprises	Employed (part-time)	M	3042
New South Wales	50-54	Owner managers of unincorporated enterprises		F	487
New South Wales	50-54	Owner managers of unincorporated enterprises		M	862
New South Wales	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	F	6019
New South Wales	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	F	6440
New South Wales	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	M	15292
New South Wales	50-54	Owner managers of unincorporated enterprises	Employed (part-time)	M	6331
New South Wales	55-59			F	367
New South Wales	55-59			M	439
New South Wales	55-59		Employed (part-time)	F	568
New South Wales	55-59		Employed (part-time)	F	536
New South Wales	55-59		Employed (part-time)	M	1050
New South Wales	55-59		Employed (part-time)	M	344
New South Wales	55-59	Contributing family workers		F	257
New South Wales	55-59	Contributing family workers		M	251
New South Wales	55-59	Contributing family workers	Employed (part-time)	F	1033
New South Wales	55-59	Contributing family workers	Employed (part-time)	F	1483
New South Wales	55-59	Contributing family workers	Employed (part-time)	M	1735
New South Wales	55-59	Contributing family workers	Employed (part-time)	M	867
New South Wales	55-59	Employee		F	5786
New South Wales	55-59	Employee		M	5317
New South Wales	55-59	Employee	Employed (part-time)	F	63775
New South Wales	55-59	Employee	Employed (part-time)	F	51386
New South Wales	55-59	Employee	Employed (part-time)	M	90400
New South Wales	55-59	Employee	Employed (part-time)	M	16312
New South Wales	55-59	Owner managers of incorporated enterprises		F	310
New South Wales	55-59	Owner managers of incorporated enterprises		M	606
New South Wales	55-59	Owner managers of incorporated enterprises	Employed (part-time)	F	4657
New South Wales	55-59	Owner managers of incorporated enterprises	Employed (part-time)	F	3191
New South Wales	55-59	Owner managers of incorporated enterprises	Employed (part-time)	M	16569
New South Wales	55-59	Owner managers of incorporated enterprises	Employed (part-time)	M	3224
New South Wales	55-59	Owner managers of unincorporated enterprises		F	488
New South Wales	55-59	Owner managers of unincorporated enterprises		M	904
New South Wales	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	F	4881
New South Wales	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	F	5818
New South Wales	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	M	13941
New South Wales	55-59	Owner managers of unincorporated enterprises	Employed (part-time)	M	6828
New South Wales	60-64			F	377
New South Wales	60-64			M	388
New South Wales	60-64		Employed (part-time)	F	321
New South Wales	60-64		Employed (part-time)	F	428
New South Wales	60-64		Employed (part-time)	M	755
New South Wales	60-64		Employed (part-time)	M	357
New South Wales	60-64	Contributing family workers		F	263
New South Wales	60-64	Contributing family workers		M	255
New South Wales	60-64	Contributing family workers	Employed (part-time)	F	834
New South Wales	60-64	Contributing family workers	Employed (part-time)	F	1494
New South Wales	60-64	Contributing family workers	Employed (part-time)	M	1549
New South Wales	60-64	Contributing family workers	Employed (part-time)	M	1094
New South Wales	60-64	Employee		F	4249
New South Wales	60-64	Employee		M	3957
New South Wales	60-64	Employee	Employed (part-time)	F	33119
New South Wales	60-64	Employee	Employed (part-time)	F	35996
New South Wales	60-64	Employee	Employed (part-time)	M	50959
New South Wales	60-64	Employee	Employed (part-time)	M	16819
New South Wales	60-64	Owner managers of incorporated enterprises		F	270
New South Wales	60-64	Owner managers of incorporated enterprises		M	534
New South Wales	60-64	Owner managers of incorporated enterprises	Employed (part-time)	F	2659
New South Wales	60-64	Owner managers of incorporated enterprises	Employed (part-time)	F	2697
New South Wales	60-64	Owner managers of incorporated enterprises	Employed (part-time)	M	10844
New South Wales	60-64	Owner managers of incorporated enterprises	Employed (part-time)	M	3744
New South Wales	60-64	Owner managers of unincorporated enterprises		F	413
New South Wales	60-64	Owner managers of unincorporated enterprises		M	815
New South Wales	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	F	2991
New South Wales	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	F	4943
New South Wales	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	M	10095
New South Wales	60-64	Owner managers of unincorporated enterprises	Employed (part-time)	M	7068
New South Wales	65-69			F	273
New South Wales	65-69			M	285
New South Wales	65-69		Employed (part-time)	F	146
New South Wales	65-69		Employed (part-time)	F	327
New South Wales	65-69		Employed (part-time)	M	409
New South Wales	65-69		Employed (part-time)	M	316
New South Wales	65-69	Contributing family workers		F	237
New South Wales	65-69	Contributing family workers		M	246
New South Wales	65-69	Contributing family workers	Employed (part-time)	F	632
New South Wales	65-69	Contributing family workers	Employed (part-time)	F	1324
New South Wales	65-69	Contributing family workers	Employed (part-time)	M	1283
New South Wales	65-69	Contributing family workers	Employed (part-time)	M	1319
New South Wales	65-69	Employee		F	1839
New South Wales	65-69	Employee		M	1810
New South Wales	65-69	Employee	Employed (part-time)	F	9344
New South Wales	65-69	Employee	Employed (part-time)	F	16288
New South Wales	65-69	Employee	Employed (part-time)	M	16764
New South Wales	65-69	Employee	Employed (part-time)	M	10949
New South Wales	65-69	Owner managers of incorporated enterprises		F	194
New South Wales	65-69	Owner managers of incorporated enterprises		M	423
New South Wales	65-69	Owner managers of incorporated enterprises	Employed (part-time)	F	1297
New South Wales	65-69	Owner managers of incorporated enterprises	Employed (part-time)	F	1942
New South Wales	65-69	Owner managers of incorporated enterprises	Employed (part-time)	M	5884
New South Wales	65-69	Owner managers of incorporated enterprises	Employed (part-time)	M	3386
New South Wales	65-69	Owner managers of unincorporated enterprises		F	274
New South Wales	65-69	Owner managers of unincorporated enterprises		M	532
New South Wales	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	F	1426
New South Wales	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	F	3003
New South Wales	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	M	5300
New South Wales	65-69	Owner managers of unincorporated enterprises	Employed (part-time)	M	5267
New South Wales	70-74			F	224
New South Wales	70-74			M	220
New South Wales	70-74		Employed (part-time)	F	61
New South Wales	70-74		Employed (part-time)	F	156
New South Wales	70-74		Employed (part-time)	M	172
New South Wales	70-74		Employed (part-time)	M	195
New South Wales	70-74	Contributing family workers		F	201
New South Wales	70-74	Contributing family workers		M	211
New South Wales	70-74	Contributing family workers	Employed (part-time)	F	398
New South Wales	70-74	Contributing family workers	Employed (part-time)	F	847
New South Wales	70-74	Contributing family workers	Employed (part-time)	M	856
New South Wales	70-74	Contributing family workers	Employed (part-time)	M	1057
New South Wales	70-74	Employee		F	521
New South Wales	70-74	Employee		M	561
New South Wales	70-74	Employee	Employed (part-time)	F	1753
New South Wales	70-74	Employee	Employed (part-time)	F	5162
New South Wales	70-74	Employee	Employed (part-time)	M	3458
New South Wales	70-74	Employee	Employed (part-time)	M	5142
New South Wales	70-74	Owner managers of incorporated enterprises		F	91
New South Wales	70-74	Owner managers of incorporated enterprises		M	182
New South Wales	70-74	Owner managers of incorporated enterprises	Employed (part-time)	F	454
New South Wales	70-74	Owner managers of incorporated enterprises	Employed (part-time)	F	901
New South Wales	70-74	Owner managers of incorporated enterprises	Employed (part-time)	M	2290
New South Wales	70-74	Owner managers of incorporated enterprises	Employed (part-time)	M	1897
New South Wales	70-74	Owner managers of unincorporated enterprises		F	170
New South Wales	70-74	Owner managers of unincorporated enterprises		M	283
New South Wales	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	F	583
New South Wales	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	F	1390
New South Wales	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	M	2174
New South Wales	70-74	Owner managers of unincorporated enterprises	Employed (part-time)	M	2737
New South Wales	75+			F	448
New South Wales	75+			M	375
New South Wales	75+		Employed (full-time)	F	39
New South Wales	75+		Employed (full-time)	M	143
New South Wales	75+		Employed (part-time)	F	108
New South Wales	75+		Employed (part-time)	M	163
New South Wales	75+	Contributing family workers		F	272
