STE_NAME16	CountryOfBirth	EmploymentStatus	workers
New South Wales		Contributing family workers	3604
New South Wales		Employee	208013
New South Wales		Owner managers of incorporated enterprises	16139
New South Wales		Owner managers of unincorporated enterprises	20177
New South Wales		Status in employment not stated	4863
New South Wales	AUS	Contributing family workers	33810
New South Wales	AUS	Employee	1835158
New South Wales	AUS	Owner managers of incorporated enterprises	146628
New South Wales	AUS	Owner managers of unincorporated enterprises	176890
New South Wales	AUS	Status in employment not stated	21498
New South Wales	CAN	Contributing family workers	113
New South Wales	CAN	Employee	7345
New South Wales	CAN	Owner managers of incorporated enterprises	695
New South Wales	CAN	Owner managers of unincorporated enterprises	639
New South Wales	CAN	Status in employment not stated	38
New South Wales	CHN	Contributing family workers	2757
New South Wales	CHN	Employee	84057
New South Wales	CHN	Owner managers of incorporated enterprises	12087
New South Wales	CHN	Owner managers of unincorporated enterprises	9477
New South Wales	CHN	Status in employment not stated	709
New South Wales	HRV	Contributing family workers	69
New South Wales	HRV	Employee	4325
New South Wales	HRV	Owner managers of incorporated enterprises	542
New South Wales	HRV	Owner managers of unincorporated enterprises	495
New South Wales	HRV	Status in employment not stated	76
New South Wales	EGY	Contributing family workers	112
New South Wales	EGY	Employee	6043
New South Wales	EGY	Owner managers of incorporated enterprises	1211
New South Wales	EGY	Owner managers of unincorporated enterprises	814
New South Wales	EGY	Status in employment not stated	114
New South Wales	FJI	Contributing family workers	200
New South Wales	FJI	Employee	19145
New South Wales	FJI	Owner managers of incorporated enterprises	1070
New South Wales	FJI	Owner managers of unincorporated enterprises	769
New South Wales	FJI	Status in employment not stated	254
New South Wales	MKD	Contributing family workers	85
New South Wales	MKD	Employee	5864
New South Wales	MKD	Owner managers of incorporated enterprises	616
New South Wales	MKD	Owner managers of unincorporated enterprises	448
New South Wales	MKD	Status in employment not stated	83
New South Wales	DEU	Contributing family workers	263
New South Wales	DEU	Employee	9495
New South Wales	DEU	Owner managers of incorporated enterprises	1028
New South Wales	DEU	Owner managers of unincorporated enterprises	1324
New South Wales	DEU	Status in employment not stated	95
New South Wales	GRC	Contributing family workers	167
New South Wales	GRC	Employee	4502
New South Wales	GRC	Owner managers of incorporated enterprises	846
New South Wales	GRC	Owner managers of unincorporated enterprises	960
New South Wales	GRC	Status in employment not stated	128
New South Wales	HKG	Contributing family workers	239
New South Wales	HKG	Employee	21051
New South Wales	HKG	Owner managers of incorporated enterprises	1770
New South Wales	HKG	Owner managers of unincorporated enterprises	1742
New South Wales	HKG	Status in employment not stated	119
New South Wales	IND	Contributing family workers	759
New South Wales	IND	Employee	83079
New South Wales	IND	Owner managers of incorporated enterprises	5289
New South Wales	IND	Owner managers of unincorporated enterprises	3654
New South Wales	IND	Status in employment not stated	620
New South Wales	IDN	Contributing family workers	163
New South Wales	IDN	Employee	17692
New South Wales	IDN	Owner managers of incorporated enterprises	770
New South Wales	IDN	Owner managers of unincorporated enterprises	974
New South Wales	IDN	Status in employment not stated	143
New South Wales	IRN	Contributing family workers	149
New South Wales	IRN	Employee	8983
New South Wales	IRN	Owner managers of incorporated enterprises	1113
New South Wales	IRN	Owner managers of unincorporated enterprises	1032
New South Wales	IRN	Status in employment not stated	114
New South Wales	IRQ	Contributing family workers	122
New South Wales	IRQ	Employee	8161
New South Wales	IRQ	Owner managers of incorporated enterprises	1366
New South Wales	IRQ	Owner managers of unincorporated enterprises	1271
New South Wales	IRQ	Status in employment not stated	187
New South Wales	IRL	Contributing family workers	98
New South Wales	IRL	Employee	13734
New South Wales	IRL	Owner managers of incorporated enterprises	1545
New South Wales	IRL	Owner managers of unincorporated enterprises	978
New South Wales	IRL	Status in employment not stated	129
New South Wales	ITA	Contributing family workers	453
New South Wales	ITA	Employee	11336
New South Wales	ITA	Owner managers of incorporated enterprises	1900
New South Wales	ITA	Owner managers of unincorporated enterprises	1765
New South Wales	ITA	Status in employment not stated	233
New South Wales	JPN	Contributing family workers	108
New South Wales	JPN	Employee	6574
New South Wales	JPN	Owner managers of incorporated enterprises	500
New South Wales	JPN	Owner managers of unincorporated enterprises	667
