STE_NAME16	Age	IncomeTotPersonal.max	Occupation	workers
New South Wales	15-19			482
New South Wales	15-19		Clerical and administrative workers	123
New South Wales	15-19		Community and personal service workers	500
New South Wales	15-19		Labourers	562
New South Wales	15-19		Machinery operators and drivers	66
New South Wales	15-19		Managers	57
New South Wales	15-19		Professionals	85
New South Wales	15-19		Sales workers	1048
New South Wales	15-19		Technicians and trades workers	421
New South Wales	15-19	0		345
New South Wales	15-19	0	Clerical and administrative workers	163
New South Wales	15-19	0	Community and personal service workers	698
New South Wales	15-19	0	Labourers	947
New South Wales	15-19	0	Machinery operators and drivers	82
New South Wales	15-19	0	Managers	81
New South Wales	15-19	0	Professionals	113
New South Wales	15-19	0	Sales workers	1330
New South Wales	15-19	0	Technicians and trades workers	222
New South Wales	15-19	7875		807
New South Wales	15-19	7875	Clerical and administrative workers	2073
New South Wales	15-19	7875	Community and personal service workers	12148
New South Wales	15-19	7875	Labourers	15037
New South Wales	15-19	7875	Machinery operators and drivers	1087
New South Wales	15-19	7875	Managers	450
New South Wales	15-19	7875	Professionals	2197
New South Wales	15-19	7875	Sales workers	30415
New South Wales	15-19	7875	Technicians and trades workers	1402
New South Wales	15-19	15750		344
New South Wales	15-19	15750	Clerical and administrative workers	1447
New South Wales	15-19	15750	Community and personal service workers	5807
New South Wales	15-19	15750	Labourers	5303
New South Wales	15-19	15750	Machinery operators and drivers	729
New South Wales	15-19	15750	Managers	306
New South Wales	15-19	15750	Professionals	1038
New South Wales	15-19	15750	Sales workers	12078
New South Wales	15-19	15750	Technicians and trades workers	1446
New South Wales	15-19	21000		230
New South Wales	15-19	21000	Clerical and administrative workers	1142
New South Wales	15-19	21000	Community and personal service workers	3326
New South Wales	15-19	21000	Labourers	2455
New South Wales	15-19	21000	Machinery operators and drivers	407
New South Wales	15-19	21000	Managers	268
New South Wales	15-19	21000	Professionals	498
New South Wales	15-19	21000	Sales workers	4645
New South Wales	15-19	21000	Technicians and trades workers	3110
New South Wales	15-19	26250		211
New South Wales	15-19	26250	Clerical and administrative workers	1037
New South Wales	15-19	26250	Community and personal service workers	2361
New South Wales	15-19	26250	Labourers	1905
New South Wales	15-19	26250	Machinery operators and drivers	375
New South Wales	15-19	26250	Managers	297
New South Wales	15-19	26250	Professionals	342
New South Wales	15-19	26250	Sales workers	2807
New South Wales	15-19	26250	Technicians and trades workers	6423
New South Wales	15-19	34125		180
New South Wales	15-19	34125	Clerical and administrative workers	1191
New South Wales	15-19	34125	Community and personal service workers	2063
New South Wales	15-19	34125	Labourers	1823
New South Wales	15-19	34125	Machinery operators and drivers	509
New South Wales	15-19	34125	Managers	434
New South Wales	15-19	34125	Professionals	359
New South Wales	15-19	34125	Sales workers	2042
New South Wales	15-19	34125	Technicians and trades workers	5254
New South Wales	15-19	42000		108
New South Wales	15-19	42000	Clerical and administrative workers	902
New South Wales	15-19	42000	Community and personal service workers	1454
New South Wales	15-19	42000	Labourers	1408
New South Wales	15-19	42000	Machinery operators and drivers	483
New South Wales	15-19	42000	Managers	340
New South Wales	15-19	42000	Professionals	351
New South Wales	15-19	42000	Sales workers	858
New South Wales	15-19	42000	Technicians and trades workers	1927
New South Wales	15-19	52500		80
New South Wales	15-19	52500	Clerical and administrative workers	512
New South Wales	15-19	52500	Community and personal service workers	577
New South Wales	15-19	52500	Labourers	797
New South Wales	15-19	52500	Machinery operators and drivers	310
New South Wales	15-19	52500	Managers	249
New South Wales	15-19	52500	Professionals	162
New South Wales	15-19	52500	Sales workers	330
New South Wales	15-19	52500	Technicians and trades workers	779
New South Wales	15-19	65625		32
New South Wales	15-19	65625	Clerical and administrative workers	182
New South Wales	15-19	65625	Community and personal service workers	204
New South Wales	15-19	65625	Labourers	301
New South Wales	15-19	65625	Machinery operators and drivers	130
New South Wales	15-19	65625	Managers	74
New South Wales	15-19	65625	Professionals	101
New South Wales	15-19	65625	Sales workers	105
New South Wales	15-19	65625	Technicians and trades workers	292
New South Wales	15-19	78750		11
New South Wales	15-19	78750	Clerical and administrative workers	53
New South Wales	15-19	78750	Community and personal service workers	79
New South Wales	15-19	78750	Labourers	86
New South Wales	15-19	78750	Machinery operators and drivers	42
New South Wales	15-19	78750	Managers	35
New South Wales	15-19	78750	Professionals	38
New South Wales	15-19	78750	Sales workers	25
New South Wales	15-19	78750	Technicians and trades workers	87
New South Wales	15-19	91875		4
New South Wales	15-19	91875	Clerical and administrative workers	16
New South Wales	15-19	91875	Community and personal service workers	30
New South Wales	15-19	91875	Labourers	32
New South Wales	15-19	91875	Machinery operators and drivers	20
New South Wales	15-19	91875	Managers	14
New South Wales	15-19	91875	Professionals	34
New South Wales	15-19	91875	Sales workers	17
New South Wales	15-19	91875	Technicians and trades workers	44
New South Wales	15-19	105000		6
New South Wales	15-19	105000	Clerical and administrative workers	13
New South Wales	15-19	105000	Community and personal service workers	13
New South Wales	15-19	105000	Labourers	16
New South Wales	15-19	105000	Machinery operators and drivers	11
New South Wales	15-19	105000	Managers	13
New South Wales	15-19	105000	Professionals	16
New South Wales	15-19	105000	Sales workers	9
New South Wales	15-19	105000	Technicians and trades workers	17
New South Wales	15-19	157500		4
New South Wales	15-19	157500	Clerical and administrative workers	7
New South Wales	15-19	157500	Community and personal service workers	14
New South Wales	15-19	157500	Labourers	17
New South Wales	15-19	157500	Machinery operators and drivers	8
New South Wales	15-19	157500	Managers	9
New South Wales	15-19	157500	Professionals	13
New South Wales	15-19	157500	Sales workers	6
New South Wales	15-19	157500	Technicians and trades workers	18
New South Wales	15-19	Inf		24
New South Wales	15-19	Inf	Clerical and administrative workers	4
New South Wales	15-19	Inf	Community and personal service workers	37
New South Wales	15-19	Inf	Labourers	37
New South Wales	15-19	Inf	Machinery operators and drivers	7
New South Wales	15-19	Inf	Managers	15
New South Wales	15-19	Inf	Professionals	11
New South Wales	15-19	Inf	Sales workers	42
New South Wales	15-19	Inf	Technicians and trades workers	39
New South Wales	20-24			908
New South Wales	20-24		Clerical and administrative workers	494
New South Wales	20-24		Community and personal service workers	780
New South Wales	20-24		Labourers	548
New South Wales	20-24		Machinery operators and drivers	184
New South Wales	20-24		Managers	235
New South Wales	20-24		Professionals	505
New South Wales	20-24		Sales workers	727
New South Wales	20-24		Technicians and trades workers	923
New South Wales	20-24	0		218
New South Wales	20-24	0	Clerical and administrative workers	194
New South Wales	20-24	0	Community and personal service workers	343
New South Wales	20-24	0	Labourers	272
New South Wales	20-24	0	Machinery operators and drivers	84
New South Wales	20-24	0	Managers	132
New South Wales	20-24	0	Professionals	218
New South Wales	20-24	0	Sales workers	346
New South Wales	20-24	0	Technicians and trades workers	179
New South Wales	20-24	7875		251
New South Wales	20-24	7875	Clerical and administrative workers	1292
New South Wales	20-24	7875	Community and personal service workers	3683
New South Wales	20-24	7875	Labourers	1740
New South Wales	20-24	7875	Machinery operators and drivers	398
New South Wales	20-24	7875	Managers	187
New South Wales	20-24	7875	Professionals	2048
New South Wales	20-24	7875	Sales workers	3544
New South Wales	20-24	7875	Technicians and trades workers	496
New South Wales	20-24	15750		485
New South Wales	20-24	15750	Clerical and administrative workers	2628
New South Wales	20-24	15750	Community and personal service workers	7774
New South Wales	20-24	15750	Labourers	3857
New South Wales	20-24	15750	Machinery operators and drivers	871
New South Wales	20-24	15750	Managers	444
New South Wales	20-24	15750	Professionals	2725
New South Wales	20-24	15750	Sales workers	8363
New South Wales	20-24	15750	Technicians and trades workers	1366
New South Wales	20-24	21000		510
New South Wales	20-24	21000	Clerical and administrative workers	2612
New South Wales	20-24	21000	Community and personal service workers	7254
New South Wales	20-24	21000	Labourers	4209
New South Wales	20-24	21000	Machinery operators and drivers	999
New South Wales	20-24	21000	Managers	593
New South Wales	20-24	21000	Professionals	2177
New South Wales	20-24	21000	Sales workers	7789
New South Wales	20-24	21000	Technicians and trades workers	2313
New South Wales	20-24	26250		473
New South Wales	20-24	26250	Clerical and administrative workers	2781
New South Wales	20-24	26250	Community and personal service workers	7326
New South Wales	20-24	26250	Labourers	4536
New South Wales	20-24	26250	Machinery operators and drivers	1050
New South Wales	20-24	26250	Managers	826
New South Wales	20-24	26250	Professionals	2182
New South Wales	20-24	26250	Sales workers	7316
New South Wales	20-24	26250	Technicians and trades workers	4439
New South Wales	20-24	34125		696
New South Wales	20-24	34125	Clerical and administrative workers	4600
New South Wales	20-24	34125	Community and personal service workers	9114
New South Wales	20-24	34125	Labourers	5407
New South Wales	20-24	34125	Machinery operators and drivers	1730
New South Wales	20-24	34125	Managers	1419
New South Wales	20-24	34125	Professionals	3060
New South Wales	20-24	34125	Sales workers	7979
New South Wales	20-24	34125	Technicians and trades workers	8798
New South Wales	20-24	42000		782
New South Wales	20-24	42000	Clerical and administrative workers	7203
New South Wales	20-24	42000	Community and personal service workers	8964
New South Wales	20-24	42000	Labourers	5860
New South Wales	20-24	42000	Machinery operators and drivers	2671
New South Wales	20-24	42000	Managers	2661
New South Wales	20-24	42000	Professionals	4724
New South Wales	20-24	42000	Sales workers	6984
New South Wales	20-24	42000	Technicians and trades workers	10649
New South Wales	20-24	52500		744
New South Wales	20-24	52500	Clerical and administrative workers	7808
New South Wales	20-24	52500	Community and personal service workers	5774
New South Wales	20-24	52500	Labourers	4569
New South Wales	20-24	52500	Machinery operators and drivers	2612
New South Wales	20-24	52500	Managers	3726
New South Wales	20-24	52500	Professionals	7646
New South Wales	20-24	52500	Sales workers	4639
New South Wales	20-24	52500	Technicians and trades workers	9750
New South Wales	20-24	65625		511
New South Wales	20-24	65625	Clerical and administrative workers	4907
New South Wales	20-24	65625	Community and personal service workers	2746
New South Wales	20-24	65625	Labourers	2238
New South Wales	20-24	65625	Machinery operators and drivers	1575
New South Wales	20-24	65625	Managers	2945
New South Wales	20-24	65625	Professionals	11013
