STE_NAME16	Age	LabourForceStatus	Sex	workers
New South Wales	15-19		F	2389
New South Wales	15-19		M	2489
New South Wales	15-19	Employed (away from work)	F	3500
New South Wales	15-19	Employed (away from work)	M	2916
New South Wales	15-19	Employed (full-time)	F	11122
New South Wales	15-19	Employed (full-time)	M	24064
New South Wales	15-19	Employed (part-time)	F	66586
New South Wales	15-19	Employed (part-time)	M	48200
New South Wales	20-24		F	3755
New South Wales	20-24		M	4978
New South Wales	20-24	Employed (away from work)	F	4827
New South Wales	20-24	Employed (away from work)	M	3618
New South Wales	20-24	Employed (full-time)	F	68171
New South Wales	20-24	Employed (full-time)	M	90818
New South Wales	20-24	Employed (part-time)	F	74328
New South Wales	20-24	Employed (part-time)	M	59617
New South Wales	25-29		F	3369
New South Wales	25-29		M	4918
New South Wales	25-29	Employed (away from work)	F	8166
New South Wales	25-29	Employed (away from work)	M	3762
New South Wales	25-29	Employed (full-time)	F	115078
New South Wales	25-29	Employed (full-time)	M	150386
New South Wales	25-29	Employed (part-time)	F	54756
New South Wales	25-29	Employed (part-time)	M	37536
New South Wales	30-34		F	2978
New South Wales	30-34		M	4687
New South Wales	30-34	Employed (away from work)	F	13257
New South Wales	30-34	Employed (away from work)	M	4173
New South Wales	30-34	Employed (full-time)	F	102011
New South Wales	30-34	Employed (full-time)	M	175853
New South Wales	30-34	Employed (part-time)	F	66345
New South Wales	30-34	Employed (part-time)	M	28270
New South Wales	35-39		F	2521
New South Wales	35-39		M	3991
New South Wales	35-39	Employed (away from work)	F	8857
New South Wales	35-39	Employed (away from work)	M	3678
New South Wales	35-39	Employed (full-time)	F	86021
New South Wales	35-39	Employed (full-time)	M	168520
New South Wales	35-39	Employed (part-time)	F	73370
New South Wales	35-39	Employed (part-time)	M	23810
New South Wales	40-44		F	2564
New South Wales	40-44		M	3558
New South Wales	40-44	Employed (away from work)	F	4733
New South Wales	40-44	Employed (away from work)	M	3658
New South Wales	40-44	Employed (full-time)	F	93400
New South Wales	40-44	Employed (full-time)	M	166631
New South Wales	40-44	Employed (part-time)	F	78900
New South Wales	40-44	Employed (part-time)	M	23768
New South Wales	45-49		F	2537
New South Wales	45-49		M	3585
New South Wales	45-49	Employed (away from work)	F	3911
New South Wales	45-49	Employed (away from work)	M	3555
New South Wales	45-49	Employed (full-time)	F	97541
New South Wales	45-49	Employed (full-time)	M	156140
New South Wales	45-49	Employed (part-time)	F	74094
New South Wales	45-49	Employed (part-time)	M	23974
New South Wales	50-54		F	2450
New South Wales	50-54		M	3289
New South Wales	50-54	Employed (away from work)	F	4600
New South Wales	50-54	Employed (away from work)	M	4104
New South Wales	50-54	Employed (full-time)	F	92444
New South Wales	50-54	Employed (full-time)	M	147033
New South Wales	50-54	Employed (part-time)	F	68519
New South Wales	50-54	Employed (part-time)	M	25907
New South Wales	55-59		F	2030
New South Wales	55-59		M	2616
New South Wales	55-59	Employed (away from work)	F	5190
New South Wales	55-59	Employed (away from work)	M	4909
New South Wales	55-59	Employed (full-time)	F	74906
New South Wales	55-59	Employed (full-time)	M	123691
New South Wales	55-59	Employed (part-time)	F	62411
New South Wales	55-59	Employed (part-time)	M	27573
New South Wales	60-64		F	1446
New South Wales	60-64		M	1916
New South Wales	60-64	Employed (away from work)	F	4124
New South Wales	60-64	Employed (away from work)	M	4034
New South Wales	60-64	Employed (full-time)	F	39921
New South Wales	60-64	Employed (full-time)	M	74208
New South Wales	60-64	Employed (part-time)	F	45561
New South Wales	60-64	Employed (part-time)	M	29078
New South Wales	65-69		F	802
New South Wales	65-69		M	1077
New South Wales	65-69	Employed (away from work)	F	2018
New South Wales	65-69	Employed (away from work)	M	2215
New South Wales	65-69	Employed (full-time)	F	12850
New South Wales	65-69	Employed (full-time)	M	29644
New South Wales	65-69	Employed (part-time)	F	22883
New South Wales	65-69	Employed (part-time)	M	21237
New South Wales	70-74		F	494
New South Wales	70-74		M	579
New South Wales	70-74	Employed (away from work)	F	716
New South Wales	70-74	Employed (away from work)	M	881
New South Wales	70-74	Employed (full-time)	F	3244
