STE_NAME16	EmploymentStatus	Sex	workers
New South Wales		F	14494
New South Wales		M	19708
New South Wales	Contributing family workers	F	24968
New South Wales	Contributing family workers	M	25312
New South Wales	Employee	F	1386970
New South Wales	Employee	M	1385529
New South Wales	Owner managers of incorporated enterprises	F	66182
New South Wales	Owner managers of incorporated enterprises	M	168747
New South Wales	Owner managers of unincorporated enterprises	F	97762
New South Wales	Owner managers of unincorporated enterprises	M	168510
Victoria		F	11897
Victoria		M	16576
Victoria	Contributing family workers	F	20967
Victoria	Contributing family workers	M	21010
Victoria	Employee	F	1133603
Victoria	Employee	M	1125323
Victoria	Owner managers of incorporated enterprises	F	53911
Victoria	Owner managers of incorporated enterprises	M	142389
Victoria	Owner managers of unincorporated enterprises	F	74099
Victoria	Owner managers of unincorporated enterprises	M	130563
Queensland		F	8496
Queensland		M	10861
Queensland	Contributing family workers	F	19072
Queensland	Contributing family workers	M	17792
Queensland	Employee	F	892544
Queensland	Employee	M	878601
Queensland	Owner managers of incorporated enterprises	F	43699
Queensland	Owner managers of incorporated enterprises	M	96581
Queensland	Owner managers of unincorporated enterprises	F	62905
Queensland	Owner managers of unincorporated enterprises	M	100315
South Australia		F	3329
South Australia		M	4374
South Australia	Contributing family workers	F	6216
South Australia	Contributing family workers	M	6791
South Australia	Employee	F	314687
South Australia	Employee	M	301738
South Australia	Owner managers of incorporated enterprises	F	11519
South Australia	Owner managers of incorporated enterprises	M	29226
South Australia	Owner managers of unincorporated enterprises	F	22030
South Australia	Owner managers of unincorporated enterprises	M	42911
Western Australia		F	4167
Western Australia		M	5850
Western Australia	Contributing family workers	F	9311
Western Australia	Contributing family workers	M	8738
Western Australia	Employee	F	471769
Western Australia	Employee	M	505516
Western Australia	Owner managers of incorporated enterprises	F	20146
Western Australia	Owner managers of incorporated enterprises	M	48939
Western Australia	Owner managers of unincorporated enterprises	F	32984
Western Australia	Owner managers of unincorporated enterprises	M	58826
Tasmania		F	1120
Tasmania		M	1429
Tasmania	Contributing family workers	F	1847
Tasmania	Contributing family workers	M	1884
Tasmania	Employee	F	92922
Tasmania	Employee	M	86543
Tasmania	Owner managers of incorporated enterprises	F	3094
Tasmania	Owner managers of incorporated enterprises	M	7324
Tasmania	Owner managers of unincorporated enterprises	F	6815
Tasmania	Owner managers of unincorporated enterprises	M	12390
Northern Territory		F	490
Northern Territory		M	643
Northern Territory	Contributing family workers	F	457
Northern Territory	Contributing family workers	M	447
Northern Territory	Employee	F	44532
Northern Territory	Employee	M	53522
Northern Territory	Owner managers of incorporated enterprises	F	1501
Northern Territory	Owner managers of incorporated enterprises	M	3239
Northern Territory	Owner managers of unincorporated enterprises	F	1910
Northern Territory	Owner managers of unincorporated enterprises	M	3023
Australian Capital Territory		F	545
Australian Capital Territory		M	679
Australian Capital Territory	Contributing family workers	F	684
Australian Capital Territory	Contributing family workers	M	679
Australian Capital Territory	Employee	F	105110
Australian Capital Territory	Employee	M	100515
Australian Capital Territory	Owner managers of incorporated enterprises	F	2626
Australian Capital Territory	Owner managers of incorporated enterprises	M	7370
Australian Capital Territory	Owner managers of unincorporated enterprises	F	3515
Australian Capital Territory	Owner managers of unincorporated enterprises	M	5737
Other Territories		F	28
Other Territories		M	41
Other Territories	Contributing family workers	F	21
Other Territories	Contributing family workers	M	32
Other Territories	Employee	F	980
Other Territories	Employee	M	1324
Other Territories	Owner managers of incorporated enterprises	F	35
Other Territories	Owner managers of incorporated enterprises	M	76
Other Territories	Owner managers of unincorporated enterprises	F	116
Other Territories	Owner managers of unincorporated enterprises	M	161
