STE_NAME16	Occupation	OccupationSubtype	workers
New South Wales			61878
New South Wales	Clerical and administrative workers	Clerical and administrative workers nfd	816
New South Wales	Clerical and administrative workers	Clerical and office support workers	24539
New South Wales	Clerical and administrative workers	General clerical workers	85147
New South Wales	Clerical and administrative workers	Inquiry clerks and receptionists	74532
New South Wales	Clerical and administrative workers	Numerical clerks	100909
New South Wales	Clerical and administrative workers	Office managers and program administrators	75831
New South Wales	Clerical and administrative workers	Other clerical and administrative workers	65800
New South Wales	Clerical and administrative workers	Personal assistants and secretaries	35602
New South Wales	Community and personal service workers	Carers and aides	138891
New South Wales	Community and personal service workers	Community and personal service workers nfd	179
New South Wales	Community and personal service workers	Health and welfare support workers	35696
New South Wales	Community and personal service workers	Hospitality workers	81215
New South Wales	Community and personal service workers	Protective service workers	40756
New South Wales	Community and personal service workers	Sports and personal service workers	51813
New South Wales	Labourers	Cleaners and laundry workers	76268
New South Wales	Labourers	Construction and mining labourers	41693
New South Wales	Labourers	Factory process workers	49752
New South Wales	Labourers	Farm forestry and garden workers	25763
New South Wales	Labourers	Food preparation assistants	43198
New South Wales	Labourers	Labourers nfd	6769
New South Wales	Labourers	Other labourers	52857
New South Wales	Machinery operators and drivers	Machine and stationary plant operators	41561
New South Wales	Machinery operators and drivers	Machinery operators and drivers nfd	4314
New South Wales	Machinery operators and drivers	Mobile plant operators	31285
New South Wales	Machinery operators and drivers	Road and rail drivers	93504
New South Wales	Machinery operators and drivers	Storepersons	34919
New South Wales	Managers	Chief executives general managers and legislators	36905
New South Wales	Managers	Farmers and farm managers	41276
New South Wales	Managers	Hospitality retail and service managers	132652
New South Wales	Managers	Managers nfd	10251
New South Wales	Managers	Specialist managers	232088
New South Wales	Professionals	Arts and media professionals	31664
New South Wales	Professionals	Business human resource and marketing professionals	209349
New South Wales	Professionals	Design engineering science and transport professionals	93520
New South Wales	Professionals	Education professionals	158214
New South Wales	Professionals	Health professionals	152442
New South Wales	Professionals	Information and Communication Technology ICT professionals	73379
New South Wales	Professionals	Legal social and welfare professionals	62077
New South Wales	Professionals	Professionals nfd	12539
New South Wales	Sales workers	Sales assistants and salespersons	204757
New South Wales	Sales workers	Sales representatives and agents	60540
New South Wales	Sales workers	Sales support workers	44310
New South Wales	Sales workers	Sales workers nfd	756
New South Wales	Technicians and trades workers	Automotive and engineering trades workers	79736
New South Wales	Technicians and trades workers	Construction trades workers	93437
New South Wales	Technicians and trades workers	Electrotechnology and telecommunications trades workers	56393
New South Wales	Technicians and trades workers	Engineering ICT and science technicians	61134
New South Wales	Technicians and trades workers	Food trades workers	51973
New South Wales	Technicians and trades workers	Other technicians and trades workers	47022
New South Wales	Technicians and trades workers	Skilled animal and horticultural workers	30556
New South Wales	Technicians and trades workers	Technicians and trades workers nfd	5735
Victoria			46754
Victoria	Clerical and administrative workers	Clerical and administrative workers nfd	898
Victoria	Clerical and administrative workers	Clerical and office support workers	19540
Victoria	Clerical and administrative workers	General clerical workers	60211
Victoria	Clerical and administrative workers	Inquiry clerks and receptionists	63860
Victoria	Clerical and administrative workers	Numerical clerks	83365
Victoria	Clerical and administrative workers	Office managers and program administrators	59142
Victoria	Clerical and administrative workers	Other clerical and administrative workers	53462
Victoria	Clerical and administrative workers	Personal assistants and secretaries	22271
Victoria	Community and personal service workers	Carers and aides	117435
Victoria	Community and personal service workers	Community and personal service workers nfd	217
Victoria	Community and personal service workers	Health and welfare support workers	33153
Victoria	Community and personal service workers	Hospitality workers	61463
Victoria	Community and personal service workers	Protective service workers	32208
Victoria	Community and personal service workers	Sports and personal service workers	44444
Victoria	Labourers	Cleaners and laundry workers	55819
Victoria	Labourers	Construction and mining labourers	31512
Victoria	Labourers	Factory process workers	55068
Victoria	Labourers	Farm forestry and garden workers	18890
Victoria	Labourers	Food preparation assistants	39110
Victoria	Labourers	Labourers nfd	4661
Victoria	Labourers	Other labourers	41641
