SA2_MAINCODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
101021007,296,168,123,76,97,84,68,108,25,1050
101021008,65,227,102,145,69,67,24,78,11,796
101021009,528,1049,699,857,886,619,242,435,104,5418
101021010,368,171,720,82,339,286,390,311,35,2714
101021011,731,442,457,297,321,135,155,260,61,2863
101021012,259,259,589,155,279,142,208,185,33,2109
101031013,266,110,111,90,96,61,136,139,27,1029
101031014,433,660,404,436,464,431,169,363,47,3415
101031015,302,35,80,41,44,21,44,93,9,684
101031016,762,393,616,909,371,444,370,597,75,4532
101041017,493,468,563,620,615,712,215,418,78,4188
101041018,115,284,158,195,123,114,20,116,19,1147
101041019,528,1078,578,593,681,537,264,746,81,5093
101041020,511,147,198,103,94,49,75,195,24,1401
101041021,73,179,117,109,69,45,10,75,4,697
101041022,0,0,0,3,0,0,0,0,0,5
101041023,127,195,198,171,130,144,117,220,21,1318
101041024,186,66,124,74,76,68,41,97,9,745
101041025,439,481,566,527,404,535,183,397,52,3575
101041026,346,711,466,370,476,347,227,325,53,3322
101041027,341,363,362,358,271,322,104,311,34,2471
101051539,937,1731,1179,1830,1252,1142,651,1083,162,9960
101051540,1059,317,484,261,312,170,315,435,63,3412
101061541,272,365,255,360,270,275,140,253,36,2228
101061542,754,265,318,176,173,145,111,310,47,2294
101061543,621,651,626,477,558,557,212,615,52,4377
101061544,821,208,256,174,197,113,182,416,33,2395
102011028,141,222,204,151,131,123,18,87,7,1084
102011029,194,274,299,173,153,68,20,127,29,1341
102011030,971,348,989,148,642,186,944,911,99,5234
102011031,1060,1736,1000,1201,1166,2146,253,790,106,9450
102011032,1780,5437,2034,2057,3488,1699,689,1337,310,18835
102011033,123,310,117,408,150,65,35,79,22,1306
102011034,198,370,285,314,220,282,211,258,31,2168
102011035,56,275,84,149,80,19,11,44,10,728
102011036,282,377,339,211,360,267,273,522,37,2679
102011037,66,217,93,202,80,54,15,97,21,850
102011038,86,123,156,93,94,65,15,55,16,704
102011039,356,548,449,556,343,225,53,270,51,2857
102011040,390,641,480,632,430,539,91,408,67,3673
102011041,163,351,310,218,200,86,34,128,28,1510
102011042,328,850,422,708,427,615,135,297,63,3837
102011043,225,469,296,512,268,348,61,306,34,2521
102021044,318,663,494,730,346,810,182,431,59,4028
102021045,97,229,158,220,93,88,61,148,20,1107
102021046,95,125,158,139,112,152,39,111,15,951
102021047,628,749,841,464,578,326,488,770,83,4924
102021048,352,620,406,655,405,1064,130,468,65,4149
102021049,118,106,115,90,75,82,44,135,16,784
102021050,183,324,378,150,205,183,150,195,35,1802
102021051,231,435,499,174,260,106,120,146,30,2009
102021052,52,65,100,54,68,56,16,49,4,464
102021053,381,497,540,501,391,431,90,356,42,3222
102021054,199,397,290,471,285,251,41,181,27,2149
102021055,1078,1076,1129,763,1851,1733,653,856,159,9298
102021056,365,1667,547,969,668,306,811,524,89,5940
102021057,541,1006,705,719,774,390,353,539,99,5122
103011058,1341,2773,1565,2009,1696,1433,500,1227,209,12748
103011059,401,458,585,319,390,377,366,616,51,3560
103011060,427,124,158,109,114,59,61,153,17,1226
103011061,387,205,334,195,164,114,367,263,49,2079
103021062,721,346,280,259,237,176,186,276,49,2530
103021063,417,599,513,467,445,447,240,537,66,3728
103021064,589,165,138,104,114,92,78,241,38,1567
103021065,794,613,509,391,429,391,265,509,86,3984
103021066,451,148,126,86,105,81,75,152,11,1228
103021067,449,680,555,535,549,480,346,394,68,4061
103021068,523,166,190,71,92,34,200,132,31,1437
103021069,702,269,343,182,234,152,331,309,53,2584
103031070,426,827,605,790,826,521,383,529,95,5013
103031071,327,243,604,174,204,62,542,233,38,2430
103031072,583,834,799,680,656,688,352,597,67,5246
103031073,191,116,127,94,81,68,45,140,13,872
103031074,754,372,734,170,231,157,925,401,65,3805
103031075,0,0,0,0,0,0,0,0,0,0
103041076,544,350,489,203,228,159,488,418,53,2927
103041077,1530,3800,1845,1841,2351,1632,636,1348,220,15198
103041078,389,445,638,454,387,308,336,348,43,3346
103041079,956,477,541,188,314,123,389,548,77,3612
104011080,841,1732,1200,1478,1307,1094,642,980,155,9434
104011081,546,238,222,153,192,101,178,281,42,1951
104011082,564,801,704,668,536,632,268,608,66,4842
104021083,254,424,200,240,159,152,69,175,36,1708
104021084,774,807,783,797,1029,1144,231,689,125,6379
104021085,1231,3443,1455,1788,2051,1234,623,1100,198,13115
104021086,108,83,82,54,61,21,58,88,7,560
104021087,267,109,99,81,95,59,59,156,17,948
104021088,207,172,202,157,127,119,21,171,25,1200
104021089,489,655,616,592,497,556,342,511,59,4314
104021090,151,144,186,142,119,96,128,182,14,1145
104021091,562,394,371,320,247,224,200,863,56,3230
105011092,329,253,139,258,135,69,80,172,48,1482
105011093,359,282,439,175,192,106,466,217,35,2265
105011094,468,186,136,166,156,75,79,197,38,1503
105011095,541,259,319,212,198,127,270,284,41,2252
105011096,528,314,185,303,192,107,161,280,48,2134
105021097,676,1170,987,1030,742,697,696,725,135,6845
105021098,379,111,73,110,53,21,36,208,22,1013
105031099,728,379,247,316,224,179,153,355,52,2623
105031100,650,1302,1081,641,755,475,560,902,123,6487
105031101,1084,1986,1084,1475,1634,1443,298,751,158,9924
105031102,242,266,391,254,234,260,146,281,32,2108
105031103,408,78,155,49,90,39,74,128,17,1036
105031104,508,193,165,196,121,106,88,210,18,1605
105031105,589,292,278,212,207,159,278,235,35,2286
105031106,505,353,245,409,214,173,125,282,33,2334
106011107,679,297,613,609,307,478,240,718,53,3993
106011108,536,1207,634,1233,739,939,301,669,97,6353
106011109,285,234,265,77,183,47,289,230,28,1642
106011110,473,325,286,211,251,163,133,281,33,2155
106011111,286,567,534,497,330,372,242,454,54,3336
106011112,732,1051,1237,1185,889,804,1272,853,127,8149
106011113,552,503,2031,79,337,72,2803,378,140,6893
106021114,495,1772,598,852,1388,630,151,458,107,6459
106021115,709,1711,970,1070,924,1155,267,763,78,7637
106021116,126,209,150,162,131,54,41,86,14,993
106021117,840,908,1545,794,781,990,658,856,124,7495
106021118,475,447,667,229,463,338,673,501,46,3850
106031119,98,94,158,99,86,55,74,128,12,802
106031120,90,110,121,133,95,117,25,84,16,789
106031121,765,1081,850,1139,776,1085,180,783,94,6764
106031122,1034,1194,2213,713,1127,961,1431,1019,195,9897
106031123,136,84,138,45,107,22,130,68,6,736
106031124,125,123,188,182,118,131,38,177,26,1106
106031125,949,1091,1651,881,699,366,323,446,130,6525
106041126,567,905,1910,574,688,533,1505,674,117,7464
106041127,279,140,368,122,141,66,616,264,33,2034
106041128,324,476,371,281,326,283,117,578,36,2792
106041129,649,244,295,183,189,105,123,422,42,2247
107011131,430,764,590,781,597,731,180,479,72,4628
107011132,66,133,161,186,78,30,110,74,9,849
107011133,322,347,707,57,282,40,1025,387,89,3263
107011134,947,986,2212,617,1128,469,1350,993,155,8862
107011545,137,319,232,270,147,124,120,206,33,1582
107011546,811,1387,1234,717,818,969,911,911,132,7901
107011547,49,54,81,92,38,46,12,36,4,418
107021135,9,11,18,8,4,0,16,3,4,63
107031136,194,588,291,511,256,278,95,218,25,2459
107031137,289,197,378,306,272,384,244,260,39,2355
107031138,324,517,424,473,388,307,93,306,38,2872
107031139,69,104,116,66,77,59,46,46,8,580
107031140,334,275,286,272,191,168,81,216,38,1860
