SA3_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
Queanbeyan		Contributing family workers	F	14
Queanbeyan		Contributing family workers	M	12
Queanbeyan		Employee	F	280
Queanbeyan		Employee	M	341
Queanbeyan		Owner managers of incorporated enterprises	F	24
Queanbeyan		Owner managers of incorporated enterprises	M	50
Queanbeyan		Owner managers of unincorporated enterprises	F	17
Queanbeyan		Owner managers of unincorporated enterprises	M	50
Queanbeyan		Status in employment not stated	F	12
Queanbeyan		Status in employment not stated	M	9
Queanbeyan	AUS	Contributing family workers	F	151
Queanbeyan	AUS	Contributing family workers	M	155
Queanbeyan	AUS	Employee	F	4082
Queanbeyan	AUS	Employee	M	5159
Queanbeyan	AUS	Owner managers of incorporated enterprises	F	271
Queanbeyan	AUS	Owner managers of incorporated enterprises	M	796
Queanbeyan	AUS	Owner managers of unincorporated enterprises	F	414
Queanbeyan	AUS	Owner managers of unincorporated enterprises	M	624
Queanbeyan	AUS	Status in employment not stated	F	36
Queanbeyan	AUS	Status in employment not stated	M	71
Queanbeyan	CAN	Employee	F	11
Queanbeyan	CAN	Employee	M	15
Queanbeyan	CHN	Employee	F	42
Queanbeyan	CHN	Employee	M	39
Queanbeyan	CHN	Owner managers of incorporated enterprises	F	3
Queanbeyan	CHN	Owner managers of incorporated enterprises	M	13
Queanbeyan	CHN	Owner managers of unincorporated enterprises	F	6
Queanbeyan	CHN	Owner managers of unincorporated enterprises	M	11
Queanbeyan	HRV	Employee	F	7
Queanbeyan	HRV	Employee	M	9
Queanbeyan	HRV	Owner managers of incorporated enterprises	M	5
Queanbeyan	HRV	Owner managers of unincorporated enterprises	M	4
Queanbeyan	EGY	Employee	M	4
Queanbeyan	FJI	Employee	F	19
Queanbeyan	FJI	Employee	M	18
Queanbeyan	FJI	Status in employment not stated	F	3
Queanbeyan	MKD	Employee	F	21
Queanbeyan	MKD	Employee	M	34
Queanbeyan	MKD	Owner managers of incorporated enterprises	F	3
Queanbeyan	MKD	Owner managers of incorporated enterprises	M	12
Queanbeyan	MKD	Owner managers of unincorporated enterprises	M	5
Queanbeyan	MKD	Status in employment not stated	M	3
Queanbeyan	DEU	Contributing family workers	M	5
Queanbeyan	DEU	Employee	F	21
Queanbeyan	DEU	Employee	M	20
Queanbeyan	DEU	Owner managers of incorporated enterprises	F	4
Queanbeyan	DEU	Owner managers of incorporated enterprises	M	6
Queanbeyan	DEU	Owner managers of unincorporated enterprises	F	3
Queanbeyan	DEU	Owner managers of unincorporated enterprises	M	9
Queanbeyan	GRC	Employee	M	7
Queanbeyan	GRC	Owner managers of incorporated enterprises	M	3
Queanbeyan	GRC	Owner managers of unincorporated enterprises	M	4
Queanbeyan	HKG	Employee	F	5
Queanbeyan	HKG	Employee	M	6
Queanbeyan	HKG	Owner managers of unincorporated enterprises	M	3
Queanbeyan	IND	Contributing family workers	F	3
Queanbeyan	IND	Employee	F	136
Queanbeyan	IND	Employee	M	180
Queanbeyan	IND	Owner managers of incorporated enterprises	F	4
Queanbeyan	IND	Owner managers of incorporated enterprises	M	21
Queanbeyan	IND	Owner managers of unincorporated enterprises	M	6
Queanbeyan	IND	Status in employment not stated	F	3
Queanbeyan	IND	Status in employment not stated	M	3
Queanbeyan	IDN	Employee	F	14
Queanbeyan	IRN	Employee	F	8
Queanbeyan	IRN	Employee	M	10
Queanbeyan	IRN	Owner managers of incorporated enterprises	M	3
Queanbeyan	IRQ	Employee	M	7
Queanbeyan	IRL	Employee	F	9
Queanbeyan	IRL	Employee	M	19
Queanbeyan	IRL	Owner managers of incorporated enterprises	F	3
Queanbeyan	IRL	Owner managers of incorporated enterprises	M	4
Queanbeyan	IRL	Owner managers of unincorporated enterprises	M	4
Queanbeyan	ITA	Employee	F	13
Queanbeyan	ITA	Employee	M	20
Queanbeyan	ITA	Owner managers of incorporated enterprises	M	5
Queanbeyan	ITA	Owner managers of unincorporated enterprises	F	5
Queanbeyan	ITA	Owner managers of unincorporated enterprises	M	9
Queanbeyan	JPN	Employee	M	4
Queanbeyan	LBN	Employee	M	6
Queanbeyan	MYS	Employee	F	23
Queanbeyan	MYS	Employee	M	9
Queanbeyan	MYS	Owner managers of incorporated enterprises	F	3
Queanbeyan	MYS	Owner managers of incorporated enterprises	M	3
Queanbeyan	MYS	Owner managers of unincorporated enterprises	M	8
Queanbeyan	MLT	Employee	F	3
Queanbeyan	MLT	Employee	M	3
Queanbeyan	MLT	Owner managers of unincorporated enterprises	M	3
Queanbeyan	NLD	Employee	F	8
Queanbeyan	NLD	Employee	M	13
Queanbeyan	NZL	Contributing family workers	F	3
Queanbeyan	NZL	Contributing family workers	M	3
Queanbeyan	NZL	Employee	F	72
Queanbeyan	NZL	Employee	M	145
Queanbeyan	NZL	Owner managers of incorporated enterprises	F	9
Queanbeyan	NZL	Owner managers of incorporated enterprises	M	20
Queanbeyan	NZL	Owner managers of unincorporated enterprises	F	12
Queanbeyan	NZL	Owner managers of unincorporated enterprises	M	10
Queanbeyan	PAK	Employee	F	9
Queanbeyan	PAK	Employee	M	34
Queanbeyan	PHL	Contributing family workers	F	5
Queanbeyan	PHL	Employee	F	77
Queanbeyan	PHL	Employee	M	70
Queanbeyan	PHL	Owner managers of incorporated enterprises	F	3
Queanbeyan	PHL	Owner managers of incorporated enterprises	M	3
Queanbeyan	POL	Employee	F	3
Queanbeyan	POL	Employee	M	12
Queanbeyan	SGP	Employee	F	5
Queanbeyan	SGP	Employee	M	12
Queanbeyan	SGP	Owner managers of incorporated enterprises	M	3
Queanbeyan	ZAF	Employee	F	22
Queanbeyan	ZAF	Employee	M	22
Queanbeyan	ZAF	Owner managers of incorporated enterprises	F	3
Queanbeyan	ZAF	Owner managers of incorporated enterprises	M	8
Queanbeyan	ZAF	Owner managers of unincorporated enterprises	F	3
Queanbeyan	ZAF	Owner managers of unincorporated enterprises	M	3
Queanbeyan	KOR	Employee	F	10
Queanbeyan	KOR	Employee	M	9
Queanbeyan	KOR	Owner managers of incorporated enterprises	M	8
Queanbeyan	LKA	Employee	F	12
Queanbeyan	LKA	Employee	M	34
Queanbeyan	THA	Employee	F	14
Queanbeyan	THA	Employee	M	7
Queanbeyan	THA	Owner managers of unincorporated enterprises	F	3
Queanbeyan	TUR	Employee	M	7
Queanbeyan	GBR	Contributing family workers	F	10
Queanbeyan	GBR	Contributing family workers	M	6
Queanbeyan	GBR	Employee	F	159
Queanbeyan	GBR	Employee	M	222
Queanbeyan	GBR	Owner managers of incorporated enterprises	F	15
Queanbeyan	GBR	Owner managers of incorporated enterprises	M	38
Queanbeyan	GBR	Owner managers of unincorporated enterprises	F	36
Queanbeyan	GBR	Owner managers of unincorporated enterprises	M	37
Queanbeyan	USA	Employee	F	27
Queanbeyan	USA	Employee	M	24
Queanbeyan	USA	Owner managers of incorporated enterprises	M	3
Queanbeyan	USA	Owner managers of unincorporated enterprises	M	9
Queanbeyan	VNM	Employee	F	15
Queanbeyan	VNM	Employee	M	16
Queanbeyan	VNM	Owner managers of incorporated enterprises	F	3
Queanbeyan	VNM	Owner managers of unincorporated enterprises	F	4
Queanbeyan	VNM	Owner managers of unincorporated enterprises	M	6
Queanbeyan	ZWE	Employee	F	12
Queanbeyan	ZWE	Employee	M	15
Snowy Mountains		Contributing family workers	F	12
Snowy Mountains		Contributing family workers	M	16
Snowy Mountains		Employee	F	207
Snowy Mountains		Employee	M	166
Snowy Mountains		Owner managers of incorporated enterprises	F	16
Snowy Mountains		Owner managers of incorporated enterprises	M	23
Snowy Mountains		Owner managers of unincorporated enterprises	F	22
Snowy Mountains		Owner managers of unincorporated enterprises	M	34
Snowy Mountains		Status in employment not stated	M	5
Snowy Mountains	AUS	Contributing family workers	F	143
Snowy Mountains	AUS	Contributing family workers	M	168
Snowy Mountains	AUS	Employee	F	3158
Snowy Mountains	AUS	Employee	M	3142
Snowy Mountains	AUS	Owner managers of incorporated enterprises	F	221
Snowy Mountains	AUS	Owner managers of incorporated enterprises	M	321
