SA3_NAME16	Age	LabourForceStatus	NeedsAssistance	workers
Queanbeyan	15-19		0	30
Queanbeyan	15-19	Employed (away from work)	0	29
Queanbeyan	15-19	Employed (full-time)		3
Queanbeyan	15-19	Employed (full-time)	0	250
Queanbeyan	15-19	Employed (part-time)		9
Queanbeyan	15-19	Employed (part-time)	0	718
Queanbeyan	15-19	Employed (part-time)	1	10
Queanbeyan	20-24		0	35
Queanbeyan	20-24	Employed (away from work)	0	35
Queanbeyan	20-24	Employed (full-time)		4
Queanbeyan	20-24	Employed (full-time)	0	827
Queanbeyan	20-24	Employed (full-time)	1	3
Queanbeyan	20-24	Employed (part-time)		3
Queanbeyan	20-24	Employed (part-time)	0	444
Queanbeyan	20-24	Employed (part-time)	1	8
Queanbeyan	25-29		0	24
Queanbeyan	25-29	Employed (away from work)	0	42
Queanbeyan	25-29	Employed (full-time)		14
Queanbeyan	25-29	Employed (full-time)	0	1162
Queanbeyan	25-29	Employed (full-time)	1	8
Queanbeyan	25-29	Employed (part-time)		5
Queanbeyan	25-29	Employed (part-time)	0	322
Queanbeyan	25-29	Employed (part-time)	1	8
Queanbeyan	30-34		0	31
Queanbeyan	30-34	Employed (away from work)	0	55
Queanbeyan	30-34	Employed (full-time)		11
Queanbeyan	30-34	Employed (full-time)	0	1087
Queanbeyan	30-34	Employed (full-time)	1	4
Queanbeyan	30-34	Employed (part-time)	0	338
Queanbeyan	30-34	Employed (part-time)	1	6
Queanbeyan	35-39		0	11
Queanbeyan	35-39	Employed (away from work)	0	43
Queanbeyan	35-39	Employed (full-time)		14
Queanbeyan	35-39	Employed (full-time)	0	1004
Queanbeyan	35-39	Employed (full-time)	1	5
Queanbeyan	35-39	Employed (part-time)		4
Queanbeyan	35-39	Employed (part-time)	0	305
Queanbeyan	40-44		0	22
Queanbeyan	40-44	Employed (away from work)	0	45
Queanbeyan	40-44	Employed (full-time)		8
Queanbeyan	40-44	Employed (full-time)	0	1108
Queanbeyan	40-44	Employed (part-time)		5
Queanbeyan	40-44	Employed (part-time)	0	422
Queanbeyan	45-49		0	31
Queanbeyan	45-49	Employed (away from work)	0	37
Queanbeyan	45-49	Employed (away from work)	1	3
Queanbeyan	45-49	Employed (full-time)		19
Queanbeyan	45-49	Employed (full-time)	0	1196
Queanbeyan	45-49	Employed (full-time)	1	12
Queanbeyan	45-49	Employed (part-time)		10
Queanbeyan	45-49	Employed (part-time)	0	386
Queanbeyan	45-49	Employed (part-time)	1	4
Queanbeyan	50-54			3
Queanbeyan	50-54		0	25
Queanbeyan	50-54	Employed (away from work)	0	42
Queanbeyan	50-54	Employed (full-time)		18
Queanbeyan	50-54	Employed (full-time)	0	1084
Queanbeyan	50-54	Employed (full-time)	1	3
Queanbeyan	50-54	Employed (part-time)		8
Queanbeyan	50-54	Employed (part-time)	0	358
Queanbeyan	50-54	Employed (part-time)	1	10
Queanbeyan	55-59			5
Queanbeyan	55-59		0	18
Queanbeyan	55-59	Employed (away from work)	0	42
Queanbeyan	55-59	Employed (away from work)	1	6
Queanbeyan	55-59	Employed (full-time)		7
Queanbeyan	55-59	Employed (full-time)	0	860
Queanbeyan	55-59	Employed (full-time)	1	6
Queanbeyan	55-59	Employed (part-time)		5
Queanbeyan	55-59	Employed (part-time)	0	392
Queanbeyan	55-59	Employed (part-time)	1	10
Queanbeyan	60-64		0	10
Queanbeyan	60-64	Employed (away from work)		3
Queanbeyan	60-64	Employed (away from work)	0	51
Queanbeyan	60-64	Employed (away from work)	1	3
Queanbeyan	60-64	Employed (full-time)		12
Queanbeyan	60-64	Employed (full-time)	0	530
Queanbeyan	60-64	Employed (full-time)	1	8
Queanbeyan	60-64	Employed (part-time)		3
Queanbeyan	60-64	Employed (part-time)	0	346
Queanbeyan	60-64	Employed (part-time)	1	12
Queanbeyan	65-69		0	4
Queanbeyan	65-69	Employed (away from work)	0	20
Queanbeyan	65-69	Employed (full-time)		7
Queanbeyan	65-69	Employed (full-time)	0	233
Queanbeyan	65-69	Employed (part-time)		3
Queanbeyan	65-69	Employed (part-time)	0	220
Queanbeyan	65-69	Employed (part-time)	1	6
Queanbeyan	70-74		0	3
Queanbeyan	70-74	Employed (away from work)	0	11
Queanbeyan	70-74	Employed (full-time)		6
Queanbeyan	70-74	Employed (full-time)	0	68
Queanbeyan	70-74	Employed (part-time)	0	113
Queanbeyan	70-74	Employed (part-time)	1	7
Queanbeyan	75+		0	7
Queanbeyan	75+	Employed (away from work)	0	6
Queanbeyan	75+	Employed (full-time)	0	46
Queanbeyan	75+	Employed (part-time)		3
Queanbeyan	75+	Employed (part-time)	0	61
Queanbeyan	75+	Employed (part-time)	1	6
Snowy Mountains	15-19		0	22
Snowy Mountains	15-19	Employed (away from work)	0	19
Snowy Mountains	15-19	Employed (full-time)	0	231
Snowy Mountains	15-19	Employed (part-time)		3
Snowy Mountains	15-19	Employed (part-time)	0	358
