SA3_NAME16	Age	LabourForceStatus	workers
Queanbeyan	15-19		27
Queanbeyan	15-19	Employed (away from work)	33
Queanbeyan	15-19	Employed (full-time)	254
Queanbeyan	15-19	Employed (part-time)	735
Queanbeyan	20-24		37
Queanbeyan	20-24	Employed (away from work)	36
Queanbeyan	20-24	Employed (full-time)	837
Queanbeyan	20-24	Employed (part-time)	454
Queanbeyan	25-29		25
Queanbeyan	25-29	Employed (away from work)	41
Queanbeyan	25-29	Employed (full-time)	1179
Queanbeyan	25-29	Employed (part-time)	342
Queanbeyan	30-34		36
Queanbeyan	30-34	Employed (away from work)	55
Queanbeyan	30-34	Employed (full-time)	1093
Queanbeyan	30-34	Employed (part-time)	343
Queanbeyan	35-39		17
Queanbeyan	35-39	Employed (away from work)	44
Queanbeyan	35-39	Employed (full-time)	1027
Queanbeyan	35-39	Employed (part-time)	314
Queanbeyan	40-44		23
Queanbeyan	40-44	Employed (away from work)	42
Queanbeyan	40-44	Employed (full-time)	1119
Queanbeyan	40-44	Employed (part-time)	424
Queanbeyan	45-49		30
Queanbeyan	45-49	Employed (away from work)	43
Queanbeyan	45-49	Employed (full-time)	1223
Queanbeyan	45-49	Employed (part-time)	396
Queanbeyan	50-54		23
Queanbeyan	50-54	Employed (away from work)	41
Queanbeyan	50-54	Employed (full-time)	1113
Queanbeyan	50-54	Employed (part-time)	369
Queanbeyan	55-59		24
Queanbeyan	55-59	Employed (away from work)	49
Queanbeyan	55-59	Employed (full-time)	879
Queanbeyan	55-59	Employed (part-time)	406
Queanbeyan	60-64		10
Queanbeyan	60-64	Employed (away from work)	56
Queanbeyan	60-64	Employed (full-time)	548
Queanbeyan	60-64	Employed (part-time)	358
Queanbeyan	65-69		5
Queanbeyan	65-69	Employed (away from work)	19
Queanbeyan	65-69	Employed (full-time)	241
Queanbeyan	65-69	Employed (part-time)	233
Queanbeyan	70-74		3
Queanbeyan	70-74	Employed (away from work)	11
Queanbeyan	70-74	Employed (full-time)	75
Queanbeyan	70-74	Employed (part-time)	121
Queanbeyan	75+		10
Queanbeyan	75+	Employed (away from work)	4
Queanbeyan	75+	Employed (full-time)	50
Queanbeyan	75+	Employed (part-time)	72
Snowy Mountains	15-19		22
Snowy Mountains	15-19	Employed (away from work)	19
Snowy Mountains	15-19	Employed (full-time)	230
Snowy Mountains	15-19	Employed (part-time)	369
Snowy Mountains	20-24		32
Snowy Mountains	20-24	Employed (away from work)	7
Snowy Mountains	20-24	Employed (full-time)	751
Snowy Mountains	20-24	Employed (part-time)	348
Snowy Mountains	25-29		26
Snowy Mountains	25-29	Employed (away from work)	24
