SA3_NAME16	Age	EmploymentStatus	Sex	workers
Queanbeyan	15-19		M	6
Queanbeyan	15-19	Contributing family workers	F	4
Queanbeyan	15-19	Contributing family workers	M	4
Queanbeyan	15-19	Employee	F	488
Queanbeyan	15-19	Employee	M	535
Queanbeyan	15-19	Owner managers of incorporated enterprises	M	4
Queanbeyan	15-19	Owner managers of unincorporated enterprises	F	3
Queanbeyan	20-24		F	3
Queanbeyan	20-24		M	7
Queanbeyan	20-24	Employee	F	509
Queanbeyan	20-24	Employee	M	797
Queanbeyan	20-24	Owner managers of incorporated enterprises	M	18
Queanbeyan	20-24	Owner managers of unincorporated enterprises	F	8
Queanbeyan	20-24	Owner managers of unincorporated enterprises	M	24
Queanbeyan	25-29		M	3
Queanbeyan	25-29	Contributing family workers	F	3
Queanbeyan	25-29	Contributing family workers	M	7
Queanbeyan	25-29	Employee	F	546
Queanbeyan	25-29	Employee	M	905
Queanbeyan	25-29	Owner managers of incorporated enterprises	F	5
Queanbeyan	25-29	Owner managers of incorporated enterprises	M	54
Queanbeyan	25-29	Owner managers of unincorporated enterprises	F	19
Queanbeyan	25-29	Owner managers of unincorporated enterprises	M	41
Queanbeyan	30-34		F	5
Queanbeyan	30-34		M	9
Queanbeyan	30-34	Contributing family workers	F	9
Queanbeyan	30-34	Contributing family workers	M	8
Queanbeyan	30-34	Employee	F	482
Queanbeyan	30-34	Employee	M	806
Queanbeyan	30-34	Owner managers of incorporated enterprises	F	21
Queanbeyan	30-34	Owner managers of incorporated enterprises	M	89
Queanbeyan	30-34	Owner managers of unincorporated enterprises	F	41
Queanbeyan	30-34	Owner managers of unincorporated enterprises	M	59
Queanbeyan	35-39		F	6
Queanbeyan	35-39		M	7
Queanbeyan	35-39	Contributing family workers	F	17
Queanbeyan	35-39	Contributing family workers	M	4
Queanbeyan	35-39	Employee	F	478
Queanbeyan	35-39	Employee	M	639
Queanbeyan	35-39	Owner managers of incorporated enterprises	F	37
Queanbeyan	35-39	Owner managers of incorporated enterprises	M	101
Queanbeyan	35-39	Owner managers of unincorporated enterprises	F	48
Queanbeyan	35-39	Owner managers of unincorporated enterprises	M	62
Queanbeyan	40-44		F	5
Queanbeyan	40-44		M	3
Queanbeyan	40-44	Contributing family workers	F	17
Queanbeyan	40-44	Contributing family workers	M	9
Queanbeyan	40-44	Employee	F	576
Queanbeyan	40-44	Employee	M	679
Queanbeyan	40-44	Owner managers of incorporated enterprises	F	45
Queanbeyan	40-44	Owner managers of incorporated enterprises	M	151
Queanbeyan	40-44	Owner managers of unincorporated enterprises	F	57
Queanbeyan	40-44	Owner managers of unincorporated enterprises	M	69
Queanbeyan	45-49		F	12
Queanbeyan	45-49		M	12
Queanbeyan	45-49	Contributing family workers	F	21
Queanbeyan	45-49	Contributing family workers	M	13
Queanbeyan	45-49	Employee	F	569
Queanbeyan	45-49	Employee	M	648
Queanbeyan	45-49	Owner managers of incorporated enterprises	F	77
Queanbeyan	45-49	Owner managers of incorporated enterprises	M	146
Queanbeyan	45-49	Owner managers of unincorporated enterprises	F	85
Queanbeyan	45-49	Owner managers of unincorporated enterprises	M	114
Queanbeyan	50-54		F	9
Queanbeyan	50-54		M	16
Queanbeyan	50-54	Contributing family workers	F	12
Queanbeyan	50-54	Contributing family workers	M	18
Queanbeyan	50-54	Employee	F	553
Queanbeyan	50-54	Employee	M	560
Queanbeyan	50-54	Owner managers of incorporated enterprises	F	60
Queanbeyan	50-54	Owner managers of incorporated enterprises	M	137
Queanbeyan	50-54	Owner managers of unincorporated enterprises	F	77
Queanbeyan	50-54	Owner managers of unincorporated enterprises	M	100
Queanbeyan	55-59		F	5
Queanbeyan	55-59		M	7
Queanbeyan	55-59	Contributing family workers	F	28
Queanbeyan	55-59	Contributing family workers	M	25
Queanbeyan	55-59	Employee	F	480
Queanbeyan	55-59	Employee	M	483
Queanbeyan	55-59	Owner managers of incorporated enterprises	F	48
Queanbeyan	55-59	Owner managers of incorporated enterprises	M	131
Queanbeyan	55-59	Owner managers of unincorporated enterprises	F	63
Queanbeyan	55-59	Owner managers of unincorporated enterprises	M	88
Queanbeyan	60-64		F	3
Queanbeyan	60-64		M	9
Queanbeyan	60-64	Contributing family workers	F	24
Queanbeyan	60-64	Contributing family workers	M	29
Queanbeyan	60-64	Employee	F	318
Queanbeyan	60-64	Employee	M	310
Queanbeyan	60-64	Owner managers of incorporated enterprises	F	29
Queanbeyan	60-64	Owner managers of incorporated enterprises	M	96
Queanbeyan	60-64	Owner managers of unincorporated enterprises	F	57
Queanbeyan	60-64	Owner managers of unincorporated enterprises	M	100
Queanbeyan	65-69		F	5
Queanbeyan	65-69		M	12
Queanbeyan	65-69	Contributing family workers	F	20
Queanbeyan	65-69	Contributing family workers	M	26
Queanbeyan	65-69	Employee	F	101
Queanbeyan	65-69	Employee	M	147
Queanbeyan	65-69	Owner managers of incorporated enterprises	F	21
Queanbeyan	65-69	Owner managers of incorporated enterprises	M	50
Queanbeyan	65-69	Owner managers of unincorporated enterprises	F	39
Queanbeyan	65-69	Owner managers of unincorporated enterprises	M	72
Queanbeyan	70-74		F	5
Queanbeyan	70-74	Contributing family workers	F	18
Queanbeyan	70-74	Contributing family workers	M	25
Queanbeyan	70-74	Employee	F	33
Queanbeyan	70-74	Employee	M	40
Queanbeyan	70-74	Owner managers of incorporated enterprises	F	8
Queanbeyan	70-74	Owner managers of incorporated enterprises	M	26
Queanbeyan	70-74	Owner managers of unincorporated enterprises	F	19
Queanbeyan	70-74	Owner managers of unincorporated enterprises	M	39
Queanbeyan	75+		F	3
Queanbeyan	75+		M	3
Queanbeyan	75+	Contributing family workers	F	12
Queanbeyan	75+	Contributing family workers	M	30
Queanbeyan	75+	Employee	F	7
Queanbeyan	75+	Employee	M	17
Queanbeyan	75+	Owner managers of incorporated enterprises	F	3
Queanbeyan	75+	Owner managers of incorporated enterprises	M	14
Queanbeyan	75+	Owner managers of unincorporated enterprises	F	12
Queanbeyan	75+	Owner managers of unincorporated enterprises	M	42
Snowy Mountains	15-19		F	3
Snowy Mountains	15-19		M	3
Snowy Mountains	15-19	Contributing family workers	M	3
Snowy Mountains	15-19	Employee	F	312
Snowy Mountains	15-19	Employee	M	308
Snowy Mountains	15-19	Owner managers of incorporated enterprises	F	3
Snowy Mountains	20-24		F	3
Snowy Mountains	20-24		M	9
Snowy Mountains	20-24	Contributing family workers	F	4
Snowy Mountains	20-24	Contributing family workers	M	5
Snowy Mountains	20-24	Employee	F	523
Snowy Mountains	20-24	Employee	M	580
Snowy Mountains	20-24	Owner managers of incorporated enterprises	F	7
Snowy Mountains	20-24	Owner managers of incorporated enterprises	M	7
Snowy Mountains	20-24	Owner managers of unincorporated enterprises	F	3
Snowy Mountains	20-24	Owner managers of unincorporated enterprises	M	13
Snowy Mountains	25-29		F	4
Snowy Mountains	25-29		M	3
Snowy Mountains	25-29	Contributing family workers	F	11
Snowy Mountains	25-29	Contributing family workers	M	4
Snowy Mountains	25-29	Employee	F	446
Snowy Mountains	25-29	Employee	M	513
Snowy Mountains	25-29	Owner managers of incorporated enterprises	F	3
Snowy Mountains	25-29	Owner managers of incorporated enterprises	M	4
Snowy Mountains	25-29	Owner managers of unincorporated enterprises	F	16
Snowy Mountains	25-29	Owner managers of unincorporated enterprises	M	20
Snowy Mountains	30-34		F	3
Snowy Mountains	30-34		M	3
Snowy Mountains	30-34	Contributing family workers	F	3
Snowy Mountains	30-34	Employee	F	341
Snowy Mountains	30-34	Employee	M	339
Snowy Mountains	30-34	Owner managers of incorporated enterprises	F	17
Snowy Mountains	30-34	Owner managers of incorporated enterprises	M	12
Snowy Mountains	30-34	Owner managers of unincorporated enterprises	F	16
Snowy Mountains	30-34	Owner managers of unincorporated enterprises	M	48
Snowy Mountains	35-39		F	3
Snowy Mountains	35-39		M	4
Snowy Mountains	35-39	Contributing family workers	F	11
Snowy Mountains	35-39	Contributing family workers	M	10
Snowy Mountains	35-39	Employee	F	290
Snowy Mountains	35-39	Employee	M	260
Snowy Mountains	35-39	Owner managers of incorporated enterprises	F	22
Snowy Mountains	35-39	Owner managers of incorporated enterprises	M	31
Snowy Mountains	35-39	Owner managers of unincorporated enterprises	F	43
Snowy Mountains	35-39	Owner managers of unincorporated enterprises	M	33
Snowy Mountains	40-44		F	3
Snowy Mountains	40-44		M	4
Snowy Mountains	40-44	Contributing family workers	F	18
Snowy Mountains	40-44	Contributing family workers	M	14
Snowy Mountains	40-44	Employee	F	353
Snowy Mountains	40-44	Employee	M	345
Snowy Mountains	40-44	Owner managers of incorporated enterprises	F	37
Snowy Mountains	40-44	Owner managers of incorporated enterprises	M	47
Snowy Mountains	40-44	Owner managers of unincorporated enterprises	F	51
Snowy Mountains	40-44	Owner managers of unincorporated enterprises	M	64
Snowy Mountains	45-49		M	8
Snowy Mountains	45-49	Contributing family workers	F	26
Snowy Mountains	45-49	Contributing family workers	M	10
Snowy Mountains	45-49	Employee	F	409
Snowy Mountains	45-49	Employee	M	327
Snowy Mountains	45-49	Owner managers of incorporated enterprises	F	42
Snowy Mountains	45-49	Owner managers of incorporated enterprises	M	56
Snowy Mountains	45-49	Owner managers of unincorporated enterprises	F	54
Snowy Mountains	45-49	Owner managers of unincorporated enterprises	M	80
Snowy Mountains	50-54		F	3
Snowy Mountains	50-54		M	3
Snowy Mountains	50-54	Contributing family workers	F	14
Snowy Mountains	50-54	Contributing family workers	M	19
Snowy Mountains	50-54	Employee	F	429
Snowy Mountains	50-54	Employee	M	348
Snowy Mountains	50-54	Owner managers of incorporated enterprises	F	48
Snowy Mountains	50-54	Owner managers of incorporated enterprises	M	55
Snowy Mountains	50-54	Owner managers of unincorporated enterprises	F	57
Snowy Mountains	50-54	Owner managers of unincorporated enterprises	M	84
Snowy Mountains	55-59		F	3
Snowy Mountains	55-59		M	8
Snowy Mountains	55-59	Contributing family workers	F	21
Snowy Mountains	55-59	Contributing family workers	M	24
Snowy Mountains	55-59	Employee	F	342
Snowy Mountains	55-59	Employee	M	323
Snowy Mountains	55-59	Owner managers of incorporated enterprises	F	29
Snowy Mountains	55-59	Owner managers of incorporated enterprises	M	70
Snowy Mountains	55-59	Owner managers of unincorporated enterprises	F	53
Snowy Mountains	55-59	Owner managers of unincorporated enterprises	M	93
Snowy Mountains	60-64		F	4
Snowy Mountains	60-64		M	14
Snowy Mountains	60-64	Contributing family workers	F	16
Snowy Mountains	60-64	Contributing family workers	M	24
Snowy Mountains	60-64	Employee	F	202
Snowy Mountains	60-64	Employee	M	225
Snowy Mountains	60-64	Owner managers of incorporated enterprises	F	25
Snowy Mountains	60-64	Owner managers of incorporated enterprises	M	50
Snowy Mountains	60-64	Owner managers of unincorporated enterprises	F	58
Snowy Mountains	60-64	Owner managers of unincorporated enterprises	M	77
Snowy Mountains	65-69		F	8
Snowy Mountains	65-69		M	5
Snowy Mountains	65-69	Contributing family workers	F	22
Snowy Mountains	65-69	Contributing family workers	M	20
Snowy Mountains	65-69	Employee	F	98
Snowy Mountains	65-69	Employee	M	79
