SA3_NAME16	Age	ModeTravelToWork	NumberModes	workers
Queanbeyan	15-24	Bicycle	1	3
Queanbeyan	15-24	Bus	1	26
Queanbeyan	15-24	Bus and car as driver	2	3
Queanbeyan	15-24	Bus and car as passenger	2	4
Queanbeyan	15-24	Car as driver	1	1462
Queanbeyan	15-24	Car as passenger	1	335
Queanbeyan	15-24	Did not go to work		354
Queanbeyan	15-24	Method of travel not stated		32
Queanbeyan	15-24	Motorbike scooter	1	15
Queanbeyan	15-24	(Other)	1	9
Queanbeyan	15-24	Other two methods	2	14
Queanbeyan	15-24	Taxi	1	3
Queanbeyan	15-24	Tram includes light rail	1	4
Queanbeyan	15-24	Truck	1	18
Queanbeyan	15-24	Walked only	1	110
Queanbeyan	15-24	Worked at home		20
Queanbeyan	25-34	Bicycle	1	14
Queanbeyan	25-34	Bus	1	25
Queanbeyan	25-34	Bus and car as passenger	2	3
Queanbeyan	25-34	Bus and two other methods excludes train	3	3
Queanbeyan	25-34	Car as driver	1	2296
Queanbeyan	25-34	Car as passenger	1	172
Queanbeyan	25-34	Did not go to work		228
Queanbeyan	25-34	Method of travel not stated		33
Queanbeyan	25-34	Motorbike scooter	1	14
Queanbeyan	25-34	(Other)	1	9
Queanbeyan	25-34	Other two methods	2	21
Queanbeyan	25-34	Taxi	1	12
Queanbeyan	25-34	Truck	1	40
Queanbeyan	25-34	Walked only	1	144
Queanbeyan	25-34	Worked at home		107
Queanbeyan	35-44	Bicycle	1	8
Queanbeyan	35-44	Bus	1	9
Queanbeyan	35-44	Car as driver	1	2254
Queanbeyan	35-44	Car as passenger	1	105
Queanbeyan	35-44	Did not go to work		213
Queanbeyan	35-44	Ferry	1	3
Queanbeyan	35-44	Method of travel not stated		29
Queanbeyan	35-44	Motorbike scooter	1	14
Queanbeyan	35-44	(Other)	1	17
Queanbeyan	35-44	Other two methods	2	14
Queanbeyan	35-44	Train	1	4
Queanbeyan	35-44	Truck	1	40
Queanbeyan	35-44	Walked only	1	99
Queanbeyan	35-44	Worked at home		194
Queanbeyan	45-54	Bicycle	1	18
Queanbeyan	45-54	Bus	1	12
Queanbeyan	45-54	Bus and car as passenger	2	4
Queanbeyan	45-54	Car as driver	1	2386
Queanbeyan	45-54	Car as passenger	1	78
Queanbeyan	45-54	Did not go to work		215
Queanbeyan	45-54	Ferry	1	3
Queanbeyan	45-54	Method of travel not stated		28
Queanbeyan	45-54	Motorbike scooter	1	11
Queanbeyan	45-54	(Other)	1	32
Queanbeyan	45-54	Other two methods	2	19
Queanbeyan	45-54	Train and car as driver	2	3
Queanbeyan	45-54	Truck	1	48
Queanbeyan	45-54	Walked only	1	122
Queanbeyan	45-54	Worked at home		259
Queanbeyan	55-64	Bicycle	1	11
Queanbeyan	55-64	Bus	1	6
Queanbeyan	55-64	Bus and car as driver	2	4
Queanbeyan	55-64	Car as driver	1	1554
Queanbeyan	55-64	Car as passenger	1	65
Queanbeyan	55-64	Did not go to work		209
Queanbeyan	55-64	Method of travel not stated		25
Queanbeyan	55-64	Motorbike scooter	1	8
Queanbeyan	55-64	(Other)	1	18
Queanbeyan	55-64	Other two methods	2	13
Queanbeyan	55-64	Taxi	1	6
Queanbeyan	55-64	Truck	1	45
Queanbeyan	55-64	Walked only	1	118
Queanbeyan	55-64	Worked at home		245
Queanbeyan	65-74	Bus	1	7
Queanbeyan	65-74	Car as driver	1	348
Queanbeyan	65-74	Car as passenger	1	21
Queanbeyan	65-74	Did not go to work		80
Queanbeyan	65-74	Method of travel not stated		6
Queanbeyan	65-74	(Other)	1	8
Queanbeyan	65-74	Taxi	1	3
Queanbeyan	65-74	Truck	1	19
Queanbeyan	65-74	Walked only	1	37
Queanbeyan	65-74	Worked at home		174
Queanbeyan	75+	Car as driver	1	42
Queanbeyan	75+	Car as passenger	1	3
Queanbeyan	75+	Did not go to work		16
Queanbeyan	75+	Method of travel not stated		7
Queanbeyan	75+	(Other)	1	5
Queanbeyan	75+	Truck	1	3
Queanbeyan	75+	Walked only	1	11
Queanbeyan	75+	Worked at home		51
Snowy Mountains	15-24	Bicycle	1	7
Snowy Mountains	15-24	Bus	1	21
Snowy Mountains	15-24	Bus and car as passenger	2	3
Snowy Mountains	15-24	Car as driver	1	746
Snowy Mountains	15-24	Car as passenger	1	287
Snowy Mountains	15-24	Did not go to work		197
Snowy Mountains	15-24	Method of travel not stated		26
Snowy Mountains	15-24	Motorbike scooter	1	3
Snowy Mountains	15-24	(Other)	1	27
Snowy Mountains	15-24	Other three methods	3	3
Snowy Mountains	15-24	Other two methods	2	23
Snowy Mountains	15-24	Taxi	1	4
Snowy Mountains	15-24	Train	1	15
Snowy Mountains	15-24	Train and bus	2	3
