SA3_NAME16	Age	EmploymentStatus	workers
Queanbeyan	15-19	Contributing family workers	13
Queanbeyan	15-19	Employee	1024
Queanbeyan	15-19	Owner managers of incorporated enterprises	3
Queanbeyan	15-19	Owner managers of unincorporated enterprises	5
Queanbeyan	15-19	Status in employment not stated	6
Queanbeyan	20-24	Contributing family workers	5
Queanbeyan	20-24	Employee	1304
Queanbeyan	20-24	Owner managers of incorporated enterprises	19
Queanbeyan	20-24	Owner managers of unincorporated enterprises	29
Queanbeyan	20-24	Status in employment not stated	5
Queanbeyan	25-29	Contributing family workers	8
Queanbeyan	25-29	Employee	1457
Queanbeyan	25-29	Owner managers of incorporated enterprises	58
Queanbeyan	25-29	Owner managers of unincorporated enterprises	63
Queanbeyan	25-29	Status in employment not stated	3
Queanbeyan	30-34	Contributing family workers	19
Queanbeyan	30-34	Employee	1281
Queanbeyan	30-34	Owner managers of incorporated enterprises	113
Queanbeyan	30-34	Owner managers of unincorporated enterprises	103
Queanbeyan	30-34	Status in employment not stated	11
Queanbeyan	35-39	Contributing family workers	20
Queanbeyan	35-39	Employee	1116
Queanbeyan	35-39	Owner managers of incorporated enterprises	137
Queanbeyan	35-39	Owner managers of unincorporated enterprises	109
Queanbeyan	35-39	Status in employment not stated	15
Queanbeyan	40-44	Contributing family workers	27
Queanbeyan	40-44	Employee	1257
Queanbeyan	40-44	Owner managers of incorporated enterprises	195
Queanbeyan	40-44	Owner managers of unincorporated enterprises	121
Queanbeyan	40-44	Status in employment not stated	8
Queanbeyan	45-49	Contributing family workers	39
Queanbeyan	45-49	Employee	1211
Queanbeyan	45-49	Owner managers of incorporated enterprises	216
Queanbeyan	45-49	Owner managers of unincorporated enterprises	198
Queanbeyan	45-49	Status in employment not stated	22
Queanbeyan	50-54	Contributing family workers	32
Queanbeyan	50-54	Employee	1114
Queanbeyan	50-54	Owner managers of incorporated enterprises	201
Queanbeyan	50-54	Owner managers of unincorporated enterprises	182
Queanbeyan	50-54	Status in employment not stated	20
Queanbeyan	55-59	Contributing family workers	49
Queanbeyan	55-59	Employee	960
Queanbeyan	55-59	Owner managers of incorporated enterprises	173
Queanbeyan	55-59	Owner managers of unincorporated enterprises	154
Queanbeyan	55-59	Status in employment not stated	15
Queanbeyan	60-64	Contributing family workers	52
Queanbeyan	60-64	Employee	629
Queanbeyan	60-64	Owner managers of incorporated enterprises	118
Queanbeyan	60-64	Owner managers of unincorporated enterprises	154
Queanbeyan	60-64	Status in employment not stated	17
Queanbeyan	65-69	Contributing family workers	49
Queanbeyan	65-69	Employee	252
Queanbeyan	65-69	Owner managers of incorporated enterprises	73
Queanbeyan	65-69	Owner managers of unincorporated enterprises	105
Queanbeyan	65-69	Status in employment not stated	18
Queanbeyan	70-74	Contributing family workers	42
Queanbeyan	70-74	Employee	75
Queanbeyan	70-74	Owner managers of incorporated enterprises	32
Queanbeyan	70-74	Owner managers of unincorporated enterprises	57
Queanbeyan	70-74	Status in employment not stated	3
Queanbeyan	75+	Contributing family workers	45
Queanbeyan	75+	Employee	25
Queanbeyan	75+	Owner managers of incorporated enterprises	14
Queanbeyan	75+	Owner managers of unincorporated enterprises	48
Queanbeyan	75+	Status in employment not stated	3
Snowy Mountains	15-19	Contributing family workers	3
Snowy Mountains	15-19	Employee	621
Snowy Mountains	15-19	Owner managers of incorporated enterprises	3
Snowy Mountains	15-19	Owner managers of unincorporated enterprises	3
Snowy Mountains	15-19	Status in employment not stated	7
Snowy Mountains	20-24	Contributing family workers	9
Snowy Mountains	20-24	Employee	1101
Snowy Mountains	20-24	Owner managers of incorporated enterprises	10
Snowy Mountains	20-24	Owner managers of unincorporated enterprises	15
Snowy Mountains	20-24	Status in employment not stated	13
Snowy Mountains	25-29	Contributing family workers	11
Snowy Mountains	25-29	Employee	960
Snowy Mountains	25-29	Owner managers of incorporated enterprises	10
Snowy Mountains	25-29	Owner managers of unincorporated enterprises	32
Snowy Mountains	25-29	Status in employment not stated	7
Snowy Mountains	30-34	Contributing family workers	9
Snowy Mountains	30-34	Employee	687
Snowy Mountains	30-34	Owner managers of incorporated enterprises	29
Snowy Mountains	30-34	Owner managers of unincorporated enterprises	58
Snowy Mountains	30-34	Status in employment not stated	7
Snowy Mountains	35-39	Contributing family workers	23
Snowy Mountains	35-39	Employee	551
Snowy Mountains	35-39	Owner managers of incorporated enterprises	54
Snowy Mountains	35-39	Owner managers of unincorporated enterprises	73
Snowy Mountains	35-39	Status in employment not stated	3
Snowy Mountains	40-44	Contributing family workers	32
Snowy Mountains	40-44	Employee	696
Snowy Mountains	40-44	Owner managers of incorporated enterprises	84
Snowy Mountains	40-44	Owner managers of unincorporated enterprises	114
Snowy Mountains	40-44	Status in employment not stated	3
Snowy Mountains	45-49	Contributing family workers	33
Snowy Mountains	45-49	Employee	738
Snowy Mountains	45-49	Owner managers of incorporated enterprises	102
Snowy Mountains	45-49	Owner managers of unincorporated enterprises	140
Snowy Mountains	45-49	Status in employment not stated	8
Snowy Mountains	50-54	Contributing family workers	35
Snowy Mountains	50-54	Employee	778
Snowy Mountains	50-54	Owner managers of incorporated enterprises	103
Snowy Mountains	50-54	Owner managers of unincorporated enterprises	138
Snowy Mountains	50-54	Status in employment not stated	11
Snowy Mountains	55-59	Contributing family workers	38
Snowy Mountains	55-59	Employee	667
Snowy Mountains	55-59	Owner managers of incorporated enterprises	104
Snowy Mountains	55-59	Owner managers of unincorporated enterprises	140
Snowy Mountains	55-59	Status in employment not stated	9
Snowy Mountains	60-64	Contributing family workers	39
Snowy Mountains	60-64	Employee	423
Snowy Mountains	60-64	Owner managers of incorporated enterprises	69
Snowy Mountains	60-64	Owner managers of unincorporated enterprises	135
