SA3_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
Queanbeyan	Bicycle	1	Clerical and administrative workers	3
Queanbeyan	Bicycle	1	Community and personal service workers	3
Queanbeyan	Bicycle	1	Labourers	3
Queanbeyan	Bicycle	1	Machinery operators and drivers	3
Queanbeyan	Bicycle	1	Managers	8
Queanbeyan	Bicycle	1	Professionals	19
Queanbeyan	Bicycle	1	Sales workers	3
Queanbeyan	Bicycle	1	Technicians and trades workers	6
Queanbeyan	Bus	1	Clerical and administrative workers	12
Queanbeyan	Bus	1	Community and personal service workers	11
Queanbeyan	Bus	1	Labourers	5
Queanbeyan	Bus	1	Machinery operators and drivers	10
Queanbeyan	Bus	1	Managers	6
Queanbeyan	Bus	1	Professionals	9
Queanbeyan	Bus	1	Sales workers	17
Queanbeyan	Bus	1	Technicians and trades workers	7
Queanbeyan	Bus and car as driver	2		3
Queanbeyan	Bus and car as passenger	2	Professionals	3
Queanbeyan	Bus and car as passenger	2	Sales workers	3
Queanbeyan	Car as driver	1		165
Queanbeyan	Car as driver	1	Clerical and administrative workers	1400
Queanbeyan	Car as driver	1	Community and personal service workers	1011
Queanbeyan	Car as driver	1	Labourers	865
Queanbeyan	Car as driver	1	Machinery operators and drivers	826
Queanbeyan	Car as driver	1	Managers	1495
Queanbeyan	Car as driver	1	Professionals	1599
Queanbeyan	Car as driver	1	Sales workers	794
Queanbeyan	Car as driver	1	Technicians and trades workers	2186
Queanbeyan	Car as passenger	1		12
Queanbeyan	Car as passenger	1	Clerical and administrative workers	73
Queanbeyan	Car as passenger	1	Community and personal service workers	128
Queanbeyan	Car as passenger	1	Labourers	151
Queanbeyan	Car as passenger	1	Machinery operators and drivers	50
Queanbeyan	Car as passenger	1	Managers	50
Queanbeyan	Car as passenger	1	Professionals	75
Queanbeyan	Car as passenger	1	Sales workers	151
Queanbeyan	Car as passenger	1	Technicians and trades workers	95
Queanbeyan	Did not go to work			27
Queanbeyan	Did not go to work		Clerical and administrative workers	169
Queanbeyan	Did not go to work		Community and personal service workers	221
Queanbeyan	Did not go to work		Labourers	162
Queanbeyan	Did not go to work		Machinery operators and drivers	58
Queanbeyan	Did not go to work		Managers	139
Queanbeyan	Did not go to work		Professionals	203
Queanbeyan	Did not go to work		Sales workers	220
Queanbeyan	Did not go to work		Technicians and trades workers	117
Queanbeyan	Method of travel not stated			42
Queanbeyan	Method of travel not stated		Clerical and administrative workers	15
Queanbeyan	Method of travel not stated		Community and personal service workers	13
Queanbeyan	Method of travel not stated		Labourers	25
Queanbeyan	Method of travel not stated		Machinery operators and drivers	16
Queanbeyan	Method of travel not stated		Managers	15
Queanbeyan	Method of travel not stated		Professionals	12
Queanbeyan	Method of travel not stated		Sales workers	4
Queanbeyan	Method of travel not stated		Technicians and trades workers	15
Queanbeyan	Motorbike scooter	1	Clerical and administrative workers	9
Queanbeyan	Motorbike scooter	1	Community and personal service workers	9
Queanbeyan	Motorbike scooter	1	Labourers	3
Queanbeyan	Motorbike scooter	1	Machinery operators and drivers	6
Queanbeyan	Motorbike scooter	1	Managers	12
Queanbeyan	Motorbike scooter	1	Professionals	4
Queanbeyan	Motorbike scooter	1	Sales workers	7
Queanbeyan	Motorbike scooter	1	Technicians and trades workers	19
Queanbeyan	(Other)	1		3
Queanbeyan	(Other)	1	Clerical and administrative workers	18
Queanbeyan	(Other)	1	Community and personal service workers	11
Queanbeyan	(Other)	1	Labourers	12
Queanbeyan	(Other)	1	Machinery operators and drivers	3
Queanbeyan	(Other)	1	Managers	26
Queanbeyan	(Other)	1	Professionals	13
Queanbeyan	(Other)	1	Sales workers	3
Queanbeyan	(Other)	1	Technicians and trades workers	10
Queanbeyan	Other three methods	3	Managers	3
Queanbeyan	Other two methods	2	Clerical and administrative workers	10
Queanbeyan	Other two methods	2	Community and personal service workers	6
Queanbeyan	Other two methods	2	Labourers	12
Queanbeyan	Other two methods	2	Machinery operators and drivers	6
Queanbeyan	Other two methods	2	Managers	21
Queanbeyan	Other two methods	2	Professionals	11
Queanbeyan	Other two methods	2	Sales workers	9
Queanbeyan	Other two methods	2	Technicians and trades workers	9
Queanbeyan	Taxi	1	Clerical and administrative workers	3
Queanbeyan	Taxi	1	Community and personal service workers	4
Queanbeyan	Taxi	1	Labourers	3
Queanbeyan	Taxi	1	Machinery operators and drivers	6
Queanbeyan	Taxi	1	Managers	3
Queanbeyan	Taxi	1	Sales workers	3
Queanbeyan	Train and car as driver	2	Technicians and trades workers	3
Queanbeyan	Truck	1		3
Queanbeyan	Truck	1	Clerical and administrative workers	4
Queanbeyan	Truck	1	Labourers	31
Queanbeyan	Truck	1	Machinery operators and drivers	71
Queanbeyan	Truck	1	Managers	42
Queanbeyan	Truck	1	Sales workers	3
Queanbeyan	Truck	1	Technicians and trades workers	51
Queanbeyan	Walked only	1		7
Queanbeyan	Walked only	1	Clerical and administrative workers	69
Queanbeyan	Walked only	1	Community and personal service workers	107
Queanbeyan	Walked only	1	Labourers	75
Queanbeyan	Walked only	1	Machinery operators and drivers	29
Queanbeyan	Walked only	1	Managers	111
Queanbeyan	Walked only	1	Professionals	91
Queanbeyan	Walked only	1	Sales workers	95
Queanbeyan	Walked only	1	Technicians and trades workers	68
Queanbeyan	Worked at home			7
Queanbeyan	Worked at home		Clerical and administrative workers	205
Queanbeyan	Worked at home		Community and personal service workers	81
Queanbeyan	Worked at home		Labourers	25
Queanbeyan	Worked at home		Machinery operators and drivers	7
Queanbeyan	Worked at home		Managers	314
