SA4_NAME16	CountryOfBirth	EmploymentStatus	Sex	workers
Capital Region		Contributing family workers	F	73
Capital Region		Contributing family workers	M	67
Capital Region		Employee	F	1249
Capital Region		Employee	M	1131
Capital Region		Owner managers of incorporated enterprises	F	76
Capital Region		Owner managers of incorporated enterprises	M	149
Capital Region		Owner managers of unincorporated enterprises	F	147
Capital Region		Owner managers of unincorporated enterprises	M	232
Capital Region		Status in employment not stated	F	38
Capital Region		Status in employment not stated	M	47
Capital Region	AUS	Contributing family workers	F	1099
Capital Region	AUS	Contributing family workers	M	1147
Capital Region	AUS	Employee	F	24775
Capital Region	AUS	Employee	M	22901
Capital Region	AUS	Owner managers of incorporated enterprises	F	1403
Capital Region	AUS	Owner managers of incorporated enterprises	M	3069
Capital Region	AUS	Owner managers of unincorporated enterprises	F	2563
Capital Region	AUS	Owner managers of unincorporated enterprises	M	4408
Capital Region	AUS	Status in employment not stated	F	339
Capital Region	AUS	Status in employment not stated	M	448
Capital Region	CAN	Contributing family workers	F	3
Capital Region	CAN	Employee	F	67
Capital Region	CAN	Employee	M	51
Capital Region	CAN	Owner managers of incorporated enterprises	F	8
Capital Region	CAN	Owner managers of incorporated enterprises	M	8
Capital Region	CAN	Owner managers of unincorporated enterprises	F	3
Capital Region	CAN	Owner managers of unincorporated enterprises	M	9
Capital Region	CHN	Contributing family workers	F	12
Capital Region	CHN	Contributing family workers	M	3
Capital Region	CHN	Employee	F	95
Capital Region	CHN	Employee	M	85
Capital Region	CHN	Owner managers of incorporated enterprises	F	11
Capital Region	CHN	Owner managers of incorporated enterprises	M	35
Capital Region	CHN	Owner managers of unincorporated enterprises	F	22
Capital Region	CHN	Owner managers of unincorporated enterprises	M	22
Capital Region	CHN	Status in employment not stated	F	3
Capital Region	CHN	Status in employment not stated	M	6
Capital Region	HRV	Employee	F	10
Capital Region	HRV	Employee	M	19
Capital Region	HRV	Owner managers of incorporated enterprises	F	3
Capital Region	HRV	Owner managers of incorporated enterprises	M	8
Capital Region	HRV	Owner managers of unincorporated enterprises	F	5
Capital Region	HRV	Owner managers of unincorporated enterprises	M	5
Capital Region	EGY	Employee	F	9
Capital Region	EGY	Employee	M	10
Capital Region	EGY	Owner managers of incorporated enterprises	M	5
Capital Region	FJI	Contributing family workers	F	3
Capital Region	FJI	Employee	F	53
Capital Region	FJI	Employee	M	26
Capital Region	FJI	Owner managers of incorporated enterprises	F	3
Capital Region	FJI	Owner managers of unincorporated enterprises	F	3
Capital Region	FJI	Owner managers of unincorporated enterprises	M	3
Capital Region	FJI	Status in employment not stated	F	3
Capital Region	MKD	Employee	F	32
Capital Region	MKD	Employee	M	34
Capital Region	MKD	Owner managers of incorporated enterprises	F	3
Capital Region	MKD	Owner managers of incorporated enterprises	M	8
Capital Region	MKD	Owner managers of unincorporated enterprises	M	5
Capital Region	MKD	Status in employment not stated	M	3
Capital Region	DEU	Contributing family workers	F	14
Capital Region	DEU	Contributing family workers	M	8
Capital Region	DEU	Employee	F	106
Capital Region	DEU	Employee	M	76
Capital Region	DEU	Owner managers of incorporated enterprises	F	9
Capital Region	DEU	Owner managers of incorporated enterprises	M	23
Capital Region	DEU	Owner managers of unincorporated enterprises	F	25
Capital Region	DEU	Owner managers of unincorporated enterprises	M	29
Capital Region	DEU	Status in employment not stated	M	8
Capital Region	GRC	Contributing family workers	M	7
Capital Region	GRC	Employee	F	12
Capital Region	GRC	Employee	M	21
Capital Region	GRC	Owner managers of incorporated enterprises	M	8
Capital Region	GRC	Owner managers of unincorporated enterprises	F	3
Capital Region	GRC	Owner managers of unincorporated enterprises	M	9
Capital Region	HKG	Employee	F	33
Capital Region	HKG	Employee	M	30
Capital Region	HKG	Owner managers of incorporated enterprises	F	3
Capital Region	HKG	Owner managers of incorporated enterprises	M	3
Capital Region	HKG	Owner managers of unincorporated enterprises	F	6
Capital Region	HKG	Owner managers of unincorporated enterprises	M	5
Capital Region	IND	Contributing family workers	F	3
Capital Region	IND	Contributing family workers	M	8
Capital Region	IND	Employee	F	231
Capital Region	IND	Employee	M	311
Capital Region	IND	Owner managers of incorporated enterprises	F	9
Capital Region	IND	Owner managers of incorporated enterprises	M	43
Capital Region	IND	Owner managers of unincorporated enterprises	F	8
Capital Region	IND	Owner managers of unincorporated enterprises	M	14
Capital Region	IND	Status in employment not stated	F	3
Capital Region	IND	Status in employment not stated	M	3
Capital Region	IDN	Employee	F	30
Capital Region	IDN	Employee	M	5
Capital Region	IDN	Owner managers of unincorporated enterprises	F	3
Capital Region	IDN	Owner managers of unincorporated enterprises	M	3
Capital Region	IRN	Employee	F	13
Capital Region	IRN	Employee	M	18
Capital Region	IRN	Owner managers of incorporated enterprises	M	5
Capital Region	IRN	Owner managers of unincorporated enterprises	M	3
Capital Region	IRQ	Employee	F	4
Capital Region	IRQ	Employee	M	14
Capital Region	IRQ	Owner managers of incorporated enterprises	F	3
Capital Region	IRQ	Owner managers of incorporated enterprises	M	3
Capital Region	IRL	Employee	F	48
Capital Region	IRL	Employee	M	47
Capital Region	IRL	Owner managers of incorporated enterprises	F	3
Capital Region	IRL	Owner managers of incorporated enterprises	M	14
Capital Region	IRL	Owner managers of unincorporated enterprises	F	15
Capital Region	IRL	Owner managers of unincorporated enterprises	M	17
Capital Region	ITA	Contributing family workers	F	3
Capital Region	ITA	Contributing family workers	M	3
Capital Region	ITA	Employee	F	28
Capital Region	ITA	Employee	M	47
Capital Region	ITA	Owner managers of incorporated enterprises	F	3
Capital Region	ITA	Owner managers of incorporated enterprises	M	13
Capital Region	ITA	Owner managers of unincorporated enterprises	F	5
Capital Region	ITA	Owner managers of unincorporated enterprises	M	21
Capital Region	JPN	Employee	F	19
Capital Region	JPN	Employee	M	12
Capital Region	JPN	Owner managers of unincorporated enterprises	F	7
Capital Region	LBN	Contributing family workers	F	3
Capital Region	LBN	Contributing family workers	M	3
Capital Region	LBN	Employee	F	5
Capital Region	LBN	Employee	M	20
Capital Region	LBN	Owner managers of incorporated enterprises	M	4
Capital Region	LBN	Owner managers of unincorporated enterprises	M	13
Capital Region	MYS	Contributing family workers	F	4
Capital Region	MYS	Employee	F	53
Capital Region	MYS	Employee	M	30
Capital Region	MYS	Owner managers of incorporated enterprises	F	3
Capital Region	MYS	Owner managers of unincorporated enterprises	F	6
Capital Region	MYS	Owner managers of unincorporated enterprises	M	13
Capital Region	MLT	Contributing family workers	F	6
Capital Region	MLT	Contributing family workers	M	3
Capital Region	MLT	Employee	F	6
Capital Region	MLT	Employee	M	8
Capital Region	MLT	Owner managers of incorporated enterprises	F	3
Capital Region	MLT	Owner managers of unincorporated enterprises	M	8
Capital Region	NLD	Contributing family workers	F	3
Capital Region	NLD	Contributing family workers	M	9
Capital Region	NLD	Employee	F	56
Capital Region	NLD	Employee	M	52
Capital Region	NLD	Owner managers of incorporated enterprises	F	5
Capital Region	NLD	Owner managers of incorporated enterprises	M	9
Capital Region	NLD	Owner managers of unincorporated enterprises	F	20
Capital Region	NLD	Owner managers of unincorporated enterprises	M	13
Capital Region	NLD	Status in employment not stated	F	3
Capital Region	NZL	Contributing family workers	F	19
Capital Region	NZL	Contributing family workers	M	14
