SA4_NAME16	Age	EmploymentStatus	HoursWorked.min	workers
Capital Region	15-19			14
Capital Region	15-19		0	4
Capital Region	15-19		1	37
Capital Region	15-19		16	3
Capital Region	15-19		35	11
Capital Region	15-19		40	8
Capital Region	15-19		41	3
Capital Region	15-19	Contributing family workers		9
Capital Region	15-19	Contributing family workers	1	35
Capital Region	15-19	Contributing family workers	16	8
Capital Region	15-19	Contributing family workers	40	3
Capital Region	15-19	Employee		138
Capital Region	15-19	Employee	0	173
Capital Region	15-19	Employee	1	2252
Capital Region	15-19	Employee	16	471
Capital Region	15-19	Employee	25	419
Capital Region	15-19	Employee	35	568
Capital Region	15-19	Employee	40	373
Capital Region	15-19	Employee	41	178
Capital Region	15-19	Employee	49	113
Capital Region	15-19	Owner managers of incorporated enterprises	35	5
Capital Region	15-19	Owner managers of incorporated enterprises	49	4
Capital Region	15-19	Owner managers of unincorporated enterprises	1	11
Capital Region	15-19	Owner managers of unincorporated enterprises	49	4
Capital Region	20-24			9
Capital Region	20-24		0	3
Capital Region	20-24		1	3
Capital Region	20-24		16	7
Capital Region	20-24		25	11
Capital Region	20-24		35	7
Capital Region	20-24		40	4
Capital Region	20-24	Contributing family workers		4
Capital Region	20-24	Contributing family workers	1	10
Capital Region	20-24	Contributing family workers	16	3
Capital Region	20-24	Contributing family workers	35	4
Capital Region	20-24	Contributing family workers	41	3
Capital Region	20-24	Contributing family workers	49	8
Capital Region	20-24	Employee		172
Capital Region	20-24	Employee	0	154
Capital Region	20-24	Employee	1	568
Capital Region	20-24	Employee	16	612
Capital Region	20-24	Employee	25	795
Capital Region	20-24	Employee	35	1411
Capital Region	20-24	Employee	40	903
Capital Region	20-24	Employee	41	552
Capital Region	20-24	Employee	49	495
Capital Region	20-24	Owner managers of incorporated enterprises	1	3
Capital Region	20-24	Owner managers of incorporated enterprises	16	4
Capital Region	20-24	Owner managers of incorporated enterprises	35	10
Capital Region	20-24	Owner managers of incorporated enterprises	40	12
Capital Region	20-24	Owner managers of incorporated enterprises	41	7
Capital Region	20-24	Owner managers of incorporated enterprises	49	18
Capital Region	20-24	Owner managers of unincorporated enterprises	0	9
Capital Region	20-24	Owner managers of unincorporated enterprises	1	16
Capital Region	20-24	Owner managers of unincorporated enterprises	16	12
Capital Region	20-24	Owner managers of unincorporated enterprises	25	18
Capital Region	20-24	Owner managers of unincorporated enterprises	35	20
Capital Region	20-24	Owner managers of unincorporated enterprises	40	38
Capital Region	20-24	Owner managers of unincorporated enterprises	41	15
Capital Region	20-24	Owner managers of unincorporated enterprises	49	32
Capital Region	25-29			10
Capital Region	25-29		0	3
Capital Region	25-29		1	4
Capital Region	25-29		16	3
Capital Region	25-29		25	6
Capital Region	25-29		35	7
Capital Region	25-29		40	9
Capital Region	25-29		41	6
Capital Region	25-29		49	3
Capital Region	25-29	Contributing family workers	1	23
Capital Region	25-29	Contributing family workers	16	8
Capital Region	25-29	Contributing family workers	25	5
Capital Region	25-29	Contributing family workers	35	6
Capital Region	25-29	Contributing family workers	40	4
Capital Region	25-29	Contributing family workers	49	13
Capital Region	25-29	Employee		104
Capital Region	25-29	Employee	0	196
Capital Region	25-29	Employee	1	388
Capital Region	25-29	Employee	16	471
Capital Region	25-29	Employee	25	629
Capital Region	25-29	Employee	35	1368
Capital Region	25-29	Employee	40	1017
Capital Region	25-29	Employee	41	639
Capital Region	25-29	Employee	49	704
Capital Region	25-29	Owner managers of incorporated enterprises	0	6
Capital Region	25-29	Owner managers of incorporated enterprises	1	13
Capital Region	25-29	Owner managers of incorporated enterprises	16	7
Capital Region	25-29	Owner managers of incorporated enterprises	25	10
Capital Region	25-29	Owner managers of incorporated enterprises	35	18
Capital Region	25-29	Owner managers of incorporated enterprises	40	32
Capital Region	25-29	Owner managers of incorporated enterprises	41	19
Capital Region	25-29	Owner managers of incorporated enterprises	49	59
Capital Region	25-29	Owner managers of unincorporated enterprises		6
Capital Region	25-29	Owner managers of unincorporated enterprises	0	9
Capital Region	25-29	Owner managers of unincorporated enterprises	1	33
Capital Region	25-29	Owner managers of unincorporated enterprises	16	24
Capital Region	25-29	Owner managers of unincorporated enterprises	25	35
Capital Region	25-29	Owner managers of unincorporated enterprises	35	32
Capital Region	25-29	Owner managers of unincorporated enterprises	40	62
Capital Region	25-29	Owner managers of unincorporated enterprises	41	36
Capital Region	25-29	Owner managers of unincorporated enterprises	49	71
Capital Region	30-34			18
Capital Region	30-34		0	7
Capital Region	30-34		1	7
Capital Region	30-34		16	5
Capital Region	30-34		25	4
Capital Region	30-34		40	10
Capital Region	30-34		41	3
Capital Region	30-34		49	4
Capital Region	30-34	Contributing family workers		3
Capital Region	30-34	Contributing family workers	0	3
Capital Region	30-34	Contributing family workers	1	18
Capital Region	30-34	Contributing family workers	16	13
Capital Region	30-34	Contributing family workers	25	7
Capital Region	30-34	Contributing family workers	35	11
Capital Region	30-34	Contributing family workers	40	4
Capital Region	30-34	Contributing family workers	41	9
Capital Region	30-34	Contributing family workers	49	16
Capital Region	30-34	Employee		94
Capital Region	30-34	Employee	0	253
Capital Region	30-34	Employee	1	423
Capital Region	30-34	Employee	16	507
Capital Region	30-34	Employee	25	666
Capital Region	30-34	Employee	35	1096
