SA4_NAME16	Age	LabourForceStatus	Sex	workers
Capital Region	15-19		F	73
Capital Region	15-19		M	78
Capital Region	15-19	Employed (away from work)	F	101
Capital Region	15-19	Employed (away from work)	M	78
Capital Region	15-19	Employed (full-time)	F	427
Capital Region	15-19	Employed (full-time)	M	834
Capital Region	15-19	Employed (part-time)	F	1891
Capital Region	15-19	Employed (part-time)	M	1355
Capital Region	20-24		F	71
Capital Region	20-24		M	115
Capital Region	20-24	Employed (away from work)	F	99
Capital Region	20-24	Employed (away from work)	M	76
Capital Region	20-24	Employed (full-time)	F	1366
Capital Region	20-24	Employed (full-time)	M	2184
Capital Region	20-24	Employed (part-time)	F	1207
Capital Region	20-24	Employed (part-time)	M	857
Capital Region	25-29		F	50
Capital Region	25-29		M	81
Capital Region	25-29	Employed (away from work)	F	156
Capital Region	25-29	Employed (away from work)	M	57
Capital Region	25-29	Employed (full-time)	F	1507
Capital Region	25-29	Employed (full-time)	M	2584
Capital Region	25-29	Employed (part-time)	F	1081
Capital Region	25-29	Employed (part-time)	M	568
Capital Region	30-34		F	36
Capital Region	30-34		M	88
Capital Region	30-34	Employed (away from work)	F	217
Capital Region	30-34	Employed (away from work)	M	75
Capital Region	30-34	Employed (full-time)	F	1248
Capital Region	30-34	Employed (full-time)	M	2646
Capital Region	30-34	Employed (part-time)	F	1378
Capital Region	30-34	Employed (part-time)	M	489
Capital Region	35-39		F	45
Capital Region	35-39		M	70
Capital Region	35-39	Employed (away from work)	F	104
Capital Region	35-39	Employed (away from work)	M	74
Capital Region	35-39	Employed (full-time)	F	1336
Capital Region	35-39	Employed (full-time)	M	2562
Capital Region	35-39	Employed (part-time)	F	1583
Capital Region	35-39	Employed (part-time)	M	403
Capital Region	40-44		F	70
Capital Region	40-44		M	69
Capital Region	40-44	Employed (away from work)	F	98
Capital Region	40-44	Employed (away from work)	M	87
Capital Region	40-44	Employed (full-time)	F	1782
Capital Region	40-44	Employed (full-time)	M	2989
Capital Region	40-44	Employed (part-time)	F	1775
Capital Region	40-44	Employed (part-time)	M	569
Capital Region	45-49		F	67
Capital Region	45-49		M	80
Capital Region	45-49	Employed (away from work)	F	112
Capital Region	45-49	Employed (away from work)	M	102
Capital Region	45-49	Employed (full-time)	F	2195
Capital Region	45-49	Employed (full-time)	M	3170
Capital Region	45-49	Employed (part-time)	F	1890
Capital Region	45-49	Employed (part-time)	M	590
Capital Region	50-54		F	67
Capital Region	50-54		M	76
Capital Region	50-54	Employed (away from work)	F	133
Capital Region	50-54	Employed (away from work)	M	127
Capital Region	50-54	Employed (full-time)	F	2233
Capital Region	50-54	Employed (full-time)	M	3306
Capital Region	50-54	Employed (part-time)	F	2058
Capital Region	50-54	Employed (part-time)	M	707
Capital Region	55-59		F	62
Capital Region	55-59		M	57
Capital Region	55-59	Employed (away from work)	F	208
Capital Region	55-59	Employed (away from work)	M	165
Capital Region	55-59	Employed (full-time)	F	1837
Capital Region	55-59	Employed (full-time)	M	2993
Capital Region	55-59	Employed (part-time)	F	2062
Capital Region	55-59	Employed (part-time)	M	908
Capital Region	60-64		F	45
Capital Region	60-64		M	50
Capital Region	60-64	Employed (away from work)	F	177
Capital Region	60-64	Employed (away from work)	M	148
Capital Region	60-64	Employed (full-time)	F	1090
Capital Region	60-64	Employed (full-time)	M	1993
Capital Region	60-64	Employed (part-time)	F	1549
Capital Region	60-64	Employed (part-time)	M	998
Capital Region	65-69		F	23
Capital Region	65-69		M	39
Capital Region	65-69	Employed (away from work)	F	76
Capital Region	65-69	Employed (away from work)	M	90
Capital Region	65-69	Employed (full-time)	F	413
Capital Region	65-69	Employed (full-time)	M	945
Capital Region	65-69	Employed (part-time)	F	756
Capital Region	65-69	Employed (part-time)	M	721
Capital Region	70-74		F	18
Capital Region	70-74		M	22
Capital Region	70-74	Employed (away from work)	F	39
Capital Region	70-74	Employed (away from work)	M	36
Capital Region	70-74	Employed (full-time)	F	155
Capital Region	70-74	Employed (full-time)	M	378
Capital Region	70-74	Employed (part-time)	F	317
Capital Region	70-74	Employed (part-time)	M	369
Capital Region	75+		F	28
Capital Region	75+		M	47
Capital Region	75+	Employed (away from work)	F	10
Capital Region	75+	Employed (away from work)	M	30
Capital Region	75+	Employed (full-time)	F	93
Capital Region	75+	Employed (full-time)	M	272
Capital Region	75+	Employed (part-time)	F	134
Capital Region	75+	Employed (part-time)	M	288
Central Coast	15-19		F	82
Central Coast	15-19		M	80
Central Coast	15-19	Employed (away from work)	F	162
Central Coast	15-19	Employed (away from work)	M	138
Central Coast	15-19	Employed (full-time)	F	540
Central Coast	15-19	Employed (full-time)	M	887
Central Coast	15-19	Employed (part-time)	F	3583
Central Coast	15-19	Employed (part-time)	M	2229
Central Coast	20-24		F	110
Central Coast	20-24		M	138
Central Coast	20-24	Employed (away from work)	F	199
Central Coast	20-24	Employed (away from work)	M	118
Central Coast	20-24	Employed (full-time)	F	2096
Central Coast	20-24	Employed (full-time)	M	2748
Central Coast	20-24	Employed (part-time)	F	2643
Central Coast	20-24	Employed (part-time)	M	1780
Central Coast	25-29		F	61
Central Coast	25-29		M	108
Central Coast	25-29	Employed (away from work)	F	294
Central Coast	25-29	Employed (away from work)	M	102
Central Coast	25-29	Employed (full-time)	F	2601
Central Coast	25-29	Employed (full-time)	M	3425
Central Coast	25-29	Employed (part-time)	F	1884
Central Coast	25-29	Employed (part-time)	M	893
Central Coast	30-34		F	79
Central Coast	30-34		M	98
Central Coast	30-34	Employed (away from work)	F	386
Central Coast	30-34	Employed (away from work)	M	105
Central Coast	30-34	Employed (full-time)	F	2028
Central Coast	30-34	Employed (full-time)	M	3796
Central Coast	30-34	Employed (part-time)	F	2573
Central Coast	30-34	Employed (part-time)	M	696
Central Coast	35-39		F	74
Central Coast	35-39		M	107
Central Coast	35-39	Employed (away from work)	F	254
Central Coast	35-39	Employed (away from work)	M	113
Central Coast	35-39	Employed (full-time)	F	2069
Central Coast	35-39	Employed (full-time)	M	3685
Central Coast	35-39	Employed (part-time)	F	2968
Central Coast	35-39	Employed (part-time)	M	656
Central Coast	40-44		F	91
Central Coast	40-44		M	111
Central Coast	40-44	Employed (away from work)	F	190
Central Coast	40-44	Employed (away from work)	M	81
Central Coast	40-44	Employed (full-time)	F	2863
Central Coast	40-44	Employed (full-time)	M	4110
Central Coast	40-44	Employed (part-time)	F	3360
Central Coast	40-44	Employed (part-time)	M	687
Central Coast	45-49		F	88
Central Coast	45-49		M	109
Central Coast	45-49	Employed (away from work)	F	178
Central Coast	45-49	Employed (away from work)	M	106
Central Coast	45-49	Employed (full-time)	F	3354
Central Coast	45-49	Employed (full-time)	M	4194
Central Coast	45-49	Employed (part-time)	F	3371
Central Coast	45-49	Employed (part-time)	M	767
Central Coast	50-54		F	102
Central Coast	50-54		M	81
Central Coast	50-54	Employed (away from work)	F	215
Central Coast	50-54	Employed (away from work)	M	132
Central Coast	50-54	Employed (full-time)	F	3199
Central Coast	50-54	Employed (full-time)	M	4211
Central Coast	50-54	Employed (part-time)	F	3167
Central Coast	50-54	Employed (part-time)	M	837
Central Coast	55-59		F	82
Central Coast	55-59		M	62
Central Coast	55-59	Employed (away from work)	F	249
Central Coast	55-59	Employed (away from work)	M	172
Central Coast	55-59	Employed (full-time)	F	2756
Central Coast	55-59	Employed (full-time)	M	3654
Central Coast	55-59	Employed (part-time)	F	3015
Central Coast	55-59	Employed (part-time)	M	974
Central Coast	60-64		F	60
Central Coast	60-64		M	64
Central Coast	60-64	Employed (away from work)	F	192
Central Coast	60-64	Employed (away from work)	M	144
Central Coast	60-64	Employed (full-time)	F	1400
Central Coast	60-64	Employed (full-time)	M	2191
Central Coast	60-64	Employed (part-time)	F	2085
Central Coast	60-64	Employed (part-time)	M	989
Central Coast	65-69		F	24
Central Coast	65-69		M	34
Central Coast	65-69	Employed (away from work)	F	68
Central Coast	65-69	Employed (away from work)	M	64
Central Coast	65-69	Employed (full-time)	F	345
Central Coast	65-69	Employed (full-time)	M	775
Central Coast	65-69	Employed (part-time)	F	900
Central Coast	65-69	Employed (part-time)	M	731
Central Coast	70-74		F	15
Central Coast	70-74		M	22
Central Coast	70-74	Employed (away from work)	F	26
Central Coast	70-74	Employed (away from work)	M	18
Central Coast	70-74	Employed (full-time)	F	86
Central Coast	70-74	Employed (full-time)	M	200
Central Coast	70-74	Employed (part-time)	F	314
Central Coast	70-74	Employed (part-time)	M	371
Central Coast	75+		F	18
Central Coast	75+		M	28
Central Coast	75+	Employed (away from work)	F	10
Central Coast	75+	Employed (away from work)	M	12
Central Coast	75+	Employed (full-time)	F	20
Central Coast	75+	Employed (full-time)	M	97
Central Coast	75+	Employed (part-time)	F	85
Central Coast	75+	Employed (part-time)	M	179
Central West	15-19		F	96
Central West	15-19		M	85
Central West	15-19	Employed (away from work)	F	136
Central West	15-19	Employed (away from work)	M	100
Central West	15-19	Employed (full-time)	F	395
Central West	15-19	Employed (full-time)	M	965
Central West	15-19	Employed (part-time)	F	1903
Central West	15-19	Employed (part-time)	M	1190
Central West	20-24		F	76
Central West	20-24		M	115
Central West	20-24	Employed (away from work)	F	158
Central West	20-24	Employed (away from work)	M	95
Central West	20-24	Employed (full-time)	F	1650
Central West	20-24	Employed (full-time)	M	2596
Central West	20-24	Employed (part-time)	F	1494
Central West	20-24	Employed (part-time)	M	813
Central West	25-29		F	74
Central West	25-29		M	81
Central West	25-29	Employed (away from work)	F	251
Central West	25-29	Employed (away from work)	M	95
Central West	25-29	Employed (full-time)	F	1883
Central West	25-29	Employed (full-time)	M	3387
Central West	25-29	Employed (part-time)	F	1331
Central West	25-29	Employed (part-time)	M	538
Central West	30-34		F	62
Central West	30-34		M	100
Central West	30-34	Employed (away from work)	F	305
Central West	30-34	Employed (away from work)	M	94
Central West	30-34	Employed (full-time)	F	1564
Central West	30-34	Employed (full-time)	M	3564
Central West	30-34	Employed (part-time)	F	1876
Central West	30-34	Employed (part-time)	M	462
Central West	35-39		F	66
Central West	35-39		M	91
Central West	35-39	Employed (away from work)	F	168
Central West	35-39	Employed (away from work)	M	99
