SA4_NAME16	Age	LabourForceStatus	workers
Capital Region	15-19		157
Capital Region	15-19	Employed (away from work)	183
Capital Region	15-19	Employed (full-time)	1255
Capital Region	15-19	Employed (part-time)	3244
Capital Region	20-24		188
Capital Region	20-24	Employed (away from work)	169
Capital Region	20-24	Employed (full-time)	3553
Capital Region	20-24	Employed (part-time)	2068
Capital Region	25-29		127
Capital Region	25-29	Employed (away from work)	214
Capital Region	25-29	Employed (full-time)	4092
Capital Region	25-29	Employed (part-time)	1656
Capital Region	30-34		120
Capital Region	30-34	Employed (away from work)	289
Capital Region	30-34	Employed (full-time)	3895
Capital Region	30-34	Employed (part-time)	1861
Capital Region	35-39		110
Capital Region	35-39	Employed (away from work)	179
Capital Region	35-39	Employed (full-time)	3901
Capital Region	35-39	Employed (part-time)	1982
Capital Region	40-44		138
Capital Region	40-44	Employed (away from work)	182
Capital Region	40-44	Employed (full-time)	4770
Capital Region	40-44	Employed (part-time)	2343
Capital Region	45-49		144
Capital Region	45-49	Employed (away from work)	218
Capital Region	45-49	Employed (full-time)	5363
Capital Region	45-49	Employed (part-time)	2476
Capital Region	50-54		145
Capital Region	50-54	Employed (away from work)	256
Capital Region	50-54	Employed (full-time)	5543
Capital Region	50-54	Employed (part-time)	2770
Capital Region	55-59		122
Capital Region	55-59	Employed (away from work)	368
Capital Region	55-59	Employed (full-time)	4830
Capital Region	55-59	Employed (part-time)	2967
Capital Region	60-64		101
Capital Region	60-64	Employed (away from work)	323
Capital Region	60-64	Employed (full-time)	3081
Capital Region	60-64	Employed (part-time)	2547
Capital Region	65-69		61
Capital Region	65-69	Employed (away from work)	161
Capital Region	65-69	Employed (full-time)	1360
Capital Region	65-69	Employed (part-time)	1482
Capital Region	70-74		44
Capital Region	70-74	Employed (away from work)	75
Capital Region	70-74	Employed (full-time)	533
Capital Region	70-74	Employed (part-time)	688
Capital Region	75+		77
Capital Region	75+	Employed (away from work)	42
Capital Region	75+	Employed (full-time)	365
Capital Region	75+	Employed (part-time)	427
Central Coast	15-19		163
Central Coast	15-19	Employed (away from work)	300
Central Coast	15-19	Employed (full-time)	1424
Central Coast	15-19	Employed (part-time)	5814
Central Coast	20-24		240
Central Coast	20-24	Employed (away from work)	321
Central Coast	20-24	Employed (full-time)	4842
