SA4_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
Capital Region	Bicycle	1		5
Capital Region	Bicycle	1	Clerical and administrative workers	22
Capital Region	Bicycle	1	Community and personal service workers	38
Capital Region	Bicycle	1	Labourers	45
Capital Region	Bicycle	1	Machinery operators and drivers	13
Capital Region	Bicycle	1	Managers	34
Capital Region	Bicycle	1	Professionals	68
Capital Region	Bicycle	1	Sales workers	27
Capital Region	Bicycle	1	Technicians and trades workers	41
Capital Region	Bus	1		15
Capital Region	Bus	1	Clerical and administrative workers	23
Capital Region	Bus	1	Community and personal service workers	39
Capital Region	Bus	1	Labourers	36
Capital Region	Bus	1	Machinery operators and drivers	56
Capital Region	Bus	1	Managers	17
Capital Region	Bus	1	Professionals	25
Capital Region	Bus	1	Sales workers	60
Capital Region	Bus	1	Technicians and trades workers	24
Capital Region	Bus and car as driver	2		5
Capital Region	Bus and car as passenger	2	Clerical and administrative workers	3
Capital Region	Bus and car as passenger	2	Community and personal service workers	8
Capital Region	Bus and car as passenger	2	Labourers	4
Capital Region	Bus and car as passenger	2	Machinery operators and drivers	3
Capital Region	Bus and car as passenger	2	Managers	3
Capital Region	Bus and car as passenger	2	Professionals	3
Capital Region	Bus and car as passenger	2	Sales workers	13
Capital Region	Bus and ferry	2	Sales workers	3
Capital Region	Bus and other	2	Community and personal service workers	3
Capital Region	Bus and other	2	Managers	3
Capital Region	Bus and two other methods excludes train	3	Labourers	3
Capital Region	Car as driver	1		557
Capital Region	Car as driver	1	Clerical and administrative workers	6003
Capital Region	Car as driver	1	Community and personal service workers	6086
Capital Region	Car as driver	1	Labourers	5191
Capital Region	Car as driver	1	Machinery operators and drivers	3205
Capital Region	Car as driver	1	Managers	6237
Capital Region	Car as driver	1	Professionals	7708
Capital Region	Car as driver	1	Sales workers	4571
Capital Region	Car as driver	1	Technicians and trades workers	7733
Capital Region	Car as passenger	1		63
Capital Region	Car as passenger	1	Clerical and administrative workers	297
Capital Region	Car as passenger	1	Community and personal service workers	564
Capital Region	Car as passenger	1	Labourers	853
Capital Region	Car as passenger	1	Machinery operators and drivers	218
Capital Region	Car as passenger	1	Managers	249
Capital Region	Car as passenger	1	Professionals	315
Capital Region	Car as passenger	1	Sales workers	720
Capital Region	Car as passenger	1	Technicians and trades workers	490
Capital Region	Did not go to work			116
Capital Region	Did not go to work		Clerical and administrative workers	888
Capital Region	Did not go to work		Community and personal service workers	1456
Capital Region	Did not go to work		Labourers	1084
Capital Region	Did not go to work		Machinery operators and drivers	360
Capital Region	Did not go to work		Managers	683
Capital Region	Did not go to work		Professionals	1177
Capital Region	Did not go to work		Sales workers	1312
Capital Region	Did not go to work		Technicians and trades workers	659
Capital Region	Ferry	1	Labourers	3
Capital Region	Ferry	1	Machinery operators and drivers	3
Capital Region	Ferry	1	Managers	3
Capital Region	Ferry	1	Professionals	4
Capital Region	Ferry	1	Technicians and trades workers	8
