SA4_NAME16	Age	EmploymentStatus	Sex	workers
Capital Region	15-19		F	39
Capital Region	15-19		M	35
Capital Region	15-19	Contributing family workers	F	23
Capital Region	15-19	Contributing family workers	M	31
Capital Region	15-19	Employee	F	2420
Capital Region	15-19	Employee	M	2256
Capital Region	15-19	Owner managers of incorporated enterprises	F	4
Capital Region	15-19	Owner managers of incorporated enterprises	M	9
Capital Region	15-19	Owner managers of unincorporated enterprises	F	11
Capital Region	15-19	Owner managers of unincorporated enterprises	M	11
Capital Region	20-24		F	23
Capital Region	20-24		M	32
Capital Region	20-24	Contributing family workers	F	20
Capital Region	20-24	Contributing family workers	M	22
Capital Region	20-24	Employee	F	2636
Capital Region	20-24	Employee	M	3028
Capital Region	20-24	Owner managers of incorporated enterprises	F	17
Capital Region	20-24	Owner managers of incorporated enterprises	M	39
Capital Region	20-24	Owner managers of unincorporated enterprises	F	52
Capital Region	20-24	Owner managers of unincorporated enterprises	M	116
Capital Region	25-29		F	19
Capital Region	25-29		M	20
Capital Region	25-29	Contributing family workers	F	38
Capital Region	25-29	Contributing family workers	M	15
Capital Region	25-29	Employee	F	2579
Capital Region	25-29	Employee	M	2935
Capital Region	25-29	Owner managers of incorporated enterprises	F	40
Capital Region	25-29	Owner managers of incorporated enterprises	M	124
Capital Region	25-29	Owner managers of unincorporated enterprises	F	116
Capital Region	25-29	Owner managers of unincorporated enterprises	M	194
Capital Region	30-34		F	25
Capital Region	30-34		M	32
Capital Region	30-34	Contributing family workers	F	47
Capital Region	30-34	Contributing family workers	M	32
Capital Region	30-34	Employee	F	2526
Capital Region	30-34	Employee	M	2679
Capital Region	30-34	Owner managers of incorporated enterprises	F	100
Capital Region	30-34	Owner managers of incorporated enterprises	M	245
Capital Region	30-34	Owner managers of unincorporated enterprises	F	177
Capital Region	30-34	Owner managers of unincorporated enterprises	M	307
Capital Region	35-39		F	22
Capital Region	35-39		M	25
Capital Region	35-39	Contributing family workers	F	96
Capital Region	35-39	Contributing family workers	M	50
Capital Region	35-39	Employee	F	2500
Capital Region	35-39	Employee	M	2361
Capital Region	35-39	Owner managers of incorporated enterprises	F	170
Capital Region	35-39	Owner managers of incorporated enterprises	M	323
Capital Region	35-39	Owner managers of unincorporated enterprises	F	277
Capital Region	35-39	Owner managers of unincorporated enterprises	M	346
Capital Region	40-44		F	34
Capital Region	40-44		M	41
Capital Region	40-44	Contributing family workers	F	117
Capital Region	40-44	Contributing family workers	M	67
Capital Region	40-44	Employee	F	2970
Capital Region	40-44	Employee	M	2646
Capital Region	40-44	Owner managers of incorporated enterprises	F	226
Capital Region	40-44	Owner managers of incorporated enterprises	M	453
Capital Region	40-44	Owner managers of unincorporated enterprises	F	373
Capital Region	40-44	Owner managers of unincorporated enterprises	M	497
Capital Region	45-49		F	55
Capital Region	45-49		M	55
Capital Region	45-49	Contributing family workers	F	127
Capital Region	45-49	Contributing family workers	M	66
Capital Region	45-49	Employee	F	3376
Capital Region	45-49	Employee	M	2713
Capital Region	45-49	Owner managers of incorporated enterprises	F	273
Capital Region	45-49	Owner managers of incorporated enterprises	M	483
Capital Region	45-49	Owner managers of unincorporated enterprises	F	436
Capital Region	45-49	Owner managers of unincorporated enterprises	M	620
Capital Region	50-54		F	50
Capital Region	50-54		M	66
Capital Region	50-54	Contributing family workers	F	142
Capital Region	50-54	Contributing family workers	M	127
Capital Region	50-54	Employee	F	3600
Capital Region	50-54	Employee	M	2777
Capital Region	50-54	Owner managers of incorporated enterprises	F	267
Capital Region	50-54	Owner managers of incorporated enterprises	M	549
Capital Region	50-54	Owner managers of unincorporated enterprises	F	439
Capital Region	50-54	Owner managers of unincorporated enterprises	M	696
Capital Region	55-59		F	53
Capital Region	55-59		M	63
Capital Region	55-59	Contributing family workers	F	151
Capital Region	55-59	Contributing family workers	M	179
Capital Region	55-59	Employee	F	3288
Capital Region	55-59	Employee	M	2635
Capital Region	55-59	Owner managers of incorporated enterprises	F	248
Capital Region	55-59	Owner managers of incorporated enterprises	M	526
Capital Region	55-59	Owner managers of unincorporated enterprises	F	427
Capital Region	55-59	Owner managers of unincorporated enterprises	M	726
Capital Region	60-64		F	40
Capital Region	60-64		M	65
Capital Region	60-64	Contributing family workers	F	184
Capital Region	60-64	Contributing family workers	M	189
Capital Region	60-64	Employee	F	2070
Capital Region	60-64	Employee	M	1827
Capital Region	60-64	Owner managers of incorporated enterprises	F	173
Capital Region	60-64	Owner managers of incorporated enterprises	M	431
Capital Region	60-64	Owner managers of unincorporated enterprises	F	390
Capital Region	60-64	Owner managers of unincorporated enterprises	M	684
Capital Region	65-69		F	23
Capital Region	65-69		M	56
Capital Region	65-69	Contributing family workers	F	166
Capital Region	65-69	Contributing family workers	M	206
Capital Region	65-69	Employee	F	725
Capital Region	65-69	Employee	M	738
Capital Region	65-69	Owner managers of incorporated enterprises	F	115
Capital Region	65-69	Owner managers of incorporated enterprises	M	291
Capital Region	65-69	Owner managers of unincorporated enterprises	F	237
Capital Region	65-69	Owner managers of unincorporated enterprises	M	502
Capital Region	70-74		F	16
Capital Region	70-74		M	30
Capital Region	70-74	Contributing family workers	F	139
Capital Region	70-74	Contributing family workers	M	180
Capital Region	70-74	Employee	F	180
Capital Region	70-74	Employee	M	214
