SA4_NAME16	Age	EmploymentStatus	LabourForceStatus	Sex	workers
Capital Region	15-19			F	5
Capital Region	15-19			M	9
Capital Region	15-19		Employed (part-time)	F	6
Capital Region	15-19		Employed (part-time)	F	28
Capital Region	15-19		Employed (part-time)	M	12
Capital Region	15-19		Employed (part-time)	M	14
Capital Region	15-19	Contributing family workers		F	5
Capital Region	15-19	Contributing family workers		M	3
Capital Region	15-19	Contributing family workers	Employed (part-time)	F	0
Capital Region	15-19	Contributing family workers	Employed (part-time)	F	18
Capital Region	15-19	Contributing family workers	Employed (part-time)	M	3
Capital Region	15-19	Contributing family workers	Employed (part-time)	M	25
Capital Region	15-19	Employee		F	159
Capital Region	15-19	Employee		M	145
Capital Region	15-19	Employee	Employed (part-time)	F	419
Capital Region	15-19	Employee	Employed (part-time)	F	1842
Capital Region	15-19	Employee	Employed (part-time)	M	804
Capital Region	15-19	Employee	Employed (part-time)	M	1307
Capital Region	15-19	Owner managers of incorporated enterprises		F	1
Capital Region	15-19	Owner managers of incorporated enterprises		M	3
Capital Region	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	3
Capital Region	15-19	Owner managers of incorporated enterprises	Employed (part-time)	F	0
Capital Region	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	6
Capital Region	15-19	Owner managers of incorporated enterprises	Employed (part-time)	M	0
Capital Region	15-19	Owner managers of unincorporated enterprises		F	0
Capital Region	15-19	Owner managers of unincorporated enterprises		M	-5
Capital Region	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	0
Capital Region	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	F	11
Capital Region	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	7
Capital Region	15-19	Owner managers of unincorporated enterprises	Employed (part-time)	M	9
Capital Region	20-24			F	3
Capital Region	20-24			M	18
Capital Region	20-24		Employed (part-time)	F	12
Capital Region	20-24		Employed (part-time)	F	8
Capital Region	20-24		Employed (part-time)	M	6
Capital Region	20-24		Employed (part-time)	M	8
Capital Region	20-24	Contributing family workers		F	-1
Capital Region	20-24	Contributing family workers		M	4
Capital Region	20-24	Contributing family workers	Employed (part-time)	F	13
Capital Region	20-24	Contributing family workers	Employed (part-time)	F	8
Capital Region	20-24	Contributing family workers	Employed (part-time)	M	10
Capital Region	20-24	Contributing family workers	Employed (part-time)	M	8
Capital Region	20-24	Employee		F	161
Capital Region	20-24	Employee		M	169
Capital Region	20-24	Employee	Employed (part-time)	F	1313
Capital Region	20-24	Employee	Employed (part-time)	F	1162
Capital Region	20-24	Employee	Employed (part-time)	M	2047
Capital Region	20-24	Employee	Employed (part-time)	M	812
Capital Region	20-24	Owner managers of incorporated enterprises		F	6
Capital Region	20-24	Owner managers of incorporated enterprises		M	1
Capital Region	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	8
Capital Region	20-24	Owner managers of incorporated enterprises	Employed (part-time)	F	3
Capital Region	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	32
Capital Region	20-24	Owner managers of incorporated enterprises	Employed (part-time)	M	6
Capital Region	20-24	Owner managers of unincorporated enterprises		F	4
Capital Region	20-24	Owner managers of unincorporated enterprises		M	3
Capital Region	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	23
Capital Region	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	F	25
Capital Region	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	84
Capital Region	20-24	Owner managers of unincorporated enterprises	Employed (part-time)	M	29
Capital Region	25-29			F	4
Capital Region	25-29			M	0
Capital Region	25-29		Employed (part-time)	F	10
Capital Region	25-29		Employed (part-time)	F	5
Capital Region	25-29		Employed (part-time)	M	17
Capital Region	25-29		Employed (part-time)	M	3
Capital Region	25-29	Contributing family workers		F	-5
Capital Region	25-29	Contributing family workers		M	-5
Capital Region	25-29	Contributing family workers	Employed (part-time)	F	12
Capital Region	25-29	Contributing family workers	Employed (part-time)	F	31
Capital Region	25-29	Contributing family workers	Employed (part-time)	M	11
Capital Region	25-29	Contributing family workers	Employed (part-time)	M	9
Capital Region	25-29	Employee		F	183
Capital Region	25-29	Employee		M	121
Capital Region	25-29	Employee	Employed (part-time)	F	1409
Capital Region	25-29	Employee	Employed (part-time)	F	987
Capital Region	25-29	Employee	Employed (part-time)	M	2315
Capital Region	25-29	Employee	Employed (part-time)	M	499
Capital Region	25-29	Owner managers of incorporated enterprises		F	-4
Capital Region	25-29	Owner managers of incorporated enterprises		M	6
Capital Region	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	27
Capital Region	25-29	Owner managers of incorporated enterprises	Employed (part-time)	F	17
Capital Region	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	103
Capital Region	25-29	Owner managers of incorporated enterprises	Employed (part-time)	M	15
Capital Region	25-29	Owner managers of unincorporated enterprises		F	13
Capital Region	25-29	Owner managers of unincorporated enterprises		M	7
Capital Region	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	55
Capital Region	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	F	48
Capital Region	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	140
Capital Region	25-29	Owner managers of unincorporated enterprises	Employed (part-time)	M	47
Capital Region	30-34			F	2
Capital Region	30-34			M	12
Capital Region	30-34		Employed (part-time)	F	8
Capital Region	30-34		Employed (part-time)	F	15
Capital Region	30-34		Employed (part-time)	M	12
Capital Region	30-34		Employed (part-time)	M	8
Capital Region	30-34	Contributing family workers		F	2
Capital Region	30-34	Contributing family workers		M	2
Capital Region	30-34	Contributing family workers	Employed (part-time)	F	14
Capital Region	30-34	Contributing family workers	Employed (part-time)	F	31
Capital Region	30-34	Contributing family workers	Employed (part-time)	M	24
Capital Region	30-34	Contributing family workers	Employed (part-time)	M	6
Capital Region	30-34	Employee		F	225
Capital Region	30-34	Employee		M	130
Capital Region	30-34	Employee	Employed (part-time)	F	1105
Capital Region	30-34	Employee	Employed (part-time)	F	1196
Capital Region	30-34	Employee	Employed (part-time)	M	2154
Capital Region	30-34	Employee	Employed (part-time)	M	395
Capital Region	30-34	Owner managers of incorporated enterprises		F	0
Capital Region	30-34	Owner managers of incorporated enterprises		M	7
Capital Region	30-34	Owner managers of incorporated enterprises	Employed (part-time)	F	48
Capital Region	30-34	Owner managers of incorporated enterprises	Employed (part-time)	F	52
Capital Region	30-34	Owner managers of incorporated enterprises	Employed (part-time)	M	218
Capital Region	30-34	Owner managers of incorporated enterprises	Employed (part-time)	M	20
Capital Region	30-34	Owner managers of unincorporated enterprises		F	11
Capital Region	30-34	Owner managers of unincorporated enterprises		M	18
Capital Region	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	F	76
Capital Region	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	F	90
Capital Region	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	M	240
Capital Region	30-34	Owner managers of unincorporated enterprises	Employed (part-time)	M	49
Capital Region	35-39			F	11
Capital Region	35-39			M	-3
Capital Region	35-39		Employed (part-time)	F	8
Capital Region	35-39		Employed (part-time)	F	3
Capital Region	35-39		Employed (part-time)	M	20
Capital Region	35-39		Employed (part-time)	M	8
Capital Region	35-39	Contributing family workers		F	-1
Capital Region	35-39	Contributing family workers		M	9
Capital Region	35-39	Contributing family workers	Employed (part-time)	F	36
Capital Region	35-39	Contributing family workers	Employed (part-time)	F	61
Capital Region	35-39	Contributing family workers	Employed (part-time)	M	30
Capital Region	35-39	Contributing family workers	Employed (part-time)	M	11
Capital Region	35-39	Employee		F	115
Capital Region	35-39	Employee		M	110
Capital Region	35-39	Employee	Employed (part-time)	F	1089
Capital Region	35-39	Employee	Employed (part-time)	F	1296
Capital Region	35-39	Employee	Employed (part-time)	M	1958
Capital Region	35-39	Employee	Employed (part-time)	M	293
Capital Region	35-39	Owner managers of incorporated enterprises		F	5
Capital Region	35-39	Owner managers of incorporated enterprises		M	1
Capital Region	35-39	Owner managers of incorporated enterprises	Employed (part-time)	F	90
Capital Region	35-39	Owner managers of incorporated enterprises	Employed (part-time)	F	75
Capital Region	35-39	Owner managers of incorporated enterprises	Employed (part-time)	M	301
Capital Region	35-39	Owner managers of incorporated enterprises	Employed (part-time)	M	21
Capital Region	35-39	Owner managers of unincorporated enterprises		F	21
Capital Region	35-39	Owner managers of unincorporated enterprises		M	11
Capital Region	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	F	109
Capital Region	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	F	147
Capital Region	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	M	259
Capital Region	35-39	Owner managers of unincorporated enterprises	Employed (part-time)	M	76
Capital Region	40-44			F	6
Capital Region	40-44			M	-2
Capital Region	40-44		Employed (part-time)	F	10
Capital Region	40-44		Employed (part-time)	F	18
Capital Region	40-44		Employed (part-time)	M	33
Capital Region	40-44		Employed (part-time)	M	10
Capital Region	40-44	Contributing family workers		F	15
Capital Region	40-44	Contributing family workers		M	7
Capital Region	40-44	Contributing family workers	Employed (part-time)	F	37
Capital Region	40-44	Contributing family workers	Employed (part-time)	F	65
Capital Region	40-44	Contributing family workers	Employed (part-time)	M	44
Capital Region	40-44	Contributing family workers	Employed (part-time)	M	16
Capital Region	40-44	Employee		F	127
Capital Region	40-44	Employee		M	113
Capital Region	40-44	Employee	Employed (part-time)	F	1416
Capital Region	40-44	Employee	Employed (part-time)	F	1427
Capital Region	40-44	Employee	Employed (part-time)	M	2150
Capital Region	40-44	Employee	Employed (part-time)	M	383
Capital Region	40-44	Owner managers of incorporated enterprises		F	6
Capital Region	40-44	Owner managers of incorporated enterprises		M	5
Capital Region	40-44	Owner managers of incorporated enterprises	Employed (part-time)	F	136
Capital Region	40-44	Owner managers of incorporated enterprises	Employed (part-time)	F	84
Capital Region	40-44	Owner managers of incorporated enterprises	Employed (part-time)	M	413
Capital Region	40-44	Owner managers of incorporated enterprises	Employed (part-time)	M	35
Capital Region	40-44	Owner managers of unincorporated enterprises		F	10
Capital Region	40-44	Owner managers of unincorporated enterprises		M	18
Capital Region	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	F	180
Capital Region	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	F	183
Capital Region	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	M	357
Capital Region	40-44	Owner managers of unincorporated enterprises	Employed (part-time)	M	122
Capital Region	45-49			F	17
Capital Region	45-49			M	14
Capital Region	45-49		Employed (part-time)	F	17
Capital Region	45-49		Employed (part-time)	F	21
Capital Region	45-49		Employed (part-time)	M	35
Capital Region	45-49		Employed (part-time)	M	6
Capital Region	45-49	Contributing family workers		F	10
Capital Region	45-49	Contributing family workers		M	3
Capital Region	45-49	Contributing family workers	Employed (part-time)	F	46
Capital Region	45-49	Contributing family workers	Employed (part-time)	F	71
Capital Region	45-49	Contributing family workers	Employed (part-time)	M	38
Capital Region	45-49	Contributing family workers	Employed (part-time)	M	25
Capital Region	45-49	Employee		F	129
Capital Region	45-49	Employee		M	120
Capital Region	45-49	Employee	Employed (part-time)	F	1716
Capital Region	45-49	Employee	Employed (part-time)	F	1531
