SA4_NAME16	Age	LabourForceStatus	NeedsAssistance	workers
Capital Region	15-19			3
Capital Region	15-19		0	148
Capital Region	15-19	Employed (away from work)		3
Capital Region	15-19	Employed (away from work)	0	180
Capital Region	15-19	Employed (away from work)	1	3
Capital Region	15-19	Employed (full-time)		13
Capital Region	15-19	Employed (full-time)	0	1247
Capital Region	15-19	Employed (part-time)		36
Capital Region	15-19	Employed (part-time)	0	3184
Capital Region	15-19	Employed (part-time)	1	32
Capital Region	20-24			6
Capital Region	20-24		0	176
Capital Region	20-24	Employed (away from work)		6
Capital Region	20-24	Employed (away from work)	0	161
Capital Region	20-24	Employed (away from work)	1	6
Capital Region	20-24	Employed (full-time)		42
Capital Region	20-24	Employed (full-time)	0	3499
Capital Region	20-24	Employed (full-time)	1	11
Capital Region	20-24	Employed (part-time)		24
Capital Region	20-24	Employed (part-time)	0	1995
Capital Region	20-24	Employed (part-time)	1	48
Capital Region	25-29			5
Capital Region	25-29		0	123
Capital Region	25-29		1	3
Capital Region	25-29	Employed (away from work)		5
Capital Region	25-29	Employed (away from work)	0	209
Capital Region	25-29	Employed (away from work)	1	4
Capital Region	25-29	Employed (full-time)		57
Capital Region	25-29	Employed (full-time)	0	4019
Capital Region	25-29	Employed (full-time)	1	11
Capital Region	25-29	Employed (part-time)		30
Capital Region	25-29	Employed (part-time)	0	1583
Capital Region	25-29	Employed (part-time)	1	42
Capital Region	30-34		0	115
Capital Region	30-34	Employed (away from work)		5
Capital Region	30-34	Employed (away from work)	0	284
Capital Region	30-34	Employed (away from work)	1	4
Capital Region	30-34	Employed (full-time)		64
Capital Region	30-34	Employed (full-time)	0	3820
Capital Region	30-34	Employed (full-time)	1	6
Capital Region	30-34	Employed (part-time)		34
Capital Region	30-34	Employed (part-time)	0	1793
Capital Region	30-34	Employed (part-time)	1	38
Capital Region	35-39			8
Capital Region	35-39		0	103
Capital Region	35-39	Employed (away from work)		4
Capital Region	35-39	Employed (away from work)	0	174
Capital Region	35-39	Employed (full-time)		54
Capital Region	35-39	Employed (full-time)	0	3825
Capital Region	35-39	Employed (full-time)	1	19
Capital Region	35-39	Employed (part-time)		48
Capital Region	35-39	Employed (part-time)	0	1909
Capital Region	35-39	Employed (part-time)	1	23
Capital Region	40-44			4
Capital Region	40-44		0	127
Capital Region	40-44		1	3
Capital Region	40-44	Employed (away from work)	0	177
Capital Region	40-44	Employed (away from work)	1	8
Capital Region	40-44	Employed (full-time)		66
Capital Region	40-44	Employed (full-time)	0	4689
Capital Region	40-44	Employed (full-time)	1	12
Capital Region	40-44	Employed (part-time)		59
Capital Region	40-44	Employed (part-time)	0	2237
Capital Region	40-44	Employed (part-time)	1	51
Capital Region	45-49			5
Capital Region	45-49		0	135
Capital Region	45-49		1	3
Capital Region	45-49	Employed (away from work)		3
Capital Region	45-49	Employed (away from work)	0	206
Capital Region	45-49	Employed (away from work)	1	5
Capital Region	45-49	Employed (full-time)		81
Capital Region	45-49	Employed (full-time)	0	5253
Capital Region	45-49	Employed (full-time)	1	27
Capital Region	45-49	Employed (part-time)		36
Capital Region	45-49	Employed (part-time)	0	2401
Capital Region	45-49	Employed (part-time)	1	42
Capital Region	50-54			3
Capital Region	50-54		0	134
Capital Region	50-54		1	5
Capital Region	50-54	Employed (away from work)		8
Capital Region	50-54	Employed (away from work)	0	241
Capital Region	50-54	Employed (away from work)	1	4
Capital Region	50-54	Employed (full-time)		93
Capital Region	50-54	Employed (full-time)	0	5420
Capital Region	50-54	Employed (full-time)	1	34
Capital Region	50-54	Employed (part-time)		52
Capital Region	50-54	Employed (part-time)	0	2652
Capital Region	50-54	Employed (part-time)	1	65
Capital Region	55-59			3
Capital Region	55-59		0	114
Capital Region	55-59	Employed (away from work)		3
Capital Region	55-59	Employed (away from work)	0	359
Capital Region	55-59	Employed (away from work)	1	11
Capital Region	55-59	Employed (full-time)		48
Capital Region	55-59	Employed (full-time)	0	4751
Capital Region	55-59	Employed (full-time)	1	29
Capital Region	55-59	Employed (part-time)		58
Capital Region	55-59	Employed (part-time)	0	2855
Capital Region	55-59	Employed (part-time)	1	55
Capital Region	60-64			3
Capital Region	60-64		0	89
Capital Region	60-64		1	5
Capital Region	60-64	Employed (away from work)		7
Capital Region	60-64	Employed (away from work)	0	308
Capital Region	60-64	Employed (away from work)	1	11
Capital Region	60-64	Employed (full-time)		55
Capital Region	60-64	Employed (full-time)	0	3002
Capital Region	60-64	Employed (full-time)	1	25
Capital Region	60-64	Employed (part-time)		39
Capital Region	60-64	Employed (part-time)	0	2463
Capital Region	60-64	Employed (part-time)	1	47
Capital Region	65-69		0	59
Capital Region	65-69	Employed (away from work)	0	157
Capital Region	65-69	Employed (away from work)	1	3
Capital Region	65-69	Employed (full-time)		27
Capital Region	65-69	Employed (full-time)	0	1324
Capital Region	65-69	Employed (full-time)	1	13
Capital Region	65-69	Employed (part-time)		24
Capital Region	65-69	Employed (part-time)	0	1428
Capital Region	65-69	Employed (part-time)	1	28
Capital Region	70-74			3
Capital Region	70-74		0	37
Capital Region	70-74	Employed (away from work)	0	71
Capital Region	70-74	Employed (away from work)	1	3
Capital Region	70-74	Employed (full-time)		6
Capital Region	70-74	Employed (full-time)	0	522
Capital Region	70-74	Employed (full-time)	1	10
Capital Region	70-74	Employed (part-time)		12
