SA4_NAME16	Age	ModeTravelToWork	NumberModes	Sex	workers
Capital Region	15-24	Bicycle	1	F	10
Capital Region	15-24	Bicycle	1	M	34
Capital Region	15-24	Bus	1	F	58
Capital Region	15-24	Bus	1	M	45
Capital Region	15-24	Bus and car as driver	2	M	3
Capital Region	15-24	Bus and car as passenger	2	F	11
Capital Region	15-24	Bus and car as passenger	2	M	8
Capital Region	15-24	Bus and other	2	F	3
Capital Region	15-24	Car as driver	1	F	2735
Capital Region	15-24	Car as driver	1	M	3135
Capital Region	15-24	Car as passenger	1	F	842
Capital Region	15-24	Car as passenger	1	M	829
Capital Region	15-24	Did not go to work		F	918
Capital Region	15-24	Did not go to work		M	713
Capital Region	15-24	Method of travel not stated		F	92
Capital Region	15-24	Method of travel not stated		M	109
Capital Region	15-24	Motorbike scooter	1	F	3
Capital Region	15-24	Motorbike scooter	1	M	51
Capital Region	15-24	(Other)	1	F	19
Capital Region	15-24	(Other)	1	M	39
Capital Region	15-24	Other three methods	3	F	5
Capital Region	15-24	Other two methods	2	F	31
Capital Region	15-24	Other two methods	2	M	41
Capital Region	15-24	Taxi	1	F	17
Capital Region	15-24	Taxi	1	M	3
Capital Region	15-24	Train	1	F	13
Capital Region	15-24	Train	1	M	18
Capital Region	15-24	Train and bus	2	F	6
Capital Region	15-24	Train and bus	2	M	4
Capital Region	15-24	Train and car as driver	2	F	24
Capital Region	15-24	Train and car as driver	2	M	27
Capital Region	15-24	Train and car as passenger	2	F	19
Capital Region	15-24	Train and car as passenger	2	M	17
Capital Region	15-24	Train and two other methods	3	F	6
Capital Region	15-24	Train and two other methods	3	M	9
Capital Region	15-24	Tram includes light rail	1	M	3
Capital Region	15-24	Truck	1	M	47
Capital Region	15-24	Walked only	1	F	365
Capital Region	15-24	Walked only	1	M	350
Capital Region	15-24	Worked at home		F	58
Capital Region	15-24	Worked at home		M	73
Capital Region	25-34	Bicycle	1	F	10
Capital Region	25-34	Bicycle	1	M	33
Capital Region	25-34	Bus	1	F	24
Capital Region	25-34	Bus	1	M	32
Capital Region	25-34	Bus and car as passenger	2	F	6
Capital Region	25-34	Bus and car as passenger	2	M	4
Capital Region	25-34	Car as driver	1	F	3633
Capital Region	25-34	Car as driver	1	M	4780
Capital Region	25-34	Car as passenger	1	F	321
Capital Region	25-34	Car as passenger	1	M	345
Capital Region	25-34	Did not go to work		F	847
Capital Region	25-34	Did not go to work		M	416
Capital Region	25-34	Ferry	1	M	4
Capital Region	25-34	Method of travel not stated		F	60
Capital Region	25-34	Method of travel not stated		M	65
Capital Region	25-34	Motorbike scooter	1	F	7
Capital Region	25-34	Motorbike scooter	1	M	40
Capital Region	25-34	(Other)	1	F	23
Capital Region	25-34	(Other)	1	M	54
Capital Region	25-34	Other three methods	3	M	7
Capital Region	25-34	Other two methods	2	F	27
Capital Region	25-34	Other two methods	2	M	59
Capital Region	25-34	Taxi	1	F	12
Capital Region	25-34	Taxi	1	M	11
Capital Region	25-34	Train	1	F	9
Capital Region	25-34	Train	1	M	15
Capital Region	25-34	Train and bus	2	M	5
Capital Region	25-34	Train and car as driver	2	F	13
Capital Region	25-34	Train and car as driver	2	M	13
Capital Region	25-34	Train and car as passenger	2	M	4
Capital Region	25-34	Train and two other methods	3	F	5
Capital Region	25-34	Train and two other methods	3	M	8
Capital Region	25-34	Truck	1	M	118
Capital Region	25-34	Walked only	1	F	371
Capital Region	25-34	Walked only	1	M	410
Capital Region	25-34	Worked at home		F	290
Capital Region	25-34	Worked at home		M	167
Capital Region	35-44	Bicycle	1	F	18
Capital Region	35-44	Bicycle	1	M	50
Capital Region	35-44	Bus	1	F	21
Capital Region	35-44	Bus	1	M	23
Capital Region	35-44	Bus and car as driver	2	F	3
Capital Region	35-44	Car as driver	1	F	4728
Capital Region	35-44	Car as driver	1	M	5020
Capital Region	35-44	Car as passenger	1	F	219
Capital Region	35-44	Car as passenger	1	M	222
Capital Region	35-44	Did not go to work		F	744
Capital Region	35-44	Did not go to work		M	446
Capital Region	35-44	Ferry	1	M	3
Capital Region	35-44	Method of travel not stated		F	84
Capital Region	35-44	Method of travel not stated		M	67
Capital Region	35-44	Motorbike scooter	1	F	4
Capital Region	35-44	Motorbike scooter	1	M	55
Capital Region	35-44	(Other)	1	F	33
Capital Region	35-44	(Other)	1	M	75
Capital Region	35-44	Other two methods	2	F	22
Capital Region	35-44	Other two methods	2	M	48
Capital Region	35-44	Taxi	1	F	11
Capital Region	35-44	Taxi	1	M	6
Capital Region	35-44	Train	1	F	6
Capital Region	35-44	Train	1	M	10
Capital Region	35-44	Train and car as driver	2	F	4
Capital Region	35-44	Train and car as driver	2	M	7
Capital Region	35-44	Train and two other methods	3	M	3
Capital Region	35-44	Truck	1	F	6
Capital Region	35-44	Truck	1	M	149
Capital Region	35-44	Walked only	1	F	282
Capital Region	35-44	Walked only	1	M	308
Capital Region	35-44	Worked at home		F	590
Capital Region	35-44	Worked at home		M	322
Capital Region	45-54	Bicycle	1	F	26
Capital Region	45-54	Bicycle	1	M	50
Capital Region	45-54	Bus	1	F	13
Capital Region	45-54	Bus	1	M	32
Capital Region	45-54	Bus and car as driver	2	M	3
Capital Region	45-54	Bus and car as passenger	2	F	3
Capital Region	45-54	Bus and car as passenger	2	M	6
Capital Region	45-54	Car as driver	1	F	6133
Capital Region	45-54	Car as driver	1	M	5841
Capital Region	45-54	Car as passenger	1	F	331
Capital Region	45-54	Car as passenger	1	M	165
Capital Region	45-54	Did not go to work		F	863
Capital Region	45-54	Did not go to work		M	560
Capital Region	45-54	Ferry	1	M	8
Capital Region	45-54	Method of travel not stated		F	81
Capital Region	45-54	Method of travel not stated		M	82
Capital Region	45-54	Motorbike scooter	1	F	8
Capital Region	45-54	Motorbike scooter	1	M	66
Capital Region	45-54	(Other)	1	F	41
Capital Region	45-54	(Other)	1	M	89
Capital Region	45-54	Other three methods	3	F	3
Capital Region	45-54	Other three methods	3	M	3
Capital Region	45-54	Other two methods	2	F	29
Capital Region	45-54	Other two methods	2	M	59
Capital Region	45-54	Taxi	1	F	10
Capital Region	45-54	Taxi	1	M	8
Capital Region	45-54	Train	1	F	3
Capital Region	45-54	Train	1	M	10
Capital Region	45-54	Train and car as driver	2	F	4
Capital Region	45-54	Train and car as driver	2	M	11
Capital Region	45-54	Truck	1	F	21
Capital Region	45-54	Truck	1	M	276
Capital Region	45-54	Walked only	1	F	451
Capital Region	45-54	Walked only	1	M	327
Capital Region	45-54	Worked at home		F	731
Capital Region	45-54	Worked at home		M	549
Capital Region	55-64	Bicycle	1	F	16
Capital Region	55-64	Bicycle	1	M	47
Capital Region	55-64	Bus	1	F	20
Capital Region	55-64	Bus	1	M	20
Capital Region	55-64	Bus and car as driver	2	F	3
Capital Region	55-64	Bus and car as passenger	2	F	3
Capital Region	55-64	Bus and two other methods excludes train	3	M	3
Capital Region	55-64	Car as driver	1	F	4368
Capital Region	55-64	Car as driver	1	M	4748
Capital Region	55-64	Car as passenger	1	F	251
Capital Region	55-64	Car as passenger	1	M	132
Capital Region	55-64	Did not go to work		F	976
Capital Region	55-64	Did not go to work		M	625
Capital Region	55-64	Method of travel not stated		F	81
Capital Region	55-64	Method of travel not stated		M	75
Capital Region	55-64	Motorbike scooter	1	F	8
Capital Region	55-64	Motorbike scooter	1	M	75
Capital Region	55-64	(Other)	1	F	63
Capital Region	55-64	(Other)	1	M	87
Capital Region	55-64	Other three methods	3	F	4
Capital Region	55-64	Other three methods	3	M	8
Capital Region	55-64	Other two methods	2	F	19
Capital Region	55-64	Other two methods	2	M	50
Capital Region	55-64	Taxi	1	F	8
Capital Region	55-64	Taxi	1	M	11
Capital Region	55-64	Train	1	F	3
Capital Region	55-64	Train	1	M	4
Capital Region	55-64	Train and car as driver	2	F	3
Capital Region	55-64	Train and car as driver	2	M	10
Capital Region	55-64	Train and two other methods	3	M	3
Capital Region	55-64	Truck	1	F	11
Capital Region	55-64	Truck	1	M	234
