SA4_NAME16	Age	ModeTravelToWork	NumberModes	workers
Capital Region	15-24	Bicycle	1	43
Capital Region	15-24	Bus	1	99
Capital Region	15-24	Bus and car as driver	2	3
Capital Region	15-24	Bus and car as passenger	2	20
Capital Region	15-24	Bus and ferry	2	3
Capital Region	15-24	Bus and other	2	3
Capital Region	15-24	Car as driver	1	5872
Capital Region	15-24	Car as passenger	1	1676
Capital Region	15-24	Did not go to work		1636
Capital Region	15-24	Ferry	1	4
Capital Region	15-24	Method of travel not stated		205
Capital Region	15-24	Motorbike scooter	1	55
Capital Region	15-24	(Other)	1	55
Capital Region	15-24	Other three methods	3	5
Capital Region	15-24	Other two methods	2	70
Capital Region	15-24	Taxi	1	20
Capital Region	15-24	Train	1	32
Capital Region	15-24	Train and bus	2	15
Capital Region	15-24	Train and car as driver	2	53
Capital Region	15-24	Train and car as passenger	2	38
Capital Region	15-24	Train and two other methods	3	18
Capital Region	15-24	Tram includes light rail	1	4
Capital Region	15-24	Truck	1	51
Capital Region	15-24	Walked only	1	711
Capital Region	15-24	Worked at home		133
Capital Region	25-34	Bicycle	1	48
Capital Region	25-34	Bus	1	55
Capital Region	25-34	Bus and car as driver	2	4
Capital Region	25-34	Bus and car as passenger	2	6
Capital Region	25-34	Bus and other	2	3
Capital Region	25-34	Bus and two other methods excludes train	3	3
Capital Region	25-34	Car as driver	1	8410
Capital Region	25-34	Car as passenger	1	670
Capital Region	25-34	Did not go to work		1268
Capital Region	25-34	Ferry	1	4
Capital Region	25-34	Method of travel not stated		128
Capital Region	25-34	Motorbike scooter	1	43
Capital Region	25-34	(Other)	1	81
Capital Region	25-34	Other three methods	3	7
Capital Region	25-34	Other two methods	2	91
Capital Region	25-34	Taxi	1	20
Capital Region	25-34	Train	1	26
Capital Region	25-34	Train and bus	2	5
Capital Region	25-34	Train and car as driver	2	26
Capital Region	25-34	Train and car as passenger	2	7
Capital Region	25-34	Train and two other methods	3	14
Capital Region	25-34	Truck	1	121
Capital Region	25-34	Walked only	1	780
Capital Region	25-34	Worked at home		453
Capital Region	35-44	Bicycle	1	65
Capital Region	35-44	Bus	1	44
Capital Region	35-44	Bus and car as driver	2	3
Capital Region	35-44	Bus and car as passenger	2	3
Capital Region	35-44	Car as driver	1	9747
Capital Region	35-44	Car as passenger	1	441
Capital Region	35-44	Did not go to work		1190
Capital Region	35-44	Ferry	1	6
Capital Region	35-44	Method of travel not stated		153
Capital Region	35-44	Motorbike scooter	1	57
Capital Region	35-44	(Other)	1	111
Capital Region	35-44	Other three methods	3	5
Capital Region	35-44	Other two methods	2	67
Capital Region	35-44	Taxi	1	16
Capital Region	35-44	Train	1	9
Capital Region	35-44	Train and car as driver	2	13
Capital Region	35-44	Train and two other methods	3	3
Capital Region	35-44	Truck	1	155
Capital Region	35-44	Walked only	1	596
Capital Region	35-44	Worked at home		916
Capital Region	45-54	Bicycle	1	79
Capital Region	45-54	Bus	1	47
Capital Region	45-54	Bus and car as driver	2	3
Capital Region	45-54	Bus and car as passenger	2	5
Capital Region	45-54	Car as driver	1	11973
Capital Region	45-54	Car as passenger	1	493
Capital Region	45-54	Did not go to work		1423
Capital Region	45-54	Ferry	1	7
Capital Region	45-54	Method of travel not stated		159
Capital Region	45-54	Motorbike scooter	1	80
