SA4_NAME16	Age	EmploymentStatus	workers
Capital Region	15-19	Contributing family workers	51
Capital Region	15-19	Employee	4677
Capital Region	15-19	Owner managers of incorporated enterprises	10
Capital Region	15-19	Owner managers of unincorporated enterprises	19
Capital Region	15-19	Status in employment not stated	78
Capital Region	20-24	Contributing family workers	40
Capital Region	20-24	Employee	5665
Capital Region	20-24	Owner managers of incorporated enterprises	55
Capital Region	20-24	Owner managers of unincorporated enterprises	175
Capital Region	20-24	Status in employment not stated	54
Capital Region	25-29	Contributing family workers	59
Capital Region	25-29	Employee	5510
Capital Region	25-29	Owner managers of incorporated enterprises	159
Capital Region	25-29	Owner managers of unincorporated enterprises	307
Capital Region	25-29	Status in employment not stated	43
Capital Region	30-34	Contributing family workers	86
Capital Region	30-34	Employee	5206
Capital Region	30-34	Owner managers of incorporated enterprises	348
Capital Region	30-34	Owner managers of unincorporated enterprises	484
Capital Region	30-34	Status in employment not stated	56
Capital Region	35-39	Contributing family workers	146
Capital Region	35-39	Employee	4857
Capital Region	35-39	Owner managers of incorporated enterprises	494
Capital Region	35-39	Owner managers of unincorporated enterprises	619
Capital Region	35-39	Status in employment not stated	50
Capital Region	40-44	Contributing family workers	187
Capital Region	40-44	Employee	5623
Capital Region	40-44	Owner managers of incorporated enterprises	684
Capital Region	40-44	Owner managers of unincorporated enterprises	869
Capital Region	40-44	Status in employment not stated	72
Capital Region	45-49	Contributing family workers	195
Capital Region	45-49	Employee	6085
Capital Region	45-49	Owner managers of incorporated enterprises	753
Capital Region	45-49	Owner managers of unincorporated enterprises	1061
Capital Region	45-49	Status in employment not stated	108
Capital Region	50-54	Contributing family workers	267
Capital Region	50-54	Employee	6378
Capital Region	50-54	Owner managers of incorporated enterprises	816
Capital Region	50-54	Owner managers of unincorporated enterprises	1137
Capital Region	50-54	Status in employment not stated	113
Capital Region	55-59	Contributing family workers	328
Capital Region	55-59	Employee	5918
Capital Region	55-59	Owner managers of incorporated enterprises	774
Capital Region	55-59	Owner managers of unincorporated enterprises	1154
Capital Region	55-59	Status in employment not stated	120
Capital Region	60-64	Contributing family workers	372
Capital Region	60-64	Employee	3898
Capital Region	60-64	Owner managers of incorporated enterprises	604
Capital Region	60-64	Owner managers of unincorporated enterprises	1074
Capital Region	60-64	Status in employment not stated	109
Capital Region	65-69	Contributing family workers	377
Capital Region	65-69	Employee	1461
Capital Region	65-69	Owner managers of incorporated enterprises	409
Capital Region	65-69	Owner managers of unincorporated enterprises	741
Capital Region	65-69	Status in employment not stated	79
Capital Region	70-74	Contributing family workers	320
Capital Region	70-74	Employee	393
Capital Region	70-74	Owner managers of incorporated enterprises	177
Capital Region	70-74	Owner managers of unincorporated enterprises	409
Capital Region	70-74	Status in employment not stated	45
Capital Region	75+	Contributing family workers	272
Capital Region	75+	Employee	178
Capital Region	75+	Owner managers of incorporated enterprises	83
Capital Region	75+	Owner managers of unincorporated enterprises	313
Capital Region	75+	Status in employment not stated	57
Central Coast	15-19	Contributing family workers	31
Central Coast	15-19	Employee	7519
Central Coast	15-19	Owner managers of incorporated enterprises	14
Central Coast	15-19	Owner managers of unincorporated enterprises	46
Central Coast	15-19	Status in employment not stated	89
Central Coast	20-24	Contributing family workers	40
Central Coast	20-24	Employee	9410
Central Coast	20-24	Owner managers of incorporated enterprises	58
Central Coast	20-24	Owner managers of unincorporated enterprises	230
Central Coast	20-24	Status in employment not stated	93
Central Coast	25-29	Contributing family workers	56
Central Coast	25-29	Employee	8470
Central Coast	25-29	Owner managers of incorporated enterprises	232
Central Coast	25-29	Owner managers of unincorporated enterprises	536
Central Coast	25-29	Status in employment not stated	74
Central Coast	30-34	Contributing family workers	100
Central Coast	30-34	Employee	8294
Central Coast	30-34	Owner managers of incorporated enterprises	568
Central Coast	30-34	Owner managers of unincorporated enterprises	717
Central Coast	30-34	Status in employment not stated	72
Central Coast	35-39	Contributing family workers	139
Central Coast	35-39	Employee	7983
Central Coast	35-39	Owner managers of incorporated enterprises	775
Central Coast	35-39	Owner managers of unincorporated enterprises	945
Central Coast	35-39	Status in employment not stated	91
Central Coast	40-44	Contributing family workers	160
Central Coast	40-44	Employee	9060
Central Coast	40-44	Owner managers of incorporated enterprises	1029
Central Coast	40-44	Owner managers of unincorporated enterprises	1144
Central Coast	40-44	Status in employment not stated	105
Central Coast	45-49	Contributing family workers	177
Central Coast	45-49	Employee	9488
Central Coast	45-49	Owner managers of incorporated enterprises	1148
