SA4_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
101,71,393,257,293,521,549,276,438,40,2833,119,341,214,265,385,409,169,372,659,2929,2661,9259,7677,9583,13264,11243,6225,11809,1522,73243
102,126,654,537,590,897,726,419,547,61,4551,140,487,364,330,720,702,220,475,847,4273,3735,14633,13148,13962,19690,17600,7904,12140,1912,104732
103,67,395,315,300,599,611,338,635,33,3285,142,285,201,220,439,444,183,389,742,3039,3181,9236,8043,9304,14888,13645,7903,15243,1755,83199
104,55,272,172,249,421,345,161,276,24,1960,69,218,178,159,274,225,90,161,417,1792,1802,6775,5760,7253,9488,7035,3579,6197,955,48844
105,52,168,159,169,400,343,168,299,23,1787,84,123,98,110,221,241,115,210,493,1693,1723,4318,3784,4885,8876,7748,3994,9467,1098,45892
106,123,504,413,445,855,810,473,825,39,4495,101,409,255,305,570,592,222,440,801,3689,3658,11966,10337,11047,17909,16312,10821,16186,1859,100101
107,123,590,489,501,869,853,380,572,33,4408,125,378,319,298,574,639,220,387,785,3715,3721,14222,12534,12578,19735,17189,8439,11939,1679,102028
108,71,370,304,285,532,500,242,373,39,2720,110,299,167,228,322,289,134,233,712,2495,2810,9356,8112,10048,12626,10018,4974,8830,1570,68360
109,55,220,196,190,319,320,191,283,25,1792,97,191,114,152,306,305,103,224,438,1950,2030,5944,4856,6131,8784,7884,4351,8131,1030,49146
110,82,342,236,258,609,555,291,473,42,2889,114,284,197,210,434,442,167,355,705,2913,2736,8140,6764,8596,13855,11819,6291,13820,1672,73688
111,171,763,619,680,1417,1210,675,807,47,6394,173,530,382,437,931,959,353,573,1089,5422,5776,18921,17723,19144,30871,28517,13722,18491,2413,155588
112,74,492,374,412,578,595,265,463,39,3290,159,470,330,397,463,496,176,384,880,3746,2813,12208,10617,13539,15585,12552,5942,10688,1833,85780
113,42,260,206,243,515,509,285,365,22,2441,111,244,174,168,418,460,163,294,599,2639,2461,7129,6143,7324,13569,11886,6264,11716,1504,67996
114,59,260,241,263,385,307,186,310,33,2049,86,271,191,184,281,266,119,214,456,2069,1830,7532,6189,6784,9021,7939,4421,6849,1013,51563
115,69,472,390,360,532,682,321,539,34,3386,114,418,336,316,616,826,233,525,699,4087,2085,11188,9210,8565,12801,16135,6586,12489,1421,80475
116,87,409,388,375,855,883,383,680,59,4118,131,473,473,508,1380,1343,434,803,1235,6781,2795,10335,9792,10397,23696,21685,9635,15555,2500,106400
117,354,1076,1389,1365,3269,3097,1421,1899,153,14025,563,1651,2160,1465,3693,5156,1680,2887,5319,24568,17149,32097,48580,42422,114386,144493,65281,103975,9959,578345
118,75,557,539,438,555,629,297,465,50,3607,115,473,447,326,378,642,171,485,822,3866,2594,12242,12190,9983,14856,17433,7631,13179,1756,91871
119,130,874,749,660,1229,1271,597,866,90,6458,231,905,871,700,1702,1634,484,720,1879,9129,4129,17370,17924,16116,30171,29570,11834,17895,3624,148635
120,83,500,472,460,926,869,417,598,64,4391,152,515,552,436,795,1008,272,547,1102,5394,2984,11949,12355,10964,20541,22800,9105,14359,2177,107232
121,179,931,878,772,1387,1473,817,1112,90,7642,205,908,927,645,1368,2092,695,1323,1739,9899,5817,22771,22762,18983,35458,49703,20828,33887,3421,213633
122,85,596,449,459,654,778,370,536,41,3975,122,549,466,425,669,951,313,655,671,4828,2353,12721,11533,10150,13688,16589,7415,12357,1429,88233
123,68,416,282,289,601,569,351,486,48,3116,118,403,332,327,904,900,284,463,860,4590,2341,9441,7914,8575,16334,14299,6990,11038,1731,78655
124,82,529,414,431,645,774,439,623,55,4005,130,506,363,418,930,914,298,598,910,5062,3119,13104,11325,11837,19811,18421,8846,13837,1967,102264
125,150,721,692,603,1874,1720,775,1094,90,7721,287,1007,1055,937,2844,2621,821,1211,2640,13426,6189,17500,19325,18965,55057,49120,19598,27704,4903,218360
